year,aucun_DET anneau_NOUN,aucun_DET panneau_NOUN
1800,1.2576657937302116e-08,0.0
1801,0.0,0.0
1802,6.713520406265161e-09,0.0
1803,2.145373123596528e-08,0.0
1804,2.2246657849223084e-08,0.0
1805,6.254330742194725e-08,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,2.2660739951163578e-09,0.0
1809,1.3554183553310395e-08,0.0
1810,0.0,0.0
1811,7.52123057168319e-08,0.0
1812,0.0,0.0
1813,5.751483289628823e-09,0.0
1814,3.1466771410748606e-09,0.0
1815,3.236668177919455e-08,0.0
1816,6.489290882427667e-08,0.0
1817,7.784366928831332e-09,0.0
1818,7.152706427149269e-09,0.0
1819,1.6561680027393777e-08,5.175524897538253e-09
1820,1.1866481131050932e-09,3.5599443393152796e-09
1821,1.972297702934611e-08,0.0
1822,1.4035862250239006e-08,0.0
1823,2.2730180404550993e-08,0.0
1824,1.6000115010683658e-08,0.0
1825,3.434122675116669e-08,0.0
1826,7.927186018719112e-09,0.0
1827,1.1060727445055818e-08,0.0
1828,1.3758452155343548e-08,7.337841001486822e-09
1829,2.4004892296147773e-08,0.0
1830,1.982998831806526e-08,1.0436835840010872e-09
1831,3.1182413096075834e-08,0.0
1832,1.7588959622116818e-08,0.0
1833,1.1583628500844156e-09,0.0
1834,6.534171426153534e-09,2.8003592777992026e-09
1835,1.2100940693926532e-08,0.0
1836,2.4866775305554256e-08,0.0
1837,1.1132625488130543e-08,0.0
1838,4.418513555037862e-09,0.0
1839,2.3771015378315496e-08,6.9914751765765e-10
1840,3.3759349093998026e-08,7.0066574764382494e-09
1841,1.0272877659645019e-08,0.0
1842,1.6770663080478698e-08,0.0
1843,1.1223130869097986e-08,0.0
1844,8.781698035420504e-09,3.841992946007622e-09
1845,2.5669049108500985e-08,3.90615950696116e-09
1846,6.439951683034906e-09,4.0981511517657054e-09
1847,1.1865092020002521e-08,0.0
1848,4.8271330266302925e-09,0.0
1849,0.0,8.379414939696517e-10
1850,1.3577992064028876e-08,1.3577992064028876e-09
1851,4.514607354622058e-09,5.159551008659946e-09
1852,3.515694690925386e-08,6.510545436100301e-10
1853,1.8512987809415904e-08,1.7915795513800958e-09
1854,1.8704392701351935e-08,5.195664454227256e-10
1855,1.539011762474729e-08,0.0
1856,1.65670055451983e-08,5.177189232874468e-10
1857,2.0502338049510627e-08,2.9289055625270066e-09
1858,6.8511463169329545e-09,0.0
1859,1.9350258284589472e-08,5.092173349652285e-10
1860,1.0985241161165504e-08,0.0
1861,1.1789909493131745e-08,0.0
1862,1.2650361647104091e-08,2.710791813242963e-09
1863,2.4973103585068657e-08,0.0
1864,2.1576274988888144e-08,0.0
1865,1.0355057256106193e-08,1.4120533631256649e-09
1866,2.140869642675014e-08,9.731225825149181e-10
1867,3.008743121313273e-08,0.0
1868,1.2843672791973404e-08,0.0
1869,4.395167341186834e-09,0.0
1870,3.956493799250893e-08,0.0
1871,1.1683295220166201e-08,0.0
1872,1.0885210510735988e-08,0.0
1873,2.334541759907438e-08,0.0
1874,1.8521287614703397e-08,0.0
1875,1.6592428764283795e-08,0.0
1876,1.3301232559825849e-08,0.0
1877,1.7317484335421796e-08,6.80329748092845e-09
1878,1.9928991790152395e-08,0.0
1879,2.1382638437650314e-08,0.0
1880,1.9253538319219388e-08,0.0
1881,1.743126887276958e-08,4.8807553554297556e-09
1882,7.320923423037584e-09,0.0
1883,7.58320695126713e-09,2.5277355764075082e-09
1884,1.3203393933736152e-08,1.0562715146988921e-08
1885,8.379326565943757e-09,3.2228177904158883e-09
1886,8.38950331427668e-09,1.936039106809062e-09
1887,2.546280519766242e-08,0.0
1888,1.521747527988282e-08,1.268122939990235e-09
1889,2.756660211211681e-08,1.2530273485467092e-09
