year,en_ADP airs_NOUN,en_ADP paires_NOUN
1800,0.0,1.2576657937302116e-08
1801,2.3811825844433088e-09,2.3811825400343878e-08
1802,0.0,1.1189200677108602e-08
1803,7.801356671777171e-09,7.801356893821776e-09
1804,2.4718509905596875e-08,9.887403784603066e-09
1805,3.1271653710973624e-08,8.528632911009026e-09
1806,4.3225035994964855e-08,6.339671898558663e-08
1807,1.4234775136401367e-08,0.0
1808,2.2660739951163578e-09,1.8128591960930862e-08
1809,2.259030518203531e-09,0.0
1810,9.360507036149102e-09,7.020380277111826e-09
1811,1.2535384286138651e-08,2.5070767684098882e-09
1812,2.9339290108509886e-08,1.3336041604361526e-08
1813,4.3136125782439194e-08,0.0
1814,0.0,4.090680150170556e-08
1815,3.506390555685357e-08,0.0
1816,1.228330006597389e-07,9.270415546325239e-09
1817,6.227493631882908e-09,1.2454987263765815e-08
1818,5.960588467246453e-09,2.1458118837358597e-08
1819,0.0,7.24573512300708e-09
1820,2.0173018810965004e-08,0.0
1821,1.676452932031225e-08,9.86148829262845e-10
1822,1.0025615893027862e-09,2.0051231786055723e-09
1823,1.2847492847356534e-08,9.882686891060644e-10
1824,1.7684335773537896e-08,2.3579115548955087e-08
1825,4.4027217427355936e-09,1.7610886082763955e-09
1826,7.0463874735082754e-09,0.0
1827,5.530363722527909e-09,2.027800150017356e-08
1828,1.0089530988466322e-08,1.1006761724274838e-08
1829,1.7146351893870815e-08,1.714635211591542e-09
1830,1.982998831806526e-08,1.0436835840010872e-09
1831,0.0,1.091384405071949e-08
1832,2.976593194148336e-08,9.470978667991403e-09
1833,2.085053074640797e-08,1.1583628500844156e-09
1834,1.8669061851994684e-09,1.213489042584115e-08
1835,6.050470346963266e-09,2.0420337421001022e-08
1836,1.1425274948351216e-08,3.36037508930076e-09
1837,2.5048407792382932e-08,4.87052354003481e-09
1838,2.1461350030449466e-08,9.468243078458727e-09
1839,5.2436064379435265e-08,1.8876983531868063e-08
1840,7.0066574764382494e-09,3.1848443882154243e-09
1841,1.733548060656176e-08,1.2841097074556274e-08
1842,6.708265054555795e-09,0.0
1843,1.3585895075607368e-08,3.5441467538532834e-09
1844,1.0977122322231025e-08,1.701453911095996e-08
1845,5.580227835366713e-09,1.0602432709561072e-08
1846,9.952652035849496e-09,5.854501328173001e-09
1847,9.168480197274675e-09,5.3932236454556914e-09
1848,2.735375304041554e-08,1.448139919091318e-08
1849,6.703531951757213e-09,1.005529792763582e-08
1850,2.0366988096043315e-09,2.0366988096043315e-09
1851,3.8696632564949596e-09,9.029214709244116e-09
1852,5.859490670445666e-09,3.2552727180501506e-09
