year,son_DET air_NOUN,son_DET pair_NOUN
1800,3.744699938579288e-06,9.432493452976587e-09
1801,3.2907943818827334e-06,1.6668277424969347e-08
1802,3.01660844570506e-06,1.5664880947952042e-08
1803,3.2161094338789553e-06,1.950339223455444e-09
1804,5.203246075780044e-06,0.0
1805,4.591247318330716e-06,1.421438877713399e-08
1806,3.316801098662836e-06,0.0
1807,2.9067411730920867e-06,8.540865792383556e-09
1808,3.6189201750858047e-06,0.0
1809,3.3411062361210497e-06,6.7770917766551975e-09
1810,4.701314708199789e-06,0.0
1811,3.123817577943555e-06,2.0056614147279106e-08
1812,3.5740591215471795e-06,2.6672082320544632e-09
1813,3.830487941058891e-06,8.627225156487839e-09
1814,2.712435588136941e-06,3.776012391654149e-08
1815,2.5192067028001475e-06,1.0788894222457657e-08
1816,2.336144632408832e-06,0.0
1817,3.154225424850665e-06,0.0
1818,3.2509049674445123e-06,7.152706427149269e-09
1819,3.006980080044741e-06,6.93520334493769e-08
1820,2.8004895398225926e-06,2.0173018810965004e-08
1821,3.0501582557462825e-06,6.903041693817613e-09
1822,3.708475276198442e-06,5.012807946513931e-09
1823,3.294887733318319e-06,5.929612356680991e-09
1824,3.3566554122899106e-06,2.0210670470532932e-08
1825,3.051086025607219e-06,2.6416328680056722e-08
1826,2.971813813701374e-06,4.4039921931471326e-08
1827,2.367917545598175e-06,3.2260455640198415e-08
1828,2.8690957378785242e-06,3.3020285172824515e-08
1829,3.1334958237039245e-06,1.628903412154159e-08
1830,3.266729635242882e-06,8.349468672008697e-09
1831,2.6598597173688177e-06,9.354723218280014e-09
1832,3.1470708279357495e-06,8.117981842303834e-09
1833,2.992051236105908e-06,6.834341093053808e-08
1834,2.660341408500244e-06,4.667265685043276e-09
1835,3.758854660418365e-06,1.285724948729694e-08
1836,3.0209770613964793e-06,2.083432448785061e-08
1837,2.594597589222758e-06,2.5048407792382932e-08
1838,2.1821143860734082e-06,7.32210807541378e-08
1839,2.5903414666572644e-06,1.0487212875887053e-08
1840,2.4211187366063314e-06,2.5478754661634184e-09
1841,2.19454339855929e-06,6.67737083404063e-08
1842,2.563898988228175e-06,2.4149754196400863e-08
1843,2.5187068644072497e-06,3.1306630177141415e-08
1844,2.2870834754940006e-06,4.116421076227894e-08
1845,2.1913555343644475e-06,2.2320911341466854e-08
1846,2.2832555970353496e-06,7.610851504580296e-09
1847,1.7231349573876287e-06,1.5640349459999925e-08
1848,1.861664259195095e-06,4.82713291560799e-09
1849,1.814981274605998e-06,1.1731181359664333e-08
1850,2.033983264482231e-06,2.511928531845342e-08
1851,1.946440590927523e-06,5.224045240836972e-08
1852,2.186241260915267e-06,1.3672145193766028e-08
1853,2.1325768670976686e-06,2.269334054005867e-08
1854,1.806012946303781e-06,8.313063126763609e-09
1855,2.283574971784219e-06,2.7596072982305486e-08
1856,2.1438741697465957e-06,8.283502495043393e-09
1857,2.5906168019673714e-06,5.369659827891837e-09
1858,2.563307546665783e-06,4.6489923022363655e-08
1859,2.6056650312966667e-06,1.3748867822016564e-08
1860,2.5115007389331367e-06,6.408057640072684e-09
