year,en_ADP air_NOUN,en_ADP pair_NOUN
1800,9.023752340908686e-07,1.8236154364359436e-07
1801,4.4528114284680953e-07,1.0239085423968675e-07
1802,2.506380951672327e-07,1.7231369042747247e-07
1803,4.5442902552039754e-07,1.521264585413462e-07
1804,3.8808059343864443e-07,1.1864884186252311e-07
1805,2.7575912708854844e-07,1.3645813323748257e-07
1806,3.7749865100522584e-07,8.933174200365102e-08
1807,2.0498076924724273e-07,8.54086508184082e-08
1808,2.062127402169267e-07,1.3143228727585665e-07
1809,2.4397530085096264e-07,1.0165637065462363e-07
1810,1.7550951270095538e-07,9.360506680877734e-08
1811,2.0808736911348547e-07,1.7549538000594112e-07
1812,1.3869483117545656e-07,1.0135391459442644e-07
1813,2.0992913585260453e-07,8.339650925393016e-08
1814,1.3530711839848664e-07,6.608022040666128e-08
1815,2.8320846801044297e-07,7.012781066961793e-08
1816,1.7150268938337376e-07,7.648093003354006e-08
1817,1.3077736582545185e-07,8.874178480944295e-08
1818,2.2888661255215936e-07,1.0729059352065917e-07
1819,1.3870406800897683e-07,8.487860836403627e-08
1820,1.8511710120350244e-07,8.899860848288199e-08
1821,8.776724769177235e-08,7.396116230573568e-08
1822,1.0426640528748976e-07,6.917674966189225e-08
1823,9.586206450862278e-08,6.028439125671525e-08
1824,1.4905369027928828e-07,7.24215674097195e-08
1825,1.1270966804310945e-07,6.692136622632461e-08
1826,9.776862741617265e-08,6.253669049272048e-08
1827,1.6222400611720644e-07,6.083400272416384e-08
1828,1.4033620721054518e-07,4.035812628533364e-08
1829,1.3717081515096652e-07,5.57256459865485e-08
1830,1.8786305133744463e-07,6.679575093038181e-08
1831,1.7306238930814288e-07,1.0134284167406804e-07
1832,1.1094574858816486e-07,7.982682070917235e-08
1833,1.4247862734073635e-07,5.9076506575550525e-08
1834,1.474855890748472e-07,4.0138482759743965e-08
1835,1.1722786297241328e-07,7.714349692378164e-08
1836,1.9624590608113834e-07,6.115882555945973e-08
1837,9.253994626146067e-08,5.4967340012979093e-08
1838,1.7484688585867048e-07,4.986607993195946e-08
1839,1.3143973565110656e-07,3.8453112694014635e-08
1840,1.1720227499623093e-07,2.6115724249820005e-08
1841,1.4703056194775854e-07,3.2102743130479894e-08
1842,1.1739464067517247e-07,2.683306021822318e-08
1843,1.9729083622355148e-07,3.1306629288962995e-08
1844,1.5203314940315238e-07,3.3480223482484917e-08
1845,1.9419193170167048e-07,3.738752818449598e-08
1846,1.0362467706137579e-07,2.9272507529043423e-08
1847,9.977463566457345e-08,3.128069803182143e-08
1848,7.562508130831702e-08,3.539897530657754e-08
1849,4.776266493422554e-08,2.0948537127196687e-08
1850,1.0726613819400654e-07,3.394497927189377e-08
1851,9.28719168236114e-08,1.999326104673571e-08
1852,1.295598495154593e-07,3.515694646516465e-08
1853,1.8632426690423642e-07,2.209614757830991e-08
1854,1.5327209934579145e-07,2.7537021995982514e-08
1855,1.645150575768639e-07,2.3350523292720027e-08
1856,1.0457922500206607e-07,3.209857357688861e-08
1857,1.649950125415245e-07,2.880090343992947e-08
1858,1.1793758891709416e-07,3.425573247284319e-08
1859,9.522363986214089e-08,4.073738590903986e-08
1860,2.2016254042078742e-07,2.242820151820979e-08
1861,1.787350306092783e-07,2.5466203812385402e-08
1862,2.466820419877447e-07,2.846331392802881e-08
1863,1.4883970733681195e-07,2.3974179974572962e-08
1864,9.829192038068868e-08,5.274200587379596e-08
1865,8.425251213362017e-08,1.6473955533058415e-08
1866,1.7954111974916032e-07,5.449486306652318e-08
1867,1.465549051005155e-07,3.202855580752839e-08
1868,1.1262912769094413e-07,4.6928803509871386e-08
1869,1.3771524309813543e-07,4.8835189669915735e-08
1870,1.2614906896857292e-07,2.465641024684828e-08
1871,1.115223595693493e-07,2.0180236592892697e-08
1872,1.5420715726577328e-07,2.781776020643889e-08
1873,7.302925214558442e-08,1.4965011230216874e-08
1874,1.69081439682639e-07,1.2546678807012768e-08
1875,1.0241533254795598e-07,1.8881039842710834e-08
1876,1.6566080840441089e-07,1.209203004393089e-08
1877,1.0699732011509866e-07,1.7935966711846163e-08
1878,1.6547102504871347e-07,2.536417165188709e-08
1879,6.659164597522249e-08,2.1993570742395718e-08
1880,1.1167052460514526e-07,3.144744686878198e-08
1881,1.1713813058422673e-07,1.3247763996915296e-08
1882,1.0715170062347568e-07,3.261138736831981e-08
1883,1.131161653233903e-07,2.9068958795619437e-08
1884,1.7296446674919252e-07,4.2250861476134105e-08
1885,1.4180398011376383e-07,2.3204288490674685e-08
1886,1.0906354014350583e-07,3.4203357923701105e-08
1887,8.161155939934162e-08,2.2198344051815866e-08
1888,1.0715638998348709e-07,3.106901225180536e-08
1889,8.645888804892365e-08,1.5036328071538207e-08
1890,1.7238036653655087e-07,2.3595791098784957e-08
1891,2.42220368873447e-07,1.7847816335958555e-08
1892,1.1847488301519604e-07,2.570090096298827e-08
1893,1.422594238520425e-07,2.155445821827584e-08
1894,1.9282710761459043e-07,1.07126170156846e-08
1895,1.0352017021375559e-07,1.6852120587884656e-08
1896,7.194375445385148e-08,1.4152869098893461e-08
1897,1.1070755412401212e-07,1.7480140779291276e-08
1898,1.9181822974445595e-07,1.867257104493092e-08
1899,1.0060192678906787e-07,1.4371703827009696e-08
