year,en_PRON aies_VERB,en_PRON paie_VERB
1800,1.5720821977538435e-08,1.4148740490327327e-07
1801,0.0,1.6906396638205479e-07
1802,2.2378401354217203e-09,1.1636768704192946e-07
1803,1.950339223455444e-09,1.2677205063482688e-07
1804,0.0,2.71903616066993e-07
1805,2.842877711017877e-09,7.960057502032214e-08
1806,2.881669125542885e-09,1.2967511509032192e-07
1807,2.8469551160981155e-09,1.8789903322158352e-07
1808,4.5321479902327155e-09,1.835519896076221e-07
1809,1.129515236897305e-08,1.355418248749629e-07
1810,0.0,8.424456154898508e-08
1811,5.0141535368197765e-09,1.8803075363393873e-07
1812,5.3344164641089264e-09,8.801787032552966e-08
1813,0.0,8.91479885467561e-08
1814,6.293354282149721e-09,1.0698702368472368e-07
1815,0.0,3.776112933451259e-08
1816,4.6352077731626196e-09,9.270415546325239e-08
1817,7.784366928831332e-09,1.1520863552050287e-07
1818,3.5763532135746345e-09,9.179306914575136e-08
1819,4.140420006848444e-09,1.2214239575314423e-07
1820,5.933240565525466e-09,1.8393045309039735e-07
1821,1.972297702934611e-08,1.410192851380998e-07
1822,6.015369535816717e-09,1.6241497746705136e-07
1823,9.882686891060644e-10,1.4329896202980308e-07
1824,1.6842225392110777e-08,1.4063257935958973e-07
1825,1.2327619813845558e-08,1.2679838334861415e-07
1826,4.403992281964975e-09,1.8408687196824758e-07
1827,5.530363722527909e-09,2.6453574264451163e-07
1828,0.0,2.1646630443683534e-07
1829,2.571952872898464e-09,1.928964650232956e-07
1830,1.2524203008013046e-08,1.5237780814914004e-07
1831,4.677361609140007e-09,1.808579952466971e-07
1832,1.0823975493678972e-08,1.6235962618793565e-07
1833,1.7375443306377747e-08,1.5406226339109708e-07
1834,1.8669061851994684e-09,2.0349277463083126e-07
1835,6.806779140333674e-09,1.973965879642492e-07
1836,3.36037508930076e-09,1.4449612706357584e-07
1837,1.530736071231331e-08,1.551609614125482e-07
1838,1.2624323808552163e-08,9.468242723187359e-08
1839,4.894032734625853e-09,1.447235291607285e-07
1840,1.4013314952876499e-08,1.356743695168916e-07
1841,7.0626033910059505e-09,1.0337083011791037e-07
1842,2.0124794275488966e-08,1.1873628835701311e-07
1843,3.5441467538532834e-09,6.792947715439368e-08
1844,8.781698035420504e-09,9.385439625475556e-08
1845,1.5066614622583074e-08,5.636030309119633e-08
1846,8.196302303531411e-09,8.489026726010707e-08
1847,2.6966118227278457e-09,1.0732514965638984e-07
1848,9.65426583121598e-09,1.198738033281188e-07
1849,0.0,5.027649052635752e-08
1850,1.0183494048021657e-08,6.245876704724651e-08
1851,9.674158363282004e-09,4.385618268543112e-08
1852,9.765818376195057e-09,1.1914298170268012e-07
1853,3.5831591027601917e-09,6.330247970254277e-08
1854,3.117398783558656e-09,8.624802916301633e-08
1855,6.368324534378189e-09,3.237231638308913e-08
1856,6.73034605824796e-09,7.299836823904116e-08
1857,3.4170564155999728e-09,7.615154373752375e-08
1858,1.2234189661342043e-08,5.0894229275399994e-08
1859,5.092173349652285e-09,4.430190969628711e-08
1860,4.119465657481669e-09,4.622955884769908e-08
