year,en_ADP ans_NOUN,en_ADP pan_NOUN
1800,1.006132621661493e-07,1.1947824862801326e-07
1801,9.28661236798689e-08,1.8811341750968325e-07
1802,9.175144555229053e-08,1.9021641151084623e-07
1803,9.946729906396001e-08,2.3404070148558276e-07
1804,9.887404028852131e-08,3.5841837409122945e-07
1805,6.25433098644379e-08,3.070308007835365e-07
1806,1.6137346481315262e-07,3.112202611177395e-07
1807,1.5088862248546775e-07,3.131650583299006e-07
1808,1.427626639127766e-07,1.994145080175258e-07
1809,7.906607124574805e-08,2.823788118888615e-07
1810,1.4508786394529238e-07,2.1529165650235882e-07
1811,8.273353602206157e-08,1.303679919573142e-07
1812,9.068508077803017e-08,1.5469807834733729e-07
1813,7.476928232108548e-08,6.039057609541487e-08
1814,3.1466771410748606e-08,8.810695817373926e-08
1815,4.855002422310406e-08,9.440282333628147e-08
1816,5.7940095388175905e-08,5.5622493277951435e-08
1817,6.383180817248757e-08,3.425121430922218e-08
1818,6.318223921830679e-08,1.0609847844733622e-07
1819,1.066158181739496e-07,7.038714056051276e-08
1820,4.509263007435038e-08,5.814575931850641e-08
1821,1.0354562518521959e-07,1.094625199371535e-07
1822,1.3334069137727056e-07,9.825103575167304e-08
1823,4.348382143248841e-08,6.028438992444762e-08
1824,5.557934468214398e-08,7.831635073785037e-08
1825,4.138558074018306e-08,1.1182912551532809e-07
1826,3.435113959948666e-08,6.429828314225006e-08
1827,6.544263980723386e-08,1.2258973097756254e-07
1828,4.035812389835414e-08,7.979902127974725e-08
1829,5.658296359234427e-08,8.315980598583295e-08
1830,2.7135772739939057e-08,6.67957504862926e-08
1831,4.989185842241284e-08,2.182768854552819e-08
1832,3.9236911608675484e-08,8.659180594783322e-08
1833,3.938433690287013e-08,6.3709958642022e-08
1834,4.760610661236342e-08,1.0174638531701419e-07
1835,9.756383434478266e-08,1.005890695182643e-07
1836,3.09154504218867e-08,8.80418282167561e-08
1837,3.478945287405111e-08,9.6714684261201e-08
1838,3.282324301245865e-08,1.1235648167406964e-07
1839,6.711815891957684e-08,7.690622583211848e-08
1840,6.369688487772862e-08,5.92381032005207e-08
1841,9.052973348744331e-08,4.751205917585821e-08
1842,7.24492630332918e-08,6.43993427473788e-08
1843,3.544146692791017e-08,4.3711141484159555e-08
1844,3.402907938765409e-08,3.677336057883451e-08
1845,2.566904799827796e-08,7.086889353136172e-08
1846,3.2785206105501175e-08,5.3861411997147e-08
1847,2.1572895470001185e-08,5.2853591725465776e-08
1848,1.930853293918844e-08,6.59708179195917e-08
1849,4.7762666932626985e-08,5.865590591014325e-08
1850,3.2587180065490884e-08,6.177986389133139e-08
1851,3.4826968864365426e-08,4.385618268543112e-08
1852,2.79953455972759e-08,7.68244383664296e-08
1853,6.270528518648177e-08,4.2997908566988485e-08
1854,3.273268556203135e-08,4.676098003253415e-08
1855,2.4411910715116392e-08,3.449509122788186e-08
1856,1.501384794266869e-08,2.847453955956425e-08
1857,4.58861838525948e-08,4.588618579548509e-08
1858,5.285170184832211e-08,5.0404862894648517e-08
1859,2.9025388315062628e-08,3.5135995668511555e-08
1860,1.968189100587381e-08,5.584164516903023e-08
1861,1.9807047502151676e-08,9.47908702642053e-08
1862,3.252950275811628e-08,2.6656119117562938e-08
1863,2.6970952249349978e-08,6.44306092922875e-08
1864,1.821996631345968e-08,4.5070443488448575e-08
1865,2.07101151783462e-08,3.1535858147080376e-08
1866,3.113992252945508e-08,3.989802710435697e-08
1867,3.299911810472622e-08,7.57038574050739e-08
1868,4.8410764397210926e-08,5.878450182184025e-08
1869,5.4207061062072626e-08,4.834684053101057e-08
1870,2.2362789842134134e-08,3.268407766654491e-08
1871,6.054070955663349e-08,2.9739296136810367e-08
1872,3.5679300403046454e-08,4.0517171728815526e-08
1873,5.566984112581608e-08,3.232442380429745e-08
1874,3.166542839050379e-08,3.823749872289284e-08
1875,3.204055232242098e-08,7.838492316336598e-08
1876,3.143927651549916e-08,1.1245587350217079e-07
1877,2.4120781705327943e-08,6.679601360914944e-08
1878,3.502671280797287e-08,7.005342922417057e-08
1879,2.627009876299269e-08,6.536978114368708e-08
1880,5.519347645588368e-08,5.455169294066309e-08
