year,en_ADP eau_NOUN,en_ADP pots_NOUN
1800,3.1787503758096136e-06,1.9179402954705438e-07
1801,2.576439555923571e-06,1.0953439755212457e-07
1802,1.4859258499200223e-06,7.51914285501698e-07
1803,2.201932985057553e-06,2.8474951818679983e-07
1804,3.030489324373775e-06,8.849226560414536e-07
1805,2.771805839074659e-06,6.02690079176682e-07
1806,1.8154515828427975e-06,2.4494187300660997e-07
1807,1.3608445215140819e-06,1.2811298688575334e-07
1808,1.4004336890138802e-06,1.8581806671136292e-07
1809,2.3855361632740824e-06,1.246984879799129e-06
1810,1.8884823020925978e-06,2.620942041176022e-07
1811,1.5669229469494894e-06,2.1310152078513056e-06
1812,1.2935960285176407e-06,9.068507722531649e-08
1813,4.155446731601842e-06,1.1502966401621961e-07
1814,1.2838443126383936e-06,9.754699448194515e-08
1815,1.4484090797850513e-06,5.3944472000466703e-08
1816,2.1762300548289204e-06,2.1785476178592944e-07
1817,1.3918448757976876e-06,1.3389110620209976e-07
1818,1.5902850138971303e-06,7.033494853203592e-08
1819,1.3725492635785486e-06,2.794783426907088e-07
1820,9.97971028482425e-07,1.1747816586193949e-07
1821,1.6942037053269132e-06,2.4259261977022106e-07
1822,1.7294187273364514e-06,1.884815787889238e-07
1823,1.5199573006885458e-06,1.6009953185402992e-07
1824,1.6134852103277808e-06,9.263224143296611e-08
1825,9.906123521474797e-07,2.9322126238184865e-07
1826,1.0745741292339517e-06,2.4398116238444345e-07
1827,1.295948550250614e-06,1.8987581995588698e-07
1828,1.5776357807917307e-06,1.1373653308055509e-07
1829,1.1325165587550146e-06,2.769135960534186e-07
1830,1.4121038334202751e-06,1.9099410053513566e-07
1831,1.3642305702887825e-06,2.525775357753446e-07
1832,1.2853470745533002e-06,3.111892965534935e-07
1833,1.4502702546659307e-06,2.2819747869107232e-07
1834,1.1350789714814624e-06,2.9030391601736483e-07
1835,1.5663155323863975e-06,2.0874122697023267e-07
1836,1.5007434512881446e-06,2.459794643527857e-07
1837,1.0840394311095736e-06,2.5326721697638277e-07
1838,1.4972448525440996e-06,2.5627377908676863e-07
1839,1.4038881772648892e-06,2.3701100815287646e-07
1840,1.4242623365134932e-06,1.598791925516707e-07
1841,1.6276090946121258e-06,2.1252016324524448e-07
1842,1.3577528821251406e-06,1.8716059457801748e-07
1843,1.7366319041145495e-06,2.0319774307608895e-07
1844,1.482460447732592e-06,3.177877090365655e-07
1845,1.506103540216408e-06,4.2744545680761803e-07
1846,1.391614934398433e-06,4.1859684074552206e-07
1847,1.3439913750801225e-06,2.847622226909152e-07
1848,1.6235256907748408e-06,2.928460673956579e-07
1849,1.2527224966252248e-06,4.374054469735711e-07
1850,1.2641111135636152e-06,2.756332264652883e-07
1851,1.2840832823712844e-06,5.133753120389883e-07
1852,9.987177236325806e-07,3.632884215676313e-07
1853,1.5377724897902567e-06,3.6428784255804203e-07
1854,1.4958318388380576e-06,1.9431784892276482e-07
1855,1.4493245217295225e-06,4.489668867790897e-07
1856,1.6701612384206754e-06,3.6913360190737876e-07
1857,1.3028747867793733e-06,2.9923651823082764e-07
1858,1.2777388309626048e-06,3.0928032401789096e-07
1859,1.353499639922262e-06,3.2029771546149277e-07
1860,1.8111916695318087e-06,2.34351816175149e-07
1861,1.883084323139883e-06,3.301174729131162e-07
1862,1.8085498547648626e-06,5.290561944093497e-07
1863,1.7695941867401643e-06,3.9207773738780816e-07
1864,1.517531341921341e-06,3.178904535161564e-07
1865,1.7208223508369258e-06,4.17497091120822e-07
1866,1.852338885832694e-06,5.040774908593448e-07
1867,1.6955722994538291e-06,6.066014179850754e-07
1868,2.0530117073036536e-06,4.272991134257609e-07
1869,1.8576907141465426e-06,2.197583626184496e-07
1870,2.1290523042338805e-06,1.1886683068951243e-06
1871,2.2368199523725707e-06,1.0663661669241264e-06
1872,1.9557096111455508e-06,5.38213214440475e-07
1873,2.254329380946274e-06,7.434617828039336e-07
1874,2.2464530360366552e-06,5.628081680697505e-07
1875,1.9190002786828586e-06,5.046387059337576e-07
1876,2.4728200003210077e-06,6.729214305778441e-07
1877,2.013776033038539e-06,1.172641077573644e-06
1878,2.335919546680998e-06,6.425590299841133e-07
1879,2.146816937553808e-06,5.883280209673103e-07
1880,2.432363761073475e-06,1.0589445764708216e-06
1881,2.5191669088542312e-06,8.178751613741042e-07
1882,2.059841768264903e-06,9.849969728747965e-07
1883,2.4588548654946862e-06,1.0477464229552425e-06
1884,2.280226148343445e-06,6.819552709202981e-07
