year,un_DET otage_NOUN,un_DET potage_NOUN
1800,1.28910740304633e-07,3.0812812923386446e-07
1801,1.738263266659601e-07,3.3336557159202584e-07
1802,1.5217312920867698e-07,4.5651938762603095e-07
1803,9.751695984050457e-08,1.4432509831685536e-07
1804,1.0134588990240445e-07,3.55946529140283e-07
1805,9.381496113292087e-08,2.985021678725275e-07
1806,8.35684019762084e-08,2.3053352826707396e-07
1807,1.366538526781369e-07,1.224190668835945e-07
1808,6.345007363961486e-08,5.91445314057637e-07
1809,5.421673421324158e-08,4.02107446006994e-07
1810,8.658469141664682e-08,2.2933242416200983e-07
1811,5.264861258069686e-08,4.011322900510095e-07
1812,8.801787032552966e-08,2.053750307595692e-07
1813,1.1790540810352468e-07,3.738464187108548e-07
1814,2.328541039986476e-07,3.744545793438192e-07
1815,9.710004889029733e-08,4.801058035575068e-07
1816,6.257530316133852e-08,1.7845549926676085e-07
1817,8.874178158979618e-08,3.300571576048128e-07
1818,1.0848271614349869e-07,2.6107379103024186e-07
1819,1.3456364911235141e-07,1.355987575557549e-07
1820,1.803705060865468e-07,1.898636972086365e-07
1821,1.8638212928578923e-07,2.130081409035256e-07
1822,9.323822780515911e-08,5.052910552194589e-07
1823,2.085246993965839e-07,2.2137218724793684e-07
1824,1.4736947129279088e-07,1.4905369205564512e-07
1825,1.382454533072064e-07,4.0857257133097846e-07
1826,1.8672926671570167e-07,2.6864352520306056e-07
1827,1.2812009181351058e-07,1.7512818661913343e-07
1828,1.7519095268925255e-07,2.632450417650034e-07
1829,6.858540563259297e-08,2.6319650103800996e-07
1830,8.662573391937656e-08,2.1395513272182143e-07
1831,1.200522896649403e-07,2.8843731225691727e-07
1832,1.0282777063164161e-07,2.665403839863245e-07
1833,9.498575082034222e-08,3.1739143280251625e-07
1834,1.0828055851952456e-07,2.8096939352906247e-07
1835,1.4142973725483898e-07,3.1159921576318084e-07
1836,1.505447978500385e-07,3.23940145818824e-07
1837,1.1202204319715747e-07,2.358725037510112e-07
1838,1.0351945278763708e-07,1.9630823544503073e-07
1839,9.927894428773953e-08,3.069257523691249e-07
1840,1.738924936267594e-07,2.484178631689815e-07
1841,1.0786521453809428e-07,2.6260042762515923e-07
1842,1.10015544674269e-07,2.924803617077032e-07
1843,1.0396163158121752e-07,2.758527450907877e-07
1844,1.427025982936314e-07,2.162493082380479e-07
1845,1.3336744136838163e-07,3.8001352464789306e-07
1846,1.3348263672163796e-07,2.1837289665427306e-07
1847,1.5910009487640764e-07,1.774370561591354e-07
1848,1.0700144564834702e-07,3.049139150057556e-07
1849,9.803915590467227e-08,2.052956726839028e-07
1850,8.486244862382364e-08,2.9124792266799204e-07
1851,1.3930788300697827e-07,2.283101272482213e-07
1852,1.3541933996386035e-07,2.864639920829859e-07
1853,9.734248562764947e-08,3.2726186738329943e-07
1854,7.1700170523048e-08,2.8835938259419436e-07
1855,1.0613874223963649e-07,3.226617657503539e-07
1856,5.7984518520015627e-08,2.9665294931646713e-07
1857,7.224633263858138e-08,3.861273825123135e-07
1858,9.493731573106956e-08,2.6523723750671024e-07
1859,1.6091267518447694e-07,2.907631042603498e-07
1860,1.3960410391589129e-07,3.290995307381195e-07
1861,1.061091827181393e-07,2.9144654956070326e-07
1862,8.313094937428822e-08,3.4110796409692057e-07
1863,1.668203361560039e-07,2.836944497097704e-07
1864,8.055142897145373e-08,2.5316162233224304e-07
1865,1.1578837405545883e-07,3.0359145064551285e-07
1866,1.0412411788340847e-07,2.471731264108712e-07
1867,1.1015882073195371e-07,2.5525789126845666e-07
1868,5.8784501488773344e-08,2.7564497795395937e-07
1869,9.767038189334443e-08,2.1536319438908436e-07
1870,8.42905176767772e-08,2.4312367408185764e-07
1871,2.294174301642471e-07,2.793369637821286e-07
1872,1.6872075958573873e-07,2.370557030673126e-07
1873,9.817047591509365e-08,2.867296018393972e-07
1874,9.619120922010893e-08,2.712472664256893e-07
1875,5.149374260327022e-08,3.066738454293727e-07
1876,8.706261667157378e-08,2.5393261005035583e-07
1877,1.0452338861099975e-07,2.9130483802930485e-07
1878,1.1111923364781617e-07,2.3129710058356068e-07
1879,8.430868958519966e-08,2.2237943753111722e-07
1880,1.135958822562344e-07,2.0858000326917647e-07
1881,1.3456938985356715e-07,2.0150547141994934e-07
1882,9.783416188291483e-08,2.815227979624524e-07
1883,6.698499382951084e-08,2.3950294192331967e-07
1884,7.723985540053491e-08,2.46903472778115e-07
1885,7.348024594344693e-08,2.4622327643442077e-07
1886,8.454037675464932e-08,1.800516429284471e-07
1887,1.0968593661120352e-07,1.919503804792555e-07
1888,8.11598710459549e-08,2.5425865590733565e-07
1889,1.2154364897876135e-07,1.9046015387047532e-07
1890,9.503860171067302e-08,1.8876632701392282e-07
1891,8.159001474439265e-08,2.1736090793922358e-07
1892,8.838602627569969e-08,2.2065163030049462e-07
1893,6.89742665205273e-08,1.8598417783621812e-07
1894,7.561847215065143e-08,2.3126648729387966e-07
1895,8.66680480715587e-08,1.8778077670589255e-07
1896,7.489226616641531e-08,2.0934452216181398e-07
1897,1.0196748623236829e-07,1.724707274775028e-07
1898,4.80960165027966e-08,1.7936985585720322e-07
1899,1.1055156612371775e-07,1.9235972814612978e-07
1900,1.225088532841312e-07,2.0660391797377997e-07
1901,5.309301842615355e-08,1.6989766482566893e-07
1902,8.249276961524998e-08,1.4730852093691738e-07
1903,7.722315142899561e-08,1.4958610083937174e-07
1904,6.449549871945237e-08,1.499520445591429e-07
1905,4.541467912844155e-08,1.930123918469917e-07
1906,5.967254040895043e-08,1.8210412555674793e-07
1907,6.017126830126784e-08,2.1394228610915889e-07
1908,8.30024735609669e-08,2.1904794866856037e-07
1909,1.089194719972042e-07,2.1288806539843108e-07
1910,1.2077780420227668e-07,2.0628422037205496e-07
1911,6.810079056229768e-08,1.9632180325857007e-07
1912,1.3179835950394292e-07,2.0212555007503852e-07
1913,9.06811262191276e-08,1.8136225321541133e-07
1914,8.839701498564168e-08,1.9688426444730567e-07
1915,1.613964339952645e-07,2.049852536600838e-07
1916,1.8129312540082765e-07,2.2524296783288378e-07
1917,1.3598366455092048e-07,2.8183710654161587e-07
1918,1.0567466190991581e-07,2.4121390396203424e-07
1919,8.931612982543413e-08,1.4732558017982456e-07
1920,9.238122800070414e-08,1.9990691413340755e-07
1921,7.572747584561057e-08,2.0219236240848204e-07
1922,9.296198449915138e-08,1.5346106430058626e-07
1923,7.218844899625765e-08,1.8684069313934515e-07
1924,6.57472828402561e-08,1.6501278876646097e-07
1925,1.1438105063099613e-07,1.8146993152612367e-07
1926,8.582526334066642e-08,1.6496285049072412e-07
1927,1.0257287208492727e-07,2.3859341613530205e-07
1928,1.0511957859726806e-07,1.6910540523440432e-07
1929,1.1251810549950392e-07,1.6153588777712002e-07
1930,8.717990707118872e-08,1.4494973443746062e-07
1931,1.0835089003791154e-07,1.5283177923208768e-07
1932,6.466126312165699e-08,1.435699275020852e-07
1933,7.111810251814177e-08,1.5829513211329527e-07
1934,7.788027112098916e-08,1.4737343612125642e-07
1935,7.779384425532498e-08,1.4960355887438936e-07
1936,9.093535835447142e-08,1.2973445207009604e-07
1937,9.317427673849465e-08,1.3850229541034764e-07
1938,8.816345820061855e-08,2.074434366505784e-07
1939,5.505858169385647e-08,1.330582453107354e-07
1940,7.860926953817682e-08,2.6625720295214705e-07
1941,7.673907065353092e-08,3.0400475381497927e-07
1942,7.888950670498218e-08,1.941895586554665e-07
1943,1.5967794109172928e-07,1.5967793931537244e-07
1944,2.409889603427473e-07,1.4459337904781933e-07
1945,2.2220740891754076e-07,1.7428033061150927e-07
1946,2.6450097045938037e-07,1.726216893871424e-07
1947,1.8834975712422874e-07,1.4305045237250624e-07
1948,1.9460679578919837e-07,1.489448653302361e-07
1949,1.0995049037898497e-07,1.1584069481429538e-07
1950,1.7122932405300162e-07,1.4464091724342154e-07
1951,1.385982248969242e-07,1.353997975961363e-07
1952,8.435843090737194e-08,1.2126524384648008e-07
1953,1.411371370885206e-07,1.5298834910026926e-07
1954,9.674810796944655e-08,1.3095198703183542e-07
1955,9.385607580014721e-08,1.2670570992412422e-07
1956,1.3953826538681824e-07,1.465151724389102e-07
1957,1.846522877935186e-07,1.2104001784196683e-07
1958,1.745443358736054e-07,9.430357206241524e-08
1959,9.84344978860463e-08,1.1161077173582612e-07
1960,1.058887471039327e-07,1.1142541622710667e-07
1961,1.7231434945585988e-07,1.3340465265798684e-07
1962,1.6108569411699136e-07,1.3571787427224535e-07
1963,1.4613280452380195e-07,1.2350161604501864e-07
1964,1.2350455946830152e-07,1.2958853146116667e-07
1965,1.6908614597355154e-07,1.0561044039292256e-07
1966,1.8666682333190465e-07,1.401385922861209e-07
1967,1.0994648613760205e-07,1.4297973116583762e-07
1968,1.1228539809060578e-07,1.4821672245091122e-07
