year,ancien_ADJ acte_NOUN,ancien_ADJ pacte_NOUN
1800,9.432493897065797e-09,1.5720821977538435e-08
1801,1.1905912700171939e-08,3.809892135109294e-08
1802,4.0281122437590966e-08,0.0
1803,3.900678446910888e-09,4.290746247193056e-08
1804,1.4831105232815389e-08,1.2359254952798437e-08
1805,4.264316544322355e-08,0.0
1806,2.881669125542885e-09,0.0
1807,1.0818429529990681e-07,0.0
1808,1.3823051858707913e-07,2.2660739951163578e-09
1809,1.5135503872443223e-07,2.710836710662079e-08
1810,8.190443878675069e-08,5.8503168531842675e-08
1811,4.763445815569867e-08,6.518399686683551e-08
1812,1.4136203674297576e-07,2.6672082320544632e-09
1813,3.163315653864629e-08,0.0
1814,3.1466771410748606e-09,4.090680150170556e-08
1815,1.3486118000116676e-08,5.3944472000466703e-08
1816,5.0987285504788815e-08,6.721051448721482e-08
1817,7.940054302935096e-08,7.784366928831332e-09
1818,7.510341504257667e-08,1.3113295338484932e-08
1819,4.6579724966022695e-08,5.3825459644940565e-08
1820,2.3732962262101864e-08,9.493184904840746e-09
1821,1.577838126820552e-08,0.0
1822,2.3058916553964082e-08,8.02049271442229e-09
1823,5.4354778122878145e-08,7.906149512848515e-09
1824,3.03160057057994e-08,1.0947446504872005e-08
1825,4.6668848341369085e-08,3.78634048558979e-08
1826,2.554315514657901e-08,2.2019960965735663e-08
1827,3.410390903013649e-08,1.013900075008678e-08
1828,5.77854990524429e-08,1.6510142586412258e-08
1829,5.486832838075273e-08,2.2290258527846163e-08
1830,1.1793624565825667e-07,5.114049628218709e-08
1831,8.731075751278183e-08,1.4032085715598441e-08
1832,1.204167290325131e-07,4.058990921151917e-09
1833,5.560141858040879e-08,9.266902467608418e-09
1834,6.534171603789218e-08,1.7735608537350345e-08
1835,7.941242330389287e-08,2.4958190181223472e-08
1836,6.653542283796554e-08,7.661655132551459e-08
1837,4.94010263807354e-08,2.7831564608504777e-08
1838,9.341999573919679e-08,2.4617431648721322e-08
1839,8.319855737681792e-08,2.9364195519576697e-08
1840,6.688173215252391e-08,4.0129037870428874e-08
1841,9.245589893680517e-08,7.704658244733764e-09
1842,5.0311989241436095e-08,3.018719141323345e-08
