year,en_ADP artères_NOUN,en_ADP parterre_NOUN
1800,1.8864987794131594e-08,1.5720821977538435e-08
1801,0.0,2.3811825844433088e-09
1802,1.5664880947952042e-08,0.0
1803,2.145373123596528e-08,1.950339223455444e-09
1804,4.943701981119375e-08,4.943701892301533e-09
1805,7.675770063997334e-08,8.528632911009026e-09
1806,3.7461699520235925e-08,8.645007376628655e-09
1807,2.2775640928784924e-08,3.131650672116848e-08
1808,2.2660739951163578e-09,1.1330369531492579e-08
1809,1.129515236897305e-08,0.0
1810,4.914266327205041e-08,1.6380887313260928e-08
1811,0.0,2.5070767684098882e-09
1812,5.3344164641089264e-09,1.0668832928217853e-08
1813,5.751483289628823e-09,0.0
1814,3.1466771410748606e-09,0.0
1815,1.0519171667056071e-07,2.4275012222574333e-08
1816,4.1716869958463576e-08,3.0128852301913867e-08
1817,7.784366928831332e-09,0.0
1818,5.960588467246453e-09,7.152706427149269e-09
1819,2.5877625375869684e-08,1.3456364911235141e-08
1820,4.746592452420373e-09,2.3732962262101864e-09
1821,3.94459531705138e-09,1.97229765852569e-09
1822,1.303330066093622e-08,9.023054303725075e-09
1823,2.9648061783404955e-09,2.3718449426723964e-08
1824,5.894778887238772e-09,1.431589158329416e-08
1825,3.434122675116669e-08,2.0252519661312363e-08
1826,2.2019960965735663e-08,1.0569580766173203e-08
1827,1.1982455028203276e-08,1.1982455028203276e-08
1828,2.8434133270138773e-08,1.1006761724274838e-08
1829,1.971830521085849e-08,1.3717081692732336e-08
1830,2.7135772739939057e-08,0.0
1831,1.5591206548037917e-08,4.677361609140007e-09
1832,8.117981842303834e-09,2.4353944638733083e-08
1833,1.853380560135065e-08,1.7375443306377747e-08
1834,2.333632664885954e-08,1.213489042584115e-08
1835,3.1764969321557146e-08,3.327758690829796e-08
1836,1.2097349788575684e-08,6.72075017860152e-09
1837,7.097048637660919e-08,9.045257876039159e-09
1838,1.7042836475411605e-08,5.049729523420865e-09
1839,2.6567605004856887e-08,3.4957374772659477e-09
1840,2.0383003729307347e-08,1.8472096741106725e-08
1841,2.760835826620678e-08,7.0626033910059505e-09
1842,1.8112315203211438e-08,1.341653010911159e-08
1843,3.5441466650354414e-08,7.678984559333912e-09
1844,8.232841963717874e-09,1.920996517412732e-08
1845,3.459741293454499e-08,1.2834524554250493e-08
1846,8.781752214304106e-09,1.5221703009160592e-08
1847,2.6426796750911308e-08,1.294373674909366e-08
1848,6.43617736884039e-09,1.126331028444838e-08
1849,1.005529792763582e-08,1.6758828991214614e-08
1850,8.146795238417326e-09,9.504594444820214e-09
1851,2.902247508984601e-08,3.224719336003545e-08
1852,2.6042181744401205e-08,2.018269107395554e-08
1853,1.6721408258035808e-08,1.3735443005202796e-08
