year,aucun_DET or_NOUN,aucun_DET porc_NOUN
1800,0.0,3.144164484325529e-09
1801,4.7623651688866175e-09,1.1905912700171939e-08
1802,1.3427040812530322e-08,0.0
1803,1.950339223455444e-09,0.0
1804,2.4718509461507665e-09,0.0
1805,1.7057265822018053e-08,0.0
1806,2.881669125542885e-09,2.881669125542885e-09
1807,1.4234775136401367e-08,2.8469551160981155e-09
1808,2.2660739951163578e-09,1.5862518409903714e-08
1809,4.518061036407062e-09,2.259030518203531e-09
1810,7.020380277111826e-09,0.0
1811,1.7549536490690798e-08,2.0056614147279106e-08
1812,2.1337665856435706e-08,8.00162425207418e-09
1813,2.8757416448144113e-09,2.0130190847567064e-08
1814,0.0,0.0
1815,8.091670444798638e-09,0.0
1816,4.6352077731626196e-09,2.3176038865813098e-09
1817,1.5568734412774177e-08,1.556873407970727e-09
1818,4.768470951432846e-09,7.152706427149269e-09
1819,1.035105001712111e-09,3.1053151161586356e-09
1820,1.0679833017945839e-08,4.746592452420373e-09
1821,9.861488403650753e-09,3.94459531705138e-09
1822,7.017931125119503e-09,0.0
1823,9.882686891060644e-10,9.882686669016039e-09
1824,1.51580028528997e-08,5.052667617633233e-09
1825,9.68598712347557e-09,8.805443041381977e-10
1826,3.5231937367541377e-09,6.1655889282974385e-09
1827,3.6869092223668076e-09,1.1982455028203276e-08
1828,5.5033806956039655e-09,0.0
1829,2.571952817387313e-09,0.0
1830,2.922314124020886e-08,1.0436835840010872e-09
1831,1.5591206103948707e-09,0.0
1832,2.8412935226818092e-08,0.0
1833,5.791814250422078e-09,5.791814139399776e-09
1834,1.1201437333241415e-08,5.600718555598405e-09
1835,6.050470346963266e-09,6.806779140333674e-09
1836,1.2097350121642592e-08,2.016224964762614e-09
1837,4.174734336004349e-09,0.0
1838,1.8936486156917454e-08,1.8936485712828244e-09
1839,5.5931801412612e-09,1.3982950353153e-09
1840,7.64362617644565e-09,6.3696887764308485e-09
1841,4.494383976094696e-09,1.2841097074556274e-09
1842,6.708265054555795e-09,2.0124795163667386e-09
1843,2.953455480181333e-09,1.7720733214154905e-09
1844,3.293136707771538e-09,3.841992946007622e-09
1845,5.580227946389016e-10,2.2320912340667576e-09
1846,7.610851504580296e-09,0.0
1847,2.7505439703645607e-08,3.775256551818984e-09
1848,4.34441957963827e-08,8.045221711050488e-10
1849,6.703531951757213e-09,0.0
1850,1.0183494048021657e-08,1.2899092460827433e-08
1851,1.0319102239364497e-08,6.449438760824933e-10
1852,2.018269107395554e-08,2.6042181744401205e-09
1853,1.4929829816878737e-08,0.0
1854,6.754363734984281e-09,3.63696517347023e-09
1855,1.0613874223963649e-09,0.0
1856,1.1907535180100126e-08,0.0
1857,1.2691923956253959e-08,1.9526036343364694e-09
1858,9.787352261980686e-09,3.4255731584664773e-09
1859,4.073738679721828e-09,0.0
1860,1.0985241161165504e-08,5.0349023839046936e-09
1861,4.7159637306393165e-09,1.4147891747029462e-09
1862,7.228778020618165e-09,2.2589932147099034e-09
1863,1.1987090431375691e-08,1.9978483312144135e-09
1864,5.274200631788517e-09,0.0
1865,1.4120533631256649e-09,4.706844358715045e-10
1866,4.379051787850585e-09,3.4059290943133647e-09
1867,9.7056229719783e-10,4.85281148598915e-10
1868,9.87974813071446e-10,9.87974813071446e-10
1869,1.953407657850903e-09,3.4184632902167778e-09
1870,1.3188312664169644e-08,1.7202146374017957e-09
1871,2.1242354542039266e-09,0.0
1872,5.442605366390296e-09,6.047339518033823e-09
1873,1.1972008939764578e-09,2.9930022904522957e-09
1874,5.377148393215236e-09,0.0
1875,3.4329162845736505e-09,1.716458086775674e-09
1876,6.650616279912924e-09,0.0
1877,7.421779302241305e-09,0.0
1878,7.2469061862534545e-09,1.8117265465633636e-09
1879,3.6655952717623563e-09,1.221865053580018e-09
