year,en_ADP anneau_NOUN,en_ADP panneau_NOUN
1800,2.7668647817336023e-07,1.2576657937302116e-08
1801,2.643112679834303e-07,4.7623651688866175e-09
1802,2.6854081625060644e-07,0.0
1803,2.7304750460643845e-07,0.0
1804,2.817910171870608e-07,0.0
1805,6.623905051128531e-07,3.695740957709859e-08
1806,1.7290014397985942e-07,0.0
1807,1.4234775846944103e-07,0.0
1808,6.345007363961486e-08,0.0
1809,1.4909601020463015e-07,3.162642769893864e-08
1810,1.4040760731859336e-07,0.0
1811,2.0307321335621964e-07,0.0
1812,1.3336041604361526e-07,0.0
1813,1.322841143291953e-07,0.0
1814,1.321604372606089e-07,0.0
1815,5.556280484597664e-07,0.0
1816,3.5691098787538067e-07,1.1588019432906549e-08
1817,3.3161404644488357e-07,0.0
1818,1.0609847578280096e-07,1.4305412854298538e-08
1819,1.9977527188075328e-07,0.0
1820,1.1273156985680544e-07,0.0
1821,1.0453177878844144e-07,0.0
1822,1.7945852448519872e-07,0.0
1823,2.3026660755931516e-07,9.882686891060644e-10
1824,1.4905369027928828e-07,0.0
1825,1.171123926724249e-07,8.805443041381977e-10
1826,1.0041102171953753e-07,0.0
1827,1.9909309401100472e-07,0.0
1828,2.953480873202352e-07,0.0
1829,1.1916714726112332e-07,1.1145129263923081e-08
1830,2.233482803148945e-07,1.0436835840010872e-09
1831,9.978371906527173e-08,0.0
1832,2.2053849590975005e-07,0.0
1833,1.957633202209763e-07,0.0
1834,1.157481861469023e-07,9.334530925997342e-10
1835,1.936150511028245e-07,6.806779140333674e-09
1836,1.317267077638462e-07,6.720750067579218e-10
1837,1.871672594688789e-07,6.957890930081589e-10
1838,1.590664737705083e-07,6.312161904276081e-10
1839,1.370329130168102e-07,1.3982950353153e-09
1840,1.1975014047038712e-07,0.0
1841,2.1765659141692595e-07,0.0
1842,1.1873628835701311e-07,5.366612043644636e-09
1843,9.628264763250627e-08,1.7720733769266417e-09
1844,1.5367972139301855e-07,0.0
1845,1.1383664855202369e-07,0.0
1846,1.6158423932211008e-07,5.854501328173001e-10
1847,1.1217905182547838e-07,0.0
1848,1.3757329497821047e-07,3.218088684420195e-09
1849,1.240153437720437e-07,4.1897072478036534e-09
1850,1.1880742789571741e-07,0.0
1851,8.384270699934859e-08,0.0
1852,1.790400006029813e-07,1.3021090872200602e-09
1853,1.2421618578173366e-07,0.0
1854,8.676759932768618e-08,5.195664454227256e-10
1855,1.2736649068756378e-07,5.306937111981824e-10
1856,9.06008139622827e-08,5.177189232874468e-10
1857,1.4302821682576905e-07,0.0
