year,son_DET arc_NOUN,son_DET parc_NOUN
1800,1.4274506625611139e-06,6.476978868796834e-07
1801,9.024681801861334e-07,4.3575641583970537e-07
1802,1.6739043928737374e-06,4.609950678968744e-07
1803,1.328181038928733e-06,5.538963367968108e-07
1804,2.4520761172652783e-06,3.856087438247613e-07
1805,1.6971979546198668e-06,4.6623194438488724e-07
1806,1.5330479428143917e-06,5.331087900017906e-07
1807,1.0163630186355022e-06,4.4412499988766285e-07
1808,1.554526804170564e-06,4.078933066864465e-07
1809,1.1385514113726458e-06,5.173180039896863e-07
1810,1.872101432098816e-06,4.6802536424195296e-07
1811,1.3086941272888453e-06,6.393045541841502e-07
1812,1.31493369792679e-06,5.334416264268782e-07
1813,1.575906409811978e-06,4.514914302422568e-07
1814,1.2555241752920665e-06,4.0592133876415915e-07
1815,8.03772610247222e-07,2.9669458267989057e-07
1816,7.856676980111388e-07,3.3837016388815755e-07
1817,7.690954415551232e-07,4.592776630119033e-07
1818,8.654775029981465e-07,3.659801539601659e-07
1819,1.1883005655022316e-06,4.099015811220852e-07
1820,1.1439287774805962e-06,3.8091405496487596e-07
1821,1.273118115818761e-06,4.57573052337068e-07
1822,9.935385492099158e-07,4.1004770423569425e-07
1823,7.155065269159877e-07,4.921578167227381e-07
1824,1.4037995370586032e-06,5.54109233164013e-07
1825,1.0548921096642516e-06,5.26565490099884e-07
1826,8.93129598722453e-07,4.7122716873015946e-07
1827,8.111200351379466e-07,5.72392637732122e-07
1828,8.062452723223146e-07,3.9165725707057675e-07
1829,7.92161451101947e-07,5.478259539337671e-07
1830,8.798252641994964e-07,4.978370591324222e-07
1831,7.60850834780058e-07,4.1940345063551376e-07
1832,9.295088965188825e-07,4.7084294552135475e-07
1833,1.1317204808847237e-06,4.36702804140765e-07
1834,1.164949495091605e-06,4.097858945506516e-07
1835,1.2017747224035702e-06,5.097521480479372e-07
1836,1.0974985151790406e-06,4.1735857631008955e-07
1837,9.323573904040927e-07,4.9470603302737e-07
1838,8.458297084956712e-07,4.039783576548217e-07
1839,8.347821456311522e-07,4.36967198425009e-07
1840,8.516273908298899e-07,3.707158778842867e-07
1841,1.0972716957269313e-06,3.762441433963204e-07
1842,8.38533130931296e-07,4.7360352084524493e-07
1843,8.240141182724869e-07,3.5854950253266793e-07
1844,7.343694807815382e-07,4.0286040769998976e-07
1845,8.839081164779827e-07,4.017764063668494e-07
1846,7.318126922228885e-07,4.0747328711177033e-07
1847,5.83546817978231e-07,3.7375039951825784e-07
1848,6.500538933806865e-07,4.030655986753118e-07
1849,7.248193973907746e-07,3.821013234706072e-07
1850,9.083676761889592e-07,3.9579847666004753e-07
1851,6.288202856197245e-07,3.9664047979393047e-07
1852,6.998836159510802e-07,3.1185513105214113e-07
1853,7.178262233509258e-07,4.150492638466119e-07
1854,7.70517029735629e-07,1.75405633751069e-06
1855,9.494110564389757e-07,6.240958079217762e-07
1856,8.873702181944054e-07,7.739898115199928e-07
1857,1.1920644844565231e-06,1.0046145235698134e-06
1858,8.994576781162777e-07,5.603259198849742e-07
1859,9.563101777132488e-07,4.6491542482485215e-07
1860,8.229776851109705e-07,4.915895533974535e-07
1861,8.790556176307973e-07,4.2019236889956346e-07
1862,8.950130681029123e-07,4.2966049784709526e-07
1863,8.880436013214421e-07,5.074535001092784e-07
1864,1.0721011740599806e-06,4.109081750414134e-07
1865,1.0110301413845946e-06,4.6409485299214737e-07
1866,9.278724064643029e-07,4.349857987140382e-07
1867,1.1108085189448502e-06,5.595291714399764e-07
1868,1.4295995285351637e-06,5.873510064979826e-07
1869,7.882000163661473e-07,4.839567524506094e-07
1870,9.982979456424346e-07,3.9736958701297453e-07
1871,7.190537116841256e-07,5.639845301885771e-07
1872,7.341469796529054e-07,4.4629364737147625e-07
1873,6.69235319605832e-07,4.1063990785517035e-07
1874,8.173265015898323e-07,4.857357165377607e-07
1875,7.191959774388579e-07,4.0279549828881045e-07
1876,8.966239981589297e-07,4.5103271584245874e-07
1877,8.405164741986937e-07,4.0943482071398307e-07
1878,8.623818406050532e-07,4.98828748751734e-07
1879,6.885209682394589e-07,5.186817277902378e-07
1880,7.162316624231835e-07,4.595178018096391e-07
1881,5.835988554636629e-07,5.361858521624185e-07
1882,7.773489869578043e-07,4.412520346885884e-07
1883,7.260920185103714e-07,4.935403721262333e-07
1884,6.324425889658869e-07,4.0336369799831573e-07
1885,5.749507065999637e-07,3.9705116444688215e-07
1886,6.588986600775115e-07,3.743009021617283e-07
1887,7.475618577501564e-07,3.989172925322748e-07
1888,6.562536070120473e-07,3.937521664276744e-07
1889,6.716226685909987e-07,3.8405288904641566e-07
1890,6.606821552068709e-07,5.0206601631686e-07
1891,5.91527628657218e-07,3.9201453683190834e-07
1892,6.782530377336116e-07,4.17482933556812e-07
1893,5.425565068328808e-07,4.3663172411001483e-07
1894,5.331102501671126e-07,4.429982047859937e-07
