year,son_DET appât_NOUN,son_DET papas_NOUN
1800,0.0,0.0
1801,2.3811825400343878e-08,0.0
1802,2.2378401354217203e-09,0.0
1803,2.3404069793286908e-08,0.0
1804,9.887403784603066e-09,0.0
1805,1.02343598484822e-07,0.0
1806,0.0,0.0
1807,2.8469551160981155e-09,0.0
1808,0.0,0.0
1809,9.036122072814123e-09,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,2.0130190847567064e-08,0.0
1814,3.1466771410748606e-09,0.0
1815,0.0,0.0
1816,2.3176038865813098e-09,0.0
1817,1.0898113522728181e-08,0.0
1818,4.768470951432846e-09,0.0
1819,9.315945348475907e-09,5.175524897538253e-09
1820,1.1866481131050932e-09,7.119888678630559e-09
1821,8.875339574387908e-09,0.0
1822,1.4035862250239006e-08,0.0
1823,8.894418535021487e-09,0.0
1824,8.421112696055388e-10,5.052667617633233e-09
1825,6.163809906922779e-09,8.805443485471187e-09
1826,1.3211976401805714e-08,8.807984341885344e-10
1827,1.013900075008678e-08,1.013900075008678e-08
1828,1.0089530988466322e-08,4.586150570418113e-09
1829,8.573175946935407e-09,8.57317605795771e-10
1830,9.39315203396518e-09,0.0
1831,1.5591206103948707e-09,0.0
1832,8.117981842303834e-09,0.0
1833,0.0,0.0
1834,1.4001796166951408e-08,0.0
1835,7.563087933704082e-09,2.2689263801112247e-09
1836,1.008112526790228e-08,0.0
1837,4.87052354003481e-09,0.0
1838,5.049729523420865e-09,5.049729523420865e-09
1839,1.11863602825224e-08,0.0
1840,1.2739377330817092e-09,1.2739377330817092e-09
1841,1.0914932957462042e-08,0.0
1842,6.708265054555795e-09,0.0
1843,7.678984559333912e-09,4.134837805480629e-09
1844,7.1351298203126134e-09,5.488561272137815e-10
1845,7.254296274794569e-09,1.674068439427856e-09
1846,4.0981511517657054e-09,2.9272506640865004e-09
1847,5.9325460100012606e-09,0.0
1848,8.04522137798358e-09,3.218088684420195e-09
1849,2.513824481908955e-09,0.0
1850,1.3577992064028876e-08,6.788996032014438e-10
1851,2.3862924081186065e-08,0.0
1852,1.5625309046640723e-08,1.3021090872200602e-09
1853,2.388772735173461e-09,2.9859659189668264e-09
1854,8.313063126763609e-09,1.558699391779328e-09
1855,1.0613874223963649e-08,0.0
1856,5.694908100650764e-09,1.0354378465748937e-09
1857,2.4407544874094356e-09,0.0
1858,4.893676019968041e-10,1.9574704079872163e-09
1859,1.782260738991681e-08,0.0
1860,1.1442959468865865e-08,4.577183909670879e-10
1861,5.187560159214399e-09,0.0
1862,4.066187830886747e-09,0.0
1863,3.995696662428827e-09,4.994620828036034e-10
1864,5.753673537611803e-09,0.0
1865,6.118897832863013e-09,4.706844358715045e-10
1866,2.432806400776144e-09,0.0
1867,2.91168689159349e-09,4.85281148598915e-10
1868,5.433861360870651e-09,4.93987406535723e-10
1869,5.860222973552709e-09,0.0
1870,5.160643912205387e-09,0.0
1871,1.0621177271019633e-09,0.0
1872,1.0885210954825197e-08,0.0
1873,2.9930022904522957e-09,0.0
1874,1.1949218281515073e-09,0.0
1875,1.1443054281912168e-09,1.716458086775674e-09
1876,1.209202959984168e-09,0.0
1877,3.092407996341251e-09,0.0
1878,3.0195443923020093e-09,0.0
1879,7.331190321480108e-09,0.0
1880,0.0,6.417846254436199e-10
1881,1.3945014920579979e-08,0.0
1882,1.9966155395678697e-09,0.0
1883,3.791603475633565e-09,0.0
1884,6.601696966868076e-09,0.0
1885,1.933690763067375e-09,0.0
1886,9.680196200179125e-09,0.0
1887,1.9586774424595887e-09,0.0
1888,5.07249175996094e-09,3.804368819970705e-09
1889,2.5060546970934183e-09,0.0
1890,3.9326319978272295e-09,0.0
1891,6.3742202627281586e-09,0.0
1892,2.5074049503359674e-09,0.0
1893,9.23762488724833e-09,0.0
1894,5.041231432301174e-09,4.411077725308132e-09
1895,6.6204757231957956e-09,0.0
1896,2.358811590497112e-09,5.89702897624278e-10
1897,8.157399200570126e-09,5.826713556089658e-10
1898,6.224190496340043e-09,0.0
1899,3.8693048765026106e-09,2.2110313580014918e-09
1900,3.633737311048435e-09,2.07642125715779e-09
1901,2.794369402536745e-09,1.1177477832191585e-09
1902,8.838511256215043e-09,0.0
1903,7.560307935250421e-09,0.0
1904,3.2247751136083025e-09,0.0
1905,2.580379465655369e-09,0.0
1906,1.0288369267641428e-08,0.0
1907,2.5714217422034835e-09,0.0
1908,9.331639461152008e-09,0.0
1909,1.1552065082298668e-08,5.500983557560346e-10
1910,5.34415089958884e-09,0.0
1911,3.7242617878519013e-09,0.0
1912,8.335073964360618e-09,5.209421227725386e-10
1913,1.590896969716482e-09,0.0
1914,2.678697486047099e-09,6.696743715117748e-10
1915,2.3561523843085297e-09,0.0
1916,2.197492410260793e-09,0.0
1917,0.0,1.0966424435210342e-09
1918,1.1486376294556067e-09,0.0
1919,1.3811772170413406e-08,9.207848372660976e-10
1920,3.028892692213958e-09,0.0
1921,2.2718242842501013e-09,0.0
1922,5.164555005876537e-09,0.0
1923,4.246379248229459e-09,0.0
1924,2.0626599095407983e-08,0.0
1925,8.798542339150117e-09,0.0
1926,1.114613823460786e-08,0.0
1927,2.6758140592164636e-08,0.0
1928,9.14083297942625e-09,0.0
1929,6.684243825105796e-09,0.0
1930,9.453243521306831e-09,0.0
1931,1.2545892325022123e-08,0.0
1932,7.671675517073595e-09,0.0
1933,3.4411986593596566e-09,0.0
1934,8.38710612072191e-09,0.0
1935,4.787313656606784e-09,0.0
1936,4.849885826274658e-09,2.424942913137329e-09
1937,3.777335333410292e-09,1.2591118148108649e-09
1938,1.2965214457594243e-09,0.0
1939,7.647025235257843e-09,0.0
1940,1.5214697057785997e-08,0.0
1941,2.9515025978810172e-09,0.0
1942,6.068423541449874e-09,0.0
1943,5.806470415592457e-09,0.0
1944,6.4263723231761105e-09,0.0
