year,bien_ADV eu_VERB,bien_ADV pu_VERB
1800,2.5153315164061496e-07,1.6884163187569357e-06
1801,4.0956339830700017e-07,1.597773461980978e-06
1802,4.856112809648039e-07,1.30242301565886e-06
1803,2.5354410126965377e-07,1.2462667200452415e-06
1804,3.831368928786105e-07,1.6610838429187424e-06
1805,3.752598445316835e-07,1.3958529052615631e-06
1806,3.602086451337527e-07,1.5388112615255523e-06
1807,2.932363827312656e-07,1.7793469169191667e-06
1808,2.5380029455845943e-07,1.7834001937444555e-06
1809,4.3373387370593264e-07,1.737194452289259e-06
1810,2.69114565298878e-07,1.7036122699209955e-06
1811,4.78851688967552e-07,1.6346140228051809e-06
1812,3.494042744023318e-07,1.7870295323518803e-06
1813,4.3423699480626965e-07,2.3207235244626645e-06
1814,3.4613449884091096e-07,1.9289129795652116e-06
1815,3.263640451223182e-07,1.6587924847044633e-06
1816,2.9201808615653135e-07,1.2955405281900312e-06
1817,3.829908621355571e-07,1.6129208688653307e-06
1818,3.552510747795168e-07,1.6200880281758145e-06
1819,3.7263779972818156e-07,1.8135040136257885e-06
1820,5.078853746454115e-07,1.4334709703689441e-06
1821,3.816396088041074e-07,1.9101703401247505e-06
1822,5.383755592447415e-07,1.7735314941091929e-06
1823,5.277354944155377e-07,2.282900595673709e-06
1824,5.776883540420386e-07,1.6884331444089185e-06
1825,4.261834476437798e-07,2.0041188690811396e-06
1826,4.289488515496487e-07,1.6946561345321243e-06
1827,3.548650227003236e-07,1.7724815961628337e-06
1828,4.06332958391431e-07,2.3572813461214537e-06
1829,4.192283142856468e-07,2.0524182673398172e-06
1830,4.1538606865287875e-07,2.074842996080406e-06
1831,4.7241354650395806e-07,2.0268566913728137e-06
1832,3.8154513504196075e-07,1.864429805209511e-06
1833,3.9616008962184424e-07,2.020184865614283e-06
1834,4.01384824044726e-07,2.073199311780627e-06
1835,5.00676435422065e-07,2.1365724478528136e-06
1836,5.087607632958679e-07,2.2709414224664215e-06
1837,5.29495480350306e-07,2.074842996080406e-06
1838,5.352713401407527e-07,1.9883309505530633e-06
1839,3.355908120283857e-07,1.927549647007254e-06
1840,3.363195730798907e-07,2.131934706994798e-06
1841,4.1091510638580075e-07,2.3935804165375885e-06
1842,4.004834295301407e-07,2.2452563825936522e-06
1843,3.904468144355633e-07,2.170199195461464e-06
1844,4.2097263985851896e-07,2.451191448926693e-06
1845,3.336976419632265e-07,2.238787374153617e-06
1846,4.437711993432458e-07,2.4460107397317188e-06
1847,3.5487411764734134e-07,2.2139183784020133e-06
1848,4.111108182769385e-07,1.9163717297487892e-06
1849,3.728839601535583e-07,1.959107294169371e-06
1850,4.82018720049382e-07,2.31301100939163e-06
1851,3.5471913406581734e-07,1.972238351299893e-06
1852,3.684968703510094e-07,2.0612387743312865e-06
1853,5.303075454321515e-07,2.119438704539789e-06
1854,4.977446792508999e-07,1.960324198080343e-06
1855,4.6701046585440054e-07,2.11428368857014e-06
1856,4.3125984916514426e-07,2.1899511466472177e-06
1857,4.2713205061772896e-07,2.1957027911412297e-06
1858,5.304744945533457e-07,2.2231970433495007e-06
1859,4.6898915684323583e-07,2.0704776488855714e-06
1860,3.9592640632690745e-07,2.1723315057897707e-06
1861,4.357550551503664e-07,2.209429112554062e-06
1862,4.635454047274834e-07,2.2074880234868033e-06
1863,4.400260991133109e-07,2.1886428385187173e-06
1864,3.8405769942073675e-07,2.246809572170605e-06
1865,4.344417448010063e-07,2.316238123967196e-06
1866,4.6709882894901966e-07,2.233316308775102e-06
1867,5.342945428310486e-07,2.0634154225263046e-06
1868,4.801557338396378e-07,1.996203081944259e-06
1869,4.653993812553381e-07,2.199048594775377e-06
1870,4.5413665361593303e-07,2.042468167928746e-06
1871,5.26810367773578e-07,1.818345594983839e-06
1872,4.408510392295284e-07,2.030696578003699e-06
1873,5.141977794664854e-07,2.054396645689849e-06
1874,5.263630669105623e-07,1.9662438717205077e-06
1875,4.771753765453468e-07,2.0849245174758835e-06
1876,4.6796154151707015e-07,2.1916803234489635e-06
1877,3.8655099388051894e-07,2.0341860818007262e-06
1878,4.1911275161510275e-07,1.823200818762416e-06
1879,5.070739916845923e-07,2.0502895949903177e-06
1880,4.999502039026993e-07,2.0306065380282234e-06
1881,4.364789845112682e-07,1.793328920030035e-06
1882,5.58386830107338e-07,2.009260697377613e-06
1883,4.948042260366492e-07,2.168797209378681e-06
1884,4.832442073166021e-07,2.1481921521626646e-06
1885,4.5054994757265376e-07,2.0980544377380284e-06
1886,4.581959274219116e-07,1.9896028788934927e-06
1887,4.5049580421618884e-07,1.7941484884431702e-06
1888,5.376841158977186e-07,1.8356079181103269e-06
1889,5.450668822959415e-07,1.8739024199021515e-06
1890,4.5487442434932746e-07,1.8548913658378297e-06
1891,5.137621315043361e-07,1.8421495724396664e-06
1892,6.061651447453187e-07,1.7909139842231525e-06
1893,5.487149223881715e-07,1.8881704590967274e-06
1894,5.784813197351468e-07,1.94591530089383e-06
1895,4.98341307775263e-07,1.873594669632439e-06
1896,5.218870455792057e-07,1.8941257167170988e-06
1897,5.110027814225759e-07,1.8208479559689295e-06
1898,5.386754082792322e-07,1.9979650005552685e-06
1899,5.632602437799505e-07,1.7771164948499063e-06
1900,4.80172388961364e-07,1.7405601511200075e-06
