year,mon_DET or_NOUN,mon_DET port_NOUN
1800,1.1633408414368773e-07,2.5153315874604232e-08
1801,1.0715321963061797e-07,1.3572740198419808e-07
1802,1.0070280609397742e-07,2.6854081625060644e-08
1803,9.361628405812894e-08,3.315576790896557e-08
1804,1.3842365897964726e-07,9.887403784603066e-09
1805,1.0518647619583987e-07,1.1371510844071508e-08
1806,1.210301006082659e-07,1.4408345627714425e-08
1807,1.1387820464392462e-07,0.0
1808,4.305540501903238e-08,1.3596443970698147e-08
1809,1.0165637687187257e-07,1.581321384946932e-08
1810,6.318342293809565e-08,2.3401266702194334e-08
1811,9.777599174753959e-08,2.2563690471599784e-08
1812,8.001624962616916e-08,2.6672082320544632e-09
1813,3.7384642270765767e-08,2.0130191735745484e-08
1814,7.866693074731756e-08,9.440031423224582e-09
1815,1.4295284955778698e-07,8.091670444798638e-09
1816,5.0987283728431976e-08,0.0
1817,7.161617898709949e-08,1.2454987263765815e-08
1818,8.225612324608278e-08,7.152706427149269e-09
1819,9.212434293193184e-08,2.2772310703800258e-08
1820,2.088500679064964e-07,2.966620282762733e-08
1821,1.8145138369618508e-07,2.2681422962023134e-08
1822,8.120748873352568e-08,9.023054303725075e-09
1823,1.413224272051039e-07,1.1859224269272772e-08
1824,1.381062544325573e-07,2.0210671358711352e-08
1825,6.427973353595462e-08,5.283266046873791e-09
1826,7.134467594482885e-08,3.2589541731908866e-08
1827,5.806882030778837e-08,3.6869092223668076e-09
1828,1.1190207510614059e-07,1.1923991238838028e-08
1829,9.77342076158294e-08,6.001223074036943e-09
1830,1.0436835840010872e-07,7.30578508800761e-09
1831,8.263339257297275e-08,7.795603051974354e-09
1832,1.637126312292736e-07,2.8412935226818092e-08
1833,2.2356402618051163e-07,9.266902800675325e-09
1834,1.3255034403414356e-07,1.7735608537350345e-08
1835,1.0890846624533879e-07,2.647080776796429e-08
1836,1.2298972573709932e-07,1.8818100855355624e-08
1837,1.6072728514782142e-07,2.3656829162277404e-08
1838,9.278878199125984e-08,8.837026888031119e-09
1839,1.0836786323853431e-07,1.1885507356090841e-08
1840,1.0127805277759805e-07,1.2739376997750185e-08
1841,1.1107548747446572e-07,1.5409316489467528e-08
1842,1.422152213770289e-07,2.3478928579123703e-08
1843,8.919435912080331e-08,2.3627644951673688e-08
1844,7.46444339672081e-08,3.01870876628918e-08
1845,1.2778722091599803e-07,1.6182660933505844e-08
1846,8.606117085641074e-08,1.4050803187615202e-08
1847,1.2512278502185836e-07,1.1865092020002521e-08
1848,9.010648333029891e-08,1.2067832844131487e-08
1849,5.530413860199701e-08,2.8490010350878947e-08
1850,1.1405512978512888e-07,3.394498016007219e-09
1851,6.578427780290497e-08,1.0319102017319892e-08
1852,9.375185161530908e-08,9.765818154150452e-09
