year,en_ADP eau_NOUN,en_ADP peau_NOUN
1800,3.1787503758096136e-06,1.0690159513160324e-07
1801,2.576439555923571e-06,7.619784270218588e-08
1802,1.4859258499200223e-06,9.84649659585557e-08
1803,2.201932985057553e-06,1.2092102963379148e-07
1804,3.030489324373775e-06,2.867347177470947e-07
1805,2.771805839074659e-06,2.6723051860244595e-07
1806,1.8154515828427975e-06,2.622318788780831e-07
1807,1.3608445215140819e-06,2.1636859059981361e-07
1808,1.4004336890138802e-06,2.130109493236887e-07
1809,2.3855361632740824e-06,2.394572220509872e-07
1810,1.8884823020925978e-06,2.223120389999167e-07
1811,1.5669229469494894e-06,1.6295999216708879e-07
1812,1.2935960285176407e-06,2.827240734859515e-07
1813,4.155446731601842e-06,1.2078115219082974e-07
1814,1.2838443126383936e-06,2.863476140646526e-07
1815,1.4484090797850513e-06,5.529308282348211e-07
1816,2.1762300548289204e-06,2.9201808615653135e-07
1817,1.3918448757976876e-06,1.9927979622025305e-07
1818,1.5902850138971303e-06,3.5048262247983075e-07
1819,1.3725492635785486e-06,3.519357107961696e-07
1820,9.97971028482425e-07,3.1090181096260494e-07
1821,1.6942037053269132e-06,1.8342367980039853e-07
1822,1.7294187273364514e-06,2.1555074170009902e-07
1823,1.5199573006885458e-06,5.109349103804561e-07
1824,1.6134852103277808e-06,3.7221317938929133e-07
1825,9.906123521474797e-07,3.002656114858837e-07
1826,1.0745741292339517e-06,6.165589070405986e-07
1827,1.295948550250614e-06,5.364452704270661e-07
1828,1.5776357807917307e-06,3.5863698144567024e-07
1829,1.1325165587550146e-06,3.9865267353889067e-07
1830,1.4121038334202751e-06,6.982243121456122e-07
1831,1.3642305702887825e-06,6.330029691525851e-07
1832,1.2853470745533002e-06,4.316060255860066e-07
1833,1.4502702546659307e-06,6.058237431716407e-07
1834,1.1350789714814624e-06,4.1538663708706736e-07
1835,1.5663155323863975e-06,6.511818924082036e-07
1836,1.5007434512881446e-06,5.356437782211287e-07
1837,1.0840394311095736e-06,6.978764872656029e-07
1838,1.4972448525440996e-06,3.4338160048719146e-07
1839,1.4038881772648892e-06,6.11754103374551e-07
1840,1.4242623365134932e-06,6.758239692317147e-07
1841,1.6276090946121258e-06,7.627611466887174e-07
1842,1.3577528821251406e-06,5.339779249879939e-07
1843,1.7366319041145495e-06,6.745692644472001e-07
1844,1.482460447732592e-06,5.944111762801185e-07
1845,1.506103540216408e-06,6.121509841250372e-07
1846,1.391614934398433e-06,5.315887392498553e-07
1847,1.3439913750801225e-06,6.04041019869328e-07
1848,1.6235256907748408e-06,5.325936740518955e-07
1849,1.2527224966252248e-06,5.454999154608231e-07
1850,1.2641111135636152e-06,7.800556431902805e-07
1851,1.2840832823712844e-06,8.726090641175688e-07
1852,9.987177236325806e-07,6.289187126640172e-07
1853,1.5377724897902567e-06,6.724395120727422e-07
1854,1.4958318388380576e-06,6.676428938590107e-07
1855,1.4493245217295225e-06,5.911928155910573e-07
1856,1.6701612384206754e-06,6.336879891932767e-07
1857,1.3028747867793733e-06,8.576811296734377e-07
1858,1.2777388309626048e-06,6.758166364306817e-07
1859,1.353499639922262e-06,6.584180027857656e-07
1860,1.8111916695318087e-06,7.396729415631853e-07
1861,1.883084323139883e-06,1.4228062354959548e-06
1862,1.8085498547648626e-06,6.754389687557705e-07
1863,1.7695941867401643e-06,6.932533551662345e-07
1864,1.517531341921341e-06,7.024276555966935e-07
1865,1.7208223508369258e-06,6.057708787921001e-07
1866,1.852338885832694e-06,5.858198051100771e-07
1867,1.6955722994538291e-06,9.676506351752323e-07
1868,2.0530117073036536e-06,8.200190677598584e-07
1869,1.8576907141465426e-06,6.978548867664358e-07
1870,2.1290523042338805e-06,5.825793323310791e-07
1871,2.2368199523725707e-06,6.266494665396749e-07
1872,1.9557096111455508e-06,6.470652920143039e-07
1873,2.254329380946274e-06,7.739903935544135e-07
1874,2.2464530360366552e-06,7.862585675866285e-07
1875,1.9190002786828586e-06,7.277782287928858e-07
1876,2.4728200003210077e-06,9.111344070333871e-07
1877,2.013776033038539e-06,1.0495632523088716e-06
1878,2.335919546680998e-06,9.759166914591333e-07
1879,2.146816937553808e-06,1.0410290087747853e-06
1880,2.432363761073475e-06,1.0467507536304765e-06
1881,2.5191669088542312e-06,1.0186834060732508e-06
1882,2.059841768264903e-06,9.410714483237825e-07
1883,2.4588548654946862e-06,1.2404861990944482e-06
1884,2.280226148343445e-06,1.0298647339368472e-06
1885,2.480925262560163e-06,1.3245780792203732e-06
1886,2.509752055068759e-06,1.1254841183472308e-06
1887,2.944544934990745e-06,1.0302643431714387e-06
1888,2.8526426163466567e-06,1.3315291198523482e-06
1889,2.7836001859071757e-06,1.4478730463451939e-06
1890,2.89048454860108e-06,1.3554471252064104e-06
1891,2.7166926770405553e-06,1.4240007430998958e-06
1892,3.2270301826287096e-06,1.152779418589489e-06
1893,3.2183885432246484e-06,1.2304516303629498e-06
