year,un_DET or_NOUN,un_DET port_NOUN
1800,4.4961552170263985e-07,6.756809440844336e-06
1801,5.762461718905598e-07,6.576826372395317e-06
1802,6.019789964284428e-07,7.03129347812137e-06
1803,3.335080056565687e-07,1.0457718495615609e-05
1804,6.67399774556543e-07,8.658894230961778e-06
1805,4.264316615376629e-07,7.564897693157491e-06
1806,4.2072369854651015e-07,7.982223131364208e-06
1807,4.128084847287994e-07,8.130903626835106e-06
1808,5.053345026873046e-07,8.821826166460767e-06
1809,2.6430655797327063e-07,6.225888309785432e-06
1810,3.5803939590906e-07,6.38386596563123e-06
1811,7.420947225611485e-07,7.89729212868906e-06
1812,4.4275655497472144e-07,6.091903763660866e-06
1813,4.486157074712338e-07,9.084467727404899e-06
1814,2.5488085952929396e-07,6.431808301954334e-06
1815,2.8051123601713357e-07,4.5987662318225375e-06
1816,3.3373494900956757e-07,5.701305461514039e-06
1817,3.596377702308473e-07,6.92497298260264e-06
1818,4.1128063266171466e-07,5.695938511962595e-06
1819,4.3370898339389896e-07,4.6041470973534615e-06
1820,5.339916668845035e-07,6.4316326700009085e-06
1821,3.9939027973723285e-07,4.7660573656571614e-06
1822,4.210758675071702e-07,5.1802358598251885e-06
1823,3.3996441639594366e-07,4.759502175488706e-06
1824,3.9747652991195537e-07,5.105720529030577e-06
1825,3.971254782797473e-07,5.330815291415547e-06
1826,3.1796822663743285e-07,6.58661085140011e-06
1827,3.659257501453794e-07,7.009736368246422e-06
1828,3.3754069272973197e-07,5.876693556672308e-06
1829,2.700550321144135e-07,5.684872906641658e-06
1830,2.661393030400916e-07,6.137903248770726e-06
1831,3.3677005895071943e-07,7.192223549168375e-06
1832,3.084832966848694e-07,5.072385661719636e-06
1833,3.312917766784551e-07,7.663729050477741e-06
1834,4.2005388944943434e-07,8.203185497990262e-06
1835,4.00843653380889e-07,6.287194786125383e-06
1836,3.803944532698722e-07,5.144062289019757e-06
1837,3.0266826422931103e-07,6.201568346853037e-06
1838,4.336455154962948e-07,5.731443160073013e-06
1839,2.712692359629898e-07,6.428661368573785e-06
1840,3.044711236466213e-07,5.993239931001426e-06
1841,3.890852333654493e-07,5.734833973036757e-06
1842,3.0790937222135994e-07,6.014630479000971e-06
1843,3.142476772133307e-07,5.810037663422918e-06
1844,2.969311720946166e-07,6.4380821491738516e-06
1845,2.818015216732306e-07,6.248739229164357e-06
1846,2.359364073001302e-07,6.706331380001984e-06
1847,2.389198110464008e-07,5.723288953873862e-06
1848,2.622742316660265e-07,6.366988394290729e-06
1849,2.1702684072089085e-07,5.817827666732001e-06
1850,2.4033045598059743e-07,5.990610230099946e-06
1851,2.8313036226634836e-07,7.31753312166461e-06
1852,2.994851013848887e-07,6.576301768035364e-06
1853,3.039713381003395e-07,5.519856753011254e-06
1854,3.0342679568917674e-07,6.832818296942378e-06
1855,3.157627688210596e-07,6.100855046042852e-06
1856,3.05454175508757e-07,6.280448232587332e-06
1857,4.0760602182388084e-07,5.814365472645022e-06
1858,2.8089699988242955e-07,6.466014042416646e-06
1859,2.8261562801112916e-07,5.880951142955837e-06
1860,2.3984443742186556e-07,5.165809611185068e-06
1861,2.801282459330423e-07,6.304300484316627e-06
1862,3.203252283423552e-07,5.825039778528662e-06
1863,3.156600310028068e-07,5.1534495515426215e-06
1864,3.04944698381604e-07,6.298834037465895e-06
1865,2.7676245673013966e-07,6.15043347096389e-06
1866,3.4643163537850796e-07,5.430510789494747e-06
1867,2.9747733343299387e-07,5.206581370487129e-06
1868,2.657652117266096e-07,5.544020677206163e-06
1869,2.1878165790134574e-07,4.4938143375361506e-06
1870,2.6204603731372345e-07,5.061444884546518e-06
1871,1.6993883589222492e-07,4.7168647689943555e-06
1872,2.666876723900202e-07,5.788513391280503e-06
1873,2.3405277038701655e-07,4.821726449222297e-06
1874,1.8162811832311831e-07,5.28394431853485e-06
1875,2.385876887167626e-07,4.475378318602452e-06
1876,1.8682186286866909e-07,6.52244072796293e-06
1877,2.2389034581848932e-07,6.13657465464712e-06
1878,1.7332184998331002e-07,6.130278983107473e-06
1879,1.9549841123733813e-07,5.554598644152975e-06
1880,1.8675932844658405e-07,7.67317693117775e-06
1881,2.168449799722083e-07,6.62667107320658e-06
1882,1.6571908467710728e-07,6.423112047571067e-06
1883,1.9526757766286096e-07,6.052662705258172e-06
1884,1.7956616193970376e-07,6.207575736993931e-06
1885,1.7983322930792411e-07,6.29222977011068e-06
1886,1.6327263929749591e-07,6.55671942695335e-06
1887,1.912974973983239e-07,6.049701632093729e-06
1888,1.6739223385187074e-07,6.359002618694376e-06
1889,2.1677373718276272e-07,5.591007845140439e-06
1890,1.8811089363968136e-07,6.06805095060281e-06
1891,2.581559104264386e-07,6.252472218193361e-06
1892,2.062340609398916e-07,5.289997616841902e-06
1893,2.0630695130030574e-07,5.4033945460219e-06
1894,1.7959387621502287e-07,5.9568448733671175e-06
1895,2.2028128654483226e-07,5.611154172413535e-06
1896,2.305738274754887e-07,6.697255933829638e-06
1897,1.526598898404785e-07,7.077126483068241e-06
1898,1.9691074593097824e-07,7.207612696902288e-06
1899,2.1391728921571485e-07,6.635857673131795e-06
1900,2.429412844229262e-07,6.129076304262071e-06
1901,1.9616473878603102e-07,6.978099293064588e-06
1902,2.3569362550546202e-07,6.630847501298831e-06
1903,1.7064696722357553e-07,6.651451258221641e-06
1904,1.5102696426794182e-07,7.199848084837868e-06
1905,2.2758947837431265e-07,6.622286143453948e-06
1906,1.9599343009657488e-07,7.3932218640493375e-06
1907,1.7279953024029737e-07,7.4931227800334455e-06
1908,2.2445048664110345e-07,6.786066258257506e-06
1909,2.4644406049212364e-07,6.894382835298529e-06
1910,2.2552315703805448e-07,6.082177904431774e-06
1911,2.027062564469162e-07,6.423819769452166e-06
1912,2.3650772540406706e-07,7.725050828355506e-06
1913,2.2378616071350166e-07,7.4544127173226116e-06
1914,2.2434091140333123e-07,7.440082256948699e-06
1915,1.9556064301262666e-07,9.059406110623058e-06
1916,2.2524296805492838e-07,1.0441385327908392e-05
1917,2.5442104623074613e-07,9.341200623680379e-06
1918,2.1134932559618846e-07,8.759510137679172e-06
1919,2.900472335642945e-07,7.34602146224006e-06
1920,2.83958701441378e-07,7.807727911313123e-06
1921,2.1430874874717176e-07,7.995306930297374e-06
1922,2.700324364113271e-07,7.014941076022296e-06
1923,2.781378549698843e-07,6.279333092606976e-06
1924,3.081098132184934e-07,6.985971076289843e-06
1925,2.3756064404523158e-07,6.715487629094241e-06
1926,2.7642422395501853e-07,6.872708766536562e-06
1927,2.0403081357756037e-07,7.28490338985921e-06
1928,2.787953921057351e-07,6.721940273735072e-06
1929,2.2280813460895388e-07,7.79717036891725e-06
1930,1.9746774748696794e-07,6.8819608145531674e-06
1931,2.2696660373355826e-07,6.805576418855708e-06
1932,2.2357455264909731e-07,7.016295427320074e-06
