year,ancien_ADJ âge_NOUN,ancien_ADJ age_NOUN,ancien_ADJ page_NOUN
1800,0.0,0.0,2.829747991484055e-08
1801,0.0,0.0,0.0
1802,0.0,6.713520406265161e-09,0.0
1803,0.0,0.0,0.0
1804,0.0,0.0,1.9774807569206132e-08
1805,0.0,0.0,3.1271654599152043e-08
1806,1.152667650217154e-08,0.0,3.7461698632057505e-08
1807,0.0,2.8469551160981155e-09,5.124519120158766e-08
1808,1.8128591960930862e-08,0.0,2.2660739062985158e-08
1809,9.036122072814123e-09,0.0,1.8072244145628247e-08
1810,0.0,0.0,7.020380277111826e-09
1811,4.011322829455821e-08,0.0,2.0056614147279106e-08
1812,0.0,0.0,1.8670457180292033e-08
1813,4.888760685162197e-08,0.0,5.751483289628823e-09
1814,0.0,0.0,1.0698702368472368e-07
1815,2.697223555614414e-09,0.0,1.753195295606247e-07
1816,6.952811659743929e-09,0.0,6.489290704791983e-08
1817,3.113746815941454e-09,0.0,1.0898113522728181e-08
1818,9.536941902865692e-09,0.0,5.96058882251782e-08
1819,3.9333990287104825e-08,0.0,1.2421260464634543e-08
1820,0.0,0.0,3.797273873118456e-08
1821,2.6626018723163725e-08,0.0,3.0570614484304315e-08
1822,1.5038423839541792e-08,1.0025615893027862e-09,2.606660132187244e-08
1823,2.7671523739059012e-08,0.0,4.348382276475604e-08
1824,3.03160057057994e-08,0.0,4.29476756380609e-08
1825,8.805443485471187e-09,0.0,4.0505039322624725e-08
1826,0.0,0.0,2.7304752237000685e-08
1827,8.295545583791863e-09,0.0,3.96342727526644e-08
1828,8.255071293206129e-09,0.0,5.503380728910656e-08
1829,2.571952872898464e-09,0.0,4.115124596637543e-08
1830,4.174734336004349e-09,0.0,2.2961039070068523e-08
1831,0.0,0.0,7.795603274018958e-09
1832,0.0,0.0,4.735489433915774e-08
1833,1.6217079235048004e-08,0.0,7.297686188678654e-08
1834,6.534171426153534e-09,0.0,2.7070139907436896e-08
1835,4.159698363537245e-08,0.0,1.8151411040889798e-08
1836,4.435695188931277e-08,6.720750067579218e-10,4.099657457956596e-08
1837,2.7831563720326358e-09,0.0,3.6181031504156635e-08
1838,5.049729523420865e-09,3.787297142565649e-09,2.7773512156770153e-08
1839,2.0974426639952526e-09,6.9914751765765e-10,3.0762491443070417e-08
1840,5.095750932326837e-09,1.9109065441114126e-09,3.057450548293872e-08
1841,3.852329122366882e-09,0.0,4.3017676532031146e-08
1842,6.037438549100216e-09,0.0,5.0311988353257675e-08
1843,2.3036953678001737e-08,5.906911071384968e-10,3.189732128427991e-08
1844,9.879410178825765e-09,0.0,6.202074065431162e-08
