year,en_ADP airs_NOUN,en_ADP pères_NOUN
1800,0.0,2.515331631869344e-08
1801,2.3811825844433088e-09,2.3811825844433088e-08
1802,0.0,4.0281122437590966e-08
1803,7.801356671777171e-09,3.1205427131197894e-08
1804,2.4718509905596875e-08,3.460591457837836e-08
1805,3.1271653710973624e-08,5.685755422035754e-09
1806,4.3225035994964855e-08,2.5935023018064385e-08
1807,1.4234775136401367e-08,1.7081730252499483e-08
1808,2.2660739951163578e-09,6.79822185212231e-08
1809,2.259030518203531e-09,4.969867006821005e-08
1810,9.360507036149102e-09,1.6380887757350138e-08
1811,1.2535384286138651e-08,4.262030639523573e-08
1812,2.9339290108509886e-08,1.600324939232678e-08
1813,4.3136125782439194e-08,2.5881674137195887e-08
1814,0.0,3.776012391654149e-08
1815,3.506390555685357e-08,5.1247247778718474e-08
1816,1.228330006597389e-07,1.3905623319487859e-08
1817,6.227493631882908e-09,2.1796227045456362e-08
1818,5.960588467246453e-09,3.337929510571769e-08
1819,0.0,2.6912730710648702e-08
1820,2.0173018810965004e-08,5.814575665397115e-08
1821,1.676452932031225e-08,5.3252038223483567e-08
1822,1.0025615893027862e-09,1.9048670196752937e-08
1823,1.2847492847356534e-08,2.4706716672540097e-08
1824,1.7684335773537896e-08,3.2842340402794434e-08
1825,4.4027217427355936e-09,2.2013607825499548e-08
1826,7.0463874735082754e-09,2.1139162309502524e-08
1827,5.530363722527909e-09,3.133872894522938e-08
1828,1.0089530988466322e-08,3.9440893773168284e-08
1829,1.7146351893870815e-08,2.6576845446601993e-08
1830,1.982998831806526e-08,3.861629105372799e-08
1831,0.0,3.741889553765532e-08
1832,2.976593194148336e-08,4.058990932254147e-08
1833,2.085053074640797e-08,3.590924857466149e-08
1834,1.8669061851994684e-09,3.453776287187793e-08
1835,6.050470346963266e-09,4.235329242874286e-08
1836,1.1425274948351216e-08,2.4866774861465046e-08
1837,2.5048407792382932e-08,3.965997741328664e-08
1838,2.1461350030449466e-08,3.345445720448481e-08
1839,5.2436064379435265e-08,2.9364195075487487e-08
1840,7.0066574764382494e-09,2.802663096046487e-08
1841,1.733548060656176e-08,2.953452371556864e-08
1842,6.708265054555795e-09,2.4149754196400863e-08
1843,1.3585895075607368e-08,4.6073907356003474e-08
1844,1.0977122322231025e-08,5.1043620441504345e-08
1845,5.580227835366713e-09,2.9017186209401302e-08
1846,9.952652035849496e-09,3.688336036589135e-08
1847,9.168480197274675e-09,2.534815024546333e-08
1848,2.735375304041554e-08,4.183515223132872e-08
1849,6.703531951757213e-09,2.8490010350878947e-08
1850,2.0366988096043315e-09,2.5798185809833285e-08
1851,3.8696632564949596e-09,3.160225081622059e-08
