year,certain_ADJ or_NOUN,certain_ADJ port_NOUN
1800,1.2576657937302116e-08,1.2576657937302116e-08
1801,1.4287095950749062e-08,4.7623651688866175e-09
1802,2.2378401354217203e-09,0.0
1803,5.851017448321727e-09,4.095712213825209e-08
1804,7.4155526164076946e-09,7.4155526164076946e-09
1805,8.528632911009026e-09,1.7057265822018053e-08
1806,1.729001475325731e-08,2.881669125542885e-09
1807,8.540865792383556e-09,2.8469551160981155e-09
1808,6.798221985349073e-09,2.2660739951163578e-09
1809,0.0,9.036122072814123e-09
1810,9.360507036149102e-09,0.0
1811,1.2535384286138651e-08,5.0141535368197765e-09
1812,0.0,0.0
1813,2.8757416448144113e-09,5.751483289628823e-09
1814,3.1466771410748606e-09,1.8880061958270744e-08
1815,5.394447111228828e-09,0.0
1816,4.6352077731626196e-09,3.7081662185300956e-08
1817,4.670620334934483e-09,0.0
1818,8.344824387052086e-09,4.768470951432846e-09
1819,2.070210003424222e-09,0.0
1820,8.306536791735653e-09,1.1866481131050932e-09
1821,5.9168927535324656e-09,4.930744257336528e-09
1822,3.0076847679083585e-09,3.0076847679083585e-09
1823,1.1859224713361982e-08,6.917880934764753e-09
1824,0.0,1.7684335773537896e-08
1825,4.4027217427355936e-09,2.993850500843109e-08
1826,1.7615968683770689e-09,0.0
1827,3.6869092223668076e-09,2.7651818612639545e-09
1828,2.7516903755575584e-09,0.0
1829,1.3717081692732336e-08,1.714635211591542e-09
1830,6.262101504006523e-09,5.218417697960831e-09
1831,1.5591206103948707e-09,0.0
1832,9.470978667991403e-09,8.117981842303834e-09
1833,3.4750886612755494e-09,5.791814139399776e-09
1834,1.8669061851994684e-09,0.0
1835,4.5378527602224494e-09,1.2100940693926532e-08
1836,2.016224964762614e-09,4.032449929525228e-09
1837,1.3915781860163179e-09,2.0873671680021744e-09
1838,1.2624323808552163e-09,1.2624323808552163e-09
1839,3.4957375882882502e-09,4.194885327990505e-09
1840,1.2739377330817092e-09,3.1848443882154243e-09
1841,1.926164561183441e-09,1.926164561183441e-09
1842,1.2745703159566801e-08,1.0062397137744483e-08
1843,2.953455535692484e-09,4.134837805480629e-09
1844,2.195424508855126e-09,5.488561272137815e-10
1845,2.790113973194508e-09,8.37034175305007e-09
1846,1.7563503984519002e-09,1.1709002656346001e-08
1847,5.393223645455691e-10,4.314578916364553e-09
1848,0.0,1.206783295515379e-08
1849,4.1897072478036534e-09,1.6758829879393033e-09
1850,4.752297222410107e-09,1.0862393651223101e-08
1851,2.579775504329973e-09,7.094382858952031e-09
1852,6.510545436100301e-10,1.9531636308300904e-09
1853,2.9859659189668264e-09,2.388772735173461e-09
1854,1.506742641765868e-08,2.5978321716024766e-09
1855,5.837630823180007e-09,3.714855978387277e-09
1856,1.1389815923745772e-08,3.6240324075009767e-09
1857,1.1715621583974212e-08,2.0502338549110988e-08
1858,1.468102750479261e-09,4.893676019968041e-10
1859,8.147477359443656e-09,2.5460866748261424e-09
1860,5.950338888283113e-09,3.204028820036342e-09
1861,5.187560159214399e-09,9.431927461278633e-10
1862,6.776979422085105e-09,6.325180823552046e-09
1863,8.990317490464861e-09,5.9935452156878455e-09
1864,1.9178911792039344e-09,1.4384183844029508e-09
1865,7.060266649094871e-09,2.3534221238463715e-09
1866,4.865613079108044e-09,9.731225603104576e-09
1867,4.367530337390235e-09,6.79393608038481e-09
1868,1.333765986544222e-08,6.915823469455518e-09
1869,4.395167341186834e-09,2.441759683335931e-09
1870,6.307453670473251e-09,1.3188312664169644e-08
1871,4.248470908407853e-09,9.559059321873065e-09
1872,1.0885210954825197e-08,7.861540751719076e-09
1873,2.9930022904522957e-09,5.986004469882289e-10
1874,5.377148060148329e-09,5.974609140757536e-10
1875,1.830888685105947e-08,1.1443054281912168e-09
1876,1.209202959984168e-09,3.627608879952504e-09
1877,4.9478527941460015e-09,4.9478527941460015e-09
1878,6.039088784604019e-09,4.22736201599605e-09
1879,2.443730107160036e-09,0.0
1880,5.134277003548959e-09,5.134277003548959e-09
1881,1.2550513628362125e-08,7.669758161910067e-09
1882,5.324308105514319e-09,1.1979693681496428e-08
1883,1.8958017378167824e-09,5.687405213450347e-09
1884,5.281357573494461e-09,1.9805090900604227e-09
1885,9.023889857573408e-09,6.445635691854079e-10
1886,3.872078213618124e-09,9.680196200179125e-09
1887,6.528924512139156e-09,1.9586774424595887e-09
1888,6.340614699951175e-10,1.8387781963724592e-08
1889,5.012109394186837e-09,6.265136853755848e-09
1890,1.3108772956016423e-09,4.5880703680722945e-09
1891,5.099376032546843e-09,6.3742202627281586e-09
1892,1.8805537127519756e-09,1.8805537127519756e-09
1893,0.0,2.463366621796581e-09
1894,6.301539290376468e-09,6.301539290376468e-09
1895,3.611168697403855e-09,1.3240951446391591e-08
1896,4.1279202278587945e-09,1.0614652268259306e-08
1897,5.826713556089658e-10,9.905413378419325e-09
1898,1.6975064687230201e-09,2.8291773368493978e-09
1899,6.633094074004475e-09,8.844125432005967e-09
1900,2.5955265714472375e-09,6.748368974740515e-09
1901,2.794369402536745e-09,3.912117296778206e-09
1902,2.9461704187383475e-09,2.455141867585553e-09
1903,6.48026410310365e-09,3.7801541896698154e-09
1904,2.1498500757388683e-09,1.6123875568041512e-09
1905,3.6125313851442797e-09,7.741138396966107e-09
1906,6.173021205313489e-09,9.259531807970234e-09
1907,4.114274698707732e-09,1.2342823652033985e-08
1908,5.893667109901912e-09,1.0313917053750288e-08
1909,2.7504918342913243e-09,2.7504918342913243e-09
1910,3.206490406526541e-09,6.947395991829808e-09
1911,9.044636151145369e-09,9.576673676292558e-09
1912,2.6047106693738442e-09,4.688478938419394e-09
1913,1.590896969716482e-09,7.424185488602575e-09
1914,1.4063162190325329e-08,1.2723813114234872e-08
1915,2.3561523843085297e-09,2.4739600590351074e-08
1916,0.0,5.493730803607377e-09
1917,4.386569774084137e-09,5.483212106582869e-09
1918,0.0,2.8715941624568586e-08
