year,en_ADP anneaux_NOUN,en_ADP panneaux_NOUN
1800,3.710113958277361e-07,3.144164395507687e-08
1801,3.6193975461173977e-07,0.0
1802,3.177732992298843e-07,0.0
1803,7.937880468489311e-07,2.145373123596528e-08
1804,4.004398590495839e-07,1.730295728918918e-08
1805,1.8194417350514414e-07,3.4114531644036106e-08
1806,2.305335300434308e-07,1.4408345627714425e-08
1807,1.4519470425966574e-07,3.131650672116848e-08
1808,1.450287356874469e-07,2.2660739062985158e-08
1809,2.0557178004310117e-07,2.4849335034105025e-08
1810,1.2870697219113936e-07,1.4040760554223652e-08
1811,1.504246114336638e-07,7.521229861140455e-09
1812,1.226915742336132e-07,1.8670457180292033e-08
1813,5.7514832008109806e-08,2.8757416004054903e-08
1814,1.0698702368472368e-07,3.1466771410748606e-09
1815,1.6992508733437717e-07,0.0
1816,4.357095235718589e-07,3.476405652236281e-08
1817,5.464625587592309e-07,4.670620334934483e-09
1818,3.2067967481452797e-07,1.1921177378582115e-09
1819,2.2875821059642476e-07,1.5526575580793178e-08
1820,1.7206397728841694e-07,2.0173018810965004e-08
1821,1.0255947557880063e-07,1.676452932031225e-08
1822,1.6341753905635414e-07,7.017931125119503e-09
1823,1.4725203811849497e-07,2.174191138237802e-08
1824,1.364220310051678e-07,1.1789557774477544e-08
1825,1.7522832251870568e-07,7.044354433105582e-09
1826,1.6647089751131716e-07,1.8496766784892316e-08
1827,2.101538285614879e-07,1.013900075008678e-08
1828,2.3389368664084031e-07,3.393751413227619e-08
1829,2.1861599464045867e-07,1.2859763920403111e-08
1830,2.9327509309950983e-07,1.878630406793036e-08
1831,2.354272083948672e-07,0.0
1832,2.2459748549863434e-07,5.411987746839486e-09
1833,2.6989854973180627e-07,8.108539617524002e-09
1834,2.2869600968533632e-07,2.0535967593104942e-08
1835,2.2235478525090002e-07,1.1344631900556124e-08
1836,2.4799567199806916e-07,1.1425274948351216e-08
1837,1.8507989807403646e-07,3.270208637218275e-08
1838,1.7863418122487928e-07,1.5149188570262595e-08
1839,2.1603658240110235e-07,2.027527834513876e-08
1840,1.490507202106528e-07,3.4396318682183846e-08
1841,1.6821837789393612e-07,2.953452238330101e-08
1842,1.885022413716797e-07,1.8783142152756227e-08
1843,1.624400596256237e-07,3.2488010504039266e-08
1844,1.4654457913820806e-07,1.920996517412732e-08
1845,1.4062175068829674e-07,2.7343116215661212e-08
1846,1.6158423932211008e-07,1.9905304071698993e-08
1847,2.1734690847097227e-07,3.3977308078192436e-08
1848,2.0515315668490075e-07,2.735375304041554e-08
1849,2.1535096550451271e-07,5.6980020701757894e-08
1850,1.4732121655924857e-07,5.0238568860550004e-08
