year,en_ADP aire_NOUN,en_ADP père_NOUN
1800,4.7162466820793725e-08,2.986956193495871e-07
1801,1.619204113012529e-07,3.3098437057788033e-07
1802,3.3567602031325805e-08,4.050490645113314e-07
1803,2.9255089017965474e-08,3.237563073188454e-07
1804,1.730295728918918e-08,4.2515835252388e-07
1805,3.695740935505398e-08,6.083758437025466e-07
1806,4.8988376022407465e-08,4.6683040633155315e-07
1807,1.1387820464392462e-08,3.9003285223770945e-07
1808,4.5321479014148736e-08,5.778488532115489e-07
1809,7.00299480627109e-08,4.631012551215008e-07
1810,5.3822916346035754e-08,5.218482623803311e-07
1811,5.0141535368197765e-09,4.688233423699728e-07
1812,3.200649700829672e-08,3.467370834897565e-07
1813,2.0130190847567064e-08,3.2208307665371194e-07
1814,4.090680150170556e-08,5.538151817141568e-07
1815,8.091670444798638e-09,4.153724413313853e-07
1816,7.184571870766376e-08,3.82404653720414e-07
1817,1.2454987263765815e-08,5.340075572846104e-07
1818,7.152706427149269e-09,5.114185293031426e-07
1819,2.484252026313527e-08,6.158874890083155e-07
1820,1.7799721696576398e-08,5.648445196015928e-07
1821,3.7473656067099625e-08,6.281768043514546e-07
1822,3.0076847679083585e-08,6.727188548438789e-07
1823,3.2612866407433216e-08,5.76160635645806e-07
1824,1.431589158329416e-08,5.280037731481002e-07
1825,1.3208164117983756e-08,4.4819705014020883e-07
1826,2.466235649034587e-08,4.536111886110916e-07
1827,2.027800155568471e-08,4.359770038320221e-07
1828,2.384798225563145e-08,4.2009138667697954e-07
1829,4.800978425922864e-08,4.86956423628726e-07
1830,1.6698937788106605e-08,4.5713339935637975e-07
1831,1.4032085493553836e-08,2.9311466454018387e-07
1832,9.470978445946798e-09,4.018400878713635e-07
1833,1.2741991461950875e-08,3.7762630111792816e-07
1834,2.1469421573883096e-08,2.940377348270573e-07
1835,2.571449897459388e-08,4.205076820085196e-07
1836,2.9571301130015826e-08,2.6681377685022767e-07
1837,1.8786305289175687e-08,3.0266824779801027e-07
1838,3.8504186727905676e-08,2.411245896283276e-07
1839,2.6567605448946097e-08,3.0622662294810254e-07
1840,5.860113566624747e-08,2.8599903290071893e-07
1841,4.173356549230789e-08,2.4398084219612315e-07
1842,3.287049921141261e-08,2.461933403807848e-07
1843,3.0125246297529884e-08,2.882572576190512e-07
1844,5.488561261035585e-08,3.4797478687398353e-07
1845,2.7343117381395388e-08,3.242112449619583e-07
1846,1.3465352832753297e-08,2.5759805044600625e-07
1847,2.480882788091776e-08,2.518635486836729e-07
1848,2.0113054055581614e-08,2.16416468024061e-07
1849,2.3462362719328667e-08,2.622756896109024e-07
1850,2.1724787302446202e-08,3.0686261087709e-07
1851,2.1283148576856092e-08,2.5475283260689707e-07
1852,1.9531636752390114e-08,3.2682938311268117e-07
1853,2.26933418723263e-08,3.7563452215394477e-07
1854,2.1821789930598356e-08,5.01901193272758e-07
1855,1.1144567935161831e-08,3.640558894346668e-07
1856,2.0191037064520856e-08,3.0493643343731947e-07
1857,1.2691923956253959e-08,3.656250182615395e-07
1858,4.502181916166137e-08,2.9606739238019486e-07
1859,2.6479301196147276e-08,3.029843247404074e-07
1860,1.373155189554609e-08,2.9568608661545426e-07
1861,1.3204698334767784e-08,2.3626978551405386e-07
1862,3.6143891435358455e-08,3.298130000217725e-07
1863,1.947902072974017e-08,3.5711537993421416e-07
1864,2.5412057458318316e-08,2.9151944680450015e-07
1865,2.9653119293371333e-08,2.890002352984311e-07
1866,1.8489329622894957e-08,2.9582926153182143e-07
1867,2.8631587767335986e-08,2.4312585722441327e-07
1868,3.112120594561674e-08,2.1340255407231723e-07
1869,3.174287332985415e-08,2.583381704113208e-07
1870,4.0711745086241535e-08,2.2362789842134134e-07
1871,3.929835434846041e-08,1.433858960453449e-07
1872,2.0560953717385644e-08,2.2193734583453306e-07
1873,3.8909028887701425e-08,2.4063738091051334e-07
1874,5.616132481289782e-08,1.6549667081200425e-07
1875,2.4030413270370587e-08,1.7393441975599444e-07
