year,son_DET patin_NOUN
1800,3.144164484325529e-09
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,2.8469551160981155e-09
1808,2.7192887941396293e-08
1809,2.259030518203531e-09
1810,7.020380277111826e-09
1811,2.5070767684098882e-09
1812,0.0
1813,5.751483289628823e-09
1814,0.0
1815,5.394447111228828e-09
1816,1.3905623319487859e-08
1817,1.556873407970727e-09
1818,4.768470951432846e-09
1819,2.070210003424222e-09
1820,1.1866481131050932e-08
1821,1.97229765852569e-09
1822,2.0051231786055723e-09
1823,1.1859224713361982e-08
1824,1.6842225392110777e-09
1825,2.1133063299316746e-08
1826,2.2019960965735663e-08
1827,5.530363722527909e-09
1828,9.172301251858528e-10
1829,4.286587973467704e-09
1830,1.0436835840010872e-09
1831,0.0
1832,0.0
1833,5.791814139399776e-09
1834,2.0535967593104942e-08
1835,4.5378527602224494e-09
1836,6.72075017860152e-09
1837,9.74104708006962e-09
1838,5.680945491803868e-09
1839,0.0
1840,0.0
1841,6.420548537278137e-10
1842,1.341653010911159e-09
1843,8.269675610961258e-09
1844,4.390849017710252e-09
1845,1.0044410636567136e-08
1846,5.854501328173001e-10
1847,3.775256551818984e-09
1848,0.0
1849,8.379414939696517e-10
1850,8.82569484161877e-09
1851,1.0319102017319892e-08
1852,6.510545436100301e-10
1853,1.6124216628554677e-08
1854,7.27393034694046e-09
1855,1.2205955357558196e-08
1856,5.177189343896771e-09
1857,9.763017949637742e-09
1858,6.8511463169329545e-09
1859,6.110608019582742e-09
1860,8.238931314963338e-09
1861,1.5562680033553988e-08
1862,6.776979422085105e-09
1863,2.3974180862751382e-08
1864,4.794728170054441e-09
1865,7.0602665935837194e-09
1866,3.8924903300596725e-09
1867,1.455843445796745e-08
1868,1.3831646938911035e-08
1869,1.12320943657096e-08
1870,1.204150201772336e-08
1871,7.434824311758348e-09
1872,7.256807155187062e-09
1873,1.9155214303623325e-08
1874,2.9873046258899194e-08
1875,8.010138330405425e-09
1876,9.673623679873344e-09
1877,9.895705588292003e-09
1878,1.0870359723469392e-08
1879,1.4051448005147904e-08
1880,1.0268554007097919e-08
1881,1.324776466304911e-08
1882,2.6621540527571597e-09
1883,6.319338829996468e-09
1884,5.281357573494461e-09
1885,1.6114089618213256e-08
1886,1.4842966855610484e-08
1887,3.264462256069578e-09
1888,8.876860135842435e-09
1889,2.6313573542324775e-08
1890,2.6217545467943637e-08
1891,1.1473596295275001e-08
1892,1.191017329205124e-08
1893,2.46336657738766e-08
1894,1.8904618315218613e-08
1895,1.5648398132839247e-08
1896,1.0614652268259306e-08
1897,1.1653426668090106e-08
1898,2.093591255913907e-08
1899,5.527578395003729e-09
1900,8.824790675987515e-09
1901,1.2854099118442264e-08
1902,5.5977235291493344e-08
1903,8.640352433531007e-09
1904,1.3436562973367927e-08
1905,5.160758931310738e-09
1906,9.773950537805831e-09
1907,6.1714118260169926e-09
1908,1.620758460774141e-08
1909,7.701377313651392e-09
1910,7.481810726517324e-09
1911,1.3300935464144459e-08
1912,1.3544495303108306e-08
1913,4.242391771214216e-09
1914,6.696743604095445e-09
1915,3.534228465440492e-09
1916,2.197492410260793e-09
1917,1.0966424435210342e-09
1918,1.1486376294556067e-09
1919,4.603924352863942e-09
1920,0.0
1921,6.815472630705699e-09
1922,5.164555005876537e-09
1923,8.492758496458919e-09
1924,5.156649773851996e-09
1925,4.399271169575059e-09
1926,5.57306911730393e-09
