year,en_ADP épées_NOUN
1800,1.2576657937302116e-08
1801,1.6668277424969347e-08
1802,6.713520406265161e-09
1803,0.0
1804,0.0
1805,3.1271653710973624e-08
1806,2.0171682990621775e-08
1807,2.8469550272802735e-08
1808,4.078933102391602e-08
1809,9.93973401364201e-08
1810,2.8081521108447305e-08
1811,1.0028307073639553e-08
1812,2.6672082320544632e-09
1813,5.751483289628823e-09
1814,0.0
1815,8.091670444798638e-09
1816,4.6352077731626196e-09
1817,1.8682481339737933e-08
1818,2.741870730460505e-08
1819,1.3456364911235141e-08
1820,1.3053129244156025e-08
1821,1.577838126820552e-08
1822,1.7043547018147365e-08
1823,2.2730180404550993e-08
1824,2.5263338088166165e-08
1825,4.490776106536032e-08
1826,2.1139161532346407e-08
1827,1.1982455028203276e-08
1828,4.586150570418113e-09
1829,1.628903412154159e-08
1830,4.383471008395645e-08
1831,1.5591206103948707e-09
1832,2.3000948701223933e-08
1833,2.3167256557599103e-08
1834,1.7735608537350345e-08
1835,3.403389570166837e-08
1836,3.1587525484155776e-08
1837,2.7831563720326358e-09
1838,1.2624323808552163e-08
1839,1.4682098203877558e-08
1840,2.8026629905752998e-08
1841,8.346713542550788e-09
1842,1.7441490030023488e-08
1843,1.4767278067040479e-08
1844,2.6893950177964143e-08
1845,1.897277535078956e-08
1846,1.0538101946622191e-08
1847,9.168480197274675e-09
1848,7.24069959545659e-09
1849,1.4245005175439474e-08
1850,1.6293590476834652e-08
1851,2.192809134271556e-08
1852,9.114764054629632e-09
1853,2.8665272822081533e-08
1854,1.9743524148907454e-08
1855,6.8990182455763716e-09
1856,1.5531567143511893e-08
1857,6.345961978126979e-09
1858,1.761723389392955e-08
1859,1.0693564256314403e-08
1860,1.6935580049448618e-08
1861,2.357981898626349e-08
1862,6.325180823552046e-09
1863,1.048870412745373e-08
1864,2.445311331200628e-08
1865,1.3179164426446732e-08
1866,2.3841502994059738e-08
1867,1.164674756637396e-08
1868,2.0747471296544973e-08
1869,2.2952539424636598e-08
1870,1.8922360567330543e-08
1871,6.37270636261178e-09
1872,6.652073114565837e-09
1873,3.591602748542755e-08
1874,7.169530746864439e-09
1875,9.7265964171811e-09
1876,2.9020871039620033e-08
1877,1.9172929910382663e-08
1878,5.435179861734696e-09
1879,4.887460214320072e-09
1880,8.984985200299889e-09
1881,9.064259565150223e-09
1882,8.652000893505374e-09
1883,1.2006744043446815e-08
1884,1.0562715146988921e-08
1885,9.023890079618013e-09
1886,1.097088819790315e-08
1887,1.3057849024278312e-08
1888,1.4583413587843097e-08
1889,1.0650732740202784e-08
1890,1.2453334363726754e-08
1891,2.5496880162734215e-09
1892,1.8805537127519756e-09
1893,0.0
1894,3.780923574225881e-09
1895,4.814891596538473e-09
1896,5.897029087265082e-09
1897,6.409385022720926e-09
1898,5.092519295146758e-09
1899,1.5477219506010442e-08
1900,1.7130474816440255e-08
1901,1.4530721514915967e-08
1902,9.820567692386817e-10
1903,1.1340462791054051e-08
1904,3.7622376325430196e-09
1905,6.192911072844254e-09
1906,7.201858220895474e-09
1907,1.0285686968813934e-08
1908,5.40252820258047e-09
1909,3.300590023513905e-09
1910,4.809735720812114e-09
1911,2.128149656499545e-09
1912,7.293189607793238e-09
1913,5.833288518886093e-09
