year,en_ADP eau_NOUN,en_ADP pot_NOUN
1800,3.1787503758096136e-06,1.6978488304175698e-07
1801,2.576439555923571e-06,6.667310969987739e-08
1802,1.4859258499200223e-06,1.888737074295932e-06
1803,2.201932985057553e-06,2.1258696847326064e-07
1804,3.030489324373775e-06,3.8808059343864443e-07
1805,2.771805839074659e-06,3.041879210741172e-07
1806,1.8154515828427975e-06,2.3341519295172475e-07
1807,1.3608445215140819e-06,1.1103124819555887e-07
1808,1.4004336890138802e-06,2.4700207745809166e-07
1809,2.3855361632740824e-06,1.1611416539381025e-06
1810,1.8884823020925978e-06,7.020380365929668e-08
1811,1.5669229469494894e-06,4.342256943346001e-06
1812,1.2935960285176407e-06,6.401299401659344e-08
1813,4.155446731601842e-06,9.777521370324394e-08
1814,1.2838443126383936e-06,1.3530711839848664e-07
1815,1.4484090797850513e-06,1.2676950689183286e-07
1816,2.1762300548289204e-06,1.0429217667251578e-07
1817,1.3918448757976876e-06,3.954458520638582e-07
1818,1.5902850138971303e-06,1.6332012364728143e-07
1819,1.3725492635785486e-06,2.639517617808451e-07
1820,9.97971028482425e-07,3.3226146456399874e-07
1821,1.6942037053269132e-06,2.9387234690148034e-07
1822,1.7294187273364514e-06,3.248299549341027e-07
1823,1.5199573006885458e-06,2.4113757035593153e-07
1824,1.6134852103277808e-06,2.054751462310378e-07
1825,9.906123521474797e-07,3.407706401503674e-07
1826,1.0745741292339517e-06,2.2988838566107006e-07
1827,1.295948550250614e-06,2.479446550296416e-07
1828,1.5776357807917307e-06,2.2105245989223476e-07
1829,1.1325165587550146e-06,1.8346597130403097e-07
1830,1.4121038334202751e-06,1.3776623575267877e-07
1831,1.3642305702887825e-06,2.3698633810909087e-07
1832,1.2853470745533002e-06,1.0823975316043288e-07
1833,1.4502702546659307e-06,2.1429713115139748e-07
1834,1.1350789714814624e-06,2.1656111925949517e-07
1835,1.5663155323863975e-06,1.9966552144978778e-07
1836,1.5007434512881446e-06,2.607650912977988e-07
1837,1.0840394311095736e-06,1.5376939188627148e-07
1838,1.4972448525440996e-06,2.7016054104933573e-07
1839,1.4038881772648892e-06,1.1885507689157748e-07
1840,1.4242623365134932e-06,1.3694830158783589e-07
1841,1.6276090946121258e-06,1.0080260892664228e-07
1842,1.3577528821251406e-06,4.769576662511099e-07
1843,1.7366319041145495e-06,7.678984559333912e-08
1844,1.482460447732592e-06,2.008813453358016e-07
1845,1.506103540216408e-06,2.5334233555440733e-07
1846,1.391614934398433e-06,2.663797999957751e-07
1847,1.3439913750801225e-06,1.5963942701091582e-07
1848,1.6235256907748408e-06,1.8584462679882563e-07
1849,1.2527224966252248e-06,3.1087628826753644e-07
1850,1.2641111135636152e-06,3.442021068167378e-07
1851,1.2840832823712844e-06,3.0763823133383994e-07
1852,9.987177236325806e-07,3.10553019744475e-07
1853,1.5377724897902567e-06,2.3947447402861144e-07
1854,1.4958318388380576e-06,1.5431123756570742e-07
1855,1.4493245217295225e-06,1.8202794649369025e-07
1856,1.6701612384206754e-06,2.1330019706056191e-07
1857,1.3028747867793733e-06,1.908669986505629e-07
1858,1.2777388309626048e-06,1.9819387375719089e-07
1859,1.353499639922262e-06,2.984013462992152e-07
1860,1.8111916695318087e-06,1.5791285079558293e-07
1861,1.883084323139883e-06,2.0042845960688283e-07
1862,1.8085498547648626e-06,1.1927484422358248e-07
1863,1.7695941867401643e-06,1.7031656796007155e-07
1864,1.517531341921341e-06,2.0713224557766807e-07
1865,1.7208223508369258e-06,1.58620650836383e-07
1866,1.852338885832694e-06,1.3575059654158395e-07
1867,1.6955722994538291e-06,2.3390551007196336e-07
1868,2.0530117073036536e-06,2.050047669399646e-07
1869,1.8576907141465426e-06,2.0852627358181053e-07
1870,2.1290523042338805e-06,2.1617364609483047e-07
1871,2.2368199523725707e-06,3.993562529558403e-07
1872,1.9557096111455508e-06,2.074237386295863e-07
1873,2.254329380946274e-06,2.2267936117259524e-07
1874,2.2464530360366552e-06,3.0769237469030486e-07
1875,1.9190002786828586e-06,2.3286615657980292e-07
1876,2.4728200003210077e-06,4.806581728189485e-07
1877,2.013776033038539e-06,8.856656563693832e-07
1878,2.335919546680998e-06,4.535355628831894e-07
1879,2.146816937553808e-06,2.8774923066521296e-07
1880,2.432363761073475e-06,2.6826597832041443e-07
1881,2.5191669088542312e-06,3.9394666373482323e-07
1882,2.059841768264903e-06,4.5389725755740074e-07
1883,2.4588548654946862e-06,3.4440398621882196e-07
1884,2.280226148343445e-06,2.667085539087566e-07
1885,2.480925262560163e-06,3.2679372452548705e-07
1886,2.509752055068759e-06,2.084468775365167e-07
1887,2.944544934990745e-06,2.605040947400994e-07
1888,2.8526426163466567e-06,3.80436887326141e-07
1889,2.7836001859071757e-06,3.5147417065672926e-07
1890,2.89048454860108e-06,2.529993139432918e-07
1891,2.7166926770405553e-06,2.8174051180940296e-07
1892,3.2270301826287096e-06,3.171867319906596e-07
1893,3.2183885432246484e-06,3.9906538518152956e-07
1894,3.520670052381547e-06,3.8061295981606236e-07
1895,3.2428293863517865e-06,3.268107775511453e-07
1896,3.2221366303986088e-06,2.3352234279627737e-07
1897,3.4051314283800593e-06,3.6533492675516754e-07
1898,3.4408455000800586e-06,3.00458651736335e-07
1899,3.4834797926208694e-06,4.239652753312839e-07
1900,3.6404855165983463e-06,2.678583541637636e-07
1901,4.084809301474479e-06,2.989975200762274e-07
1902,4.2861866802468285e-06,3.0738377176930953e-07
1903,4.779194757276173e-06,6.809677870478481e-07
1904,4.806527314826781e-06,2.55832162565639e-07
1905,4.8232454261665225e-06,2.5132897008006694e-07
