year,aucun_DET artisan_NOUN,aucun_DET partisan_NOUN
1800,6.288328968651058e-09,1.5720821977538435e-08
1801,1.1905912700171939e-08,5.9529565277216534e-08
1802,2.2378401354217203e-09,1.7902721083373763e-08
1803,3.90067853572873e-08,1.755305234496518e-08
1804,1.2359254952798437e-08,2.22466585153569e-08
1805,4.8328920865259306e-08,1.0802935435094696e-07
1806,0.0,0.0
1807,2.2775640928784924e-08,1.1387820908481672e-08
1808,2.2660739951163578e-09,1.8128591960930862e-08
1809,0.0,2.4849335034105025e-08
1810,0.0,2.8081520220268885e-08
1811,2.5070767684098882e-09,2.0056614147279106e-08
1812,0.0,1.600324850414836e-08
1813,8.627225156487839e-09,4.888760685162197e-08
1814,0.0,5.349351139827263e-08
1815,2.4275012222574333e-08,1.0249449200472327e-07
1816,4.6352077731626196e-09,3.476405829871965e-08
1817,9.341240669868967e-09,4.3592454090912724e-08
1818,8.344824387052086e-09,4.887682547582983e-08
1819,1.6561680027393777e-08,4.34744116262209e-08
1820,1.1866481131050932e-08,4.50926265216367e-08
1821,3.4515210245444905e-08,2.859831660373402e-08
1822,1.2030739071633434e-08,2.105379337535851e-08
1823,3.9530747564242574e-09,4.842516432290722e-08
1824,1.0947446504872005e-08,2.947389532437228e-08
1825,1.6730341556581152e-08,1.3208164340028361e-08
1826,7.046387362485973e-09,2.6423952803611428e-08
1827,7.373818444733615e-09,2.7651818612639545e-08
1828,6.420610709767516e-09,3.760643352279658e-08
1829,1.0287811491593857e-08,7.201467866480016e-08
1830,7.305785310052215e-09,3.965997596999671e-08
1831,2.3386808933878456e-08,2.494592976631793e-08
1832,1.352996914505411e-08,6.223785753434186e-08
1833,1.1583628500844156e-09,1.0425265983826648e-08
1834,1.8669061851994684e-09,2.333632664885954e-08
1835,8.31939672707449e-09,1.3613558280667348e-08
1836,4.0324500405475305e-09,2.2178475944656384e-08
1837,7.653680134112051e-09,2.6439986200443855e-08
1838,2.5248647617104325e-09,2.019891809368346e-08
1839,4.194885327990505e-09,1.9576131049525713e-08
1840,5.732719632334238e-09,2.993753511759678e-08
1841,1.0914932957462042e-08,3.5955071808757566e-08
1842,3.3541325272778977e-09,3.085801836277824e-08
1843,4.725528912619126e-09,1.9492807368237663e-08
1844,2.7442805805577564e-09,1.975882035765153e-08
1845,1.674068350610014e-08,2.17628883802945e-08
1846,1.2879903366069811e-08,3.0443406018321184e-08
1847,2.2112217834546755e-08,3.829188699455699e-08
1848,8.045221711050488e-10,2.815827571112095e-08
1849,1.6758829879393033e-09,1.5082947113498335e-08
1850,8.146795238417326e-09,3.59816780814981e-08
1851,1.096404567135778e-08,2.3862924081186065e-08
1852,6.510545436100301e-09,2.669323606596663e-08
1853,1.1346670270029335e-08,6.569124799682413e-09
1854,4.1565315633818045e-09,1.4028294081924741e-08
1855,1.3798036491152743e-08,2.9188154115900034e-08
1856,1.087209766659214e-08,1.915560043919129e-08
1857,1.2691923956253959e-08,3.172980744814424e-08
1858,2.936205500958522e-09,2.0553439838977283e-08
1859,8.147477359443656e-09,3.411756210880412e-08
1860,3.2040287090140396e-09,2.288591893773173e-08
1861,6.6023493339173456e-09,2.263662679524714e-08
1862,8.13237543972889e-09,2.84633134839396e-08
1863,1.8480097452311384e-08,2.3974179974572962e-08
1864,2.3973640850272204e-09,3.0206785517350454e-08
1865,8.47232017875399e-09,1.7415324293779122e-08
1866,1.1677470768134413e-08,3.308616758346261e-08
1867,3.88224918879132e-09,2.3778776281346836e-08
1868,8.397786022129594e-09,2.5687344695768388e-08
1869,6.836926691455858e-09,3.955650385023546e-08
1870,1.2614906896857292e-08,4.587239077480376e-08
1871,1.805600158277798e-08,1.5931766128574054e-08
1872,9.675742873582749e-09,2.4189356739867662e-08
1873,5.387403856360606e-09,2.214821614998641e-08
1874,1.4339062381907297e-08,2.867812365359157e-08
1875,4.005069165202713e-09,2.8607636259891933e-08
1876,4.232210359944588e-09,1.874264654588842e-08
1877,1.1132669008873108e-08,1.6699003069220453e-08
1878,5.435179861734696e-09,3.744235121949657e-08
1879,1.5273313280772527e-08,3.0546627449723474e-08
1880,5.134277003548959e-09,2.631317030932223e-08
1881,1.1156012114099667e-08,2.4403776777148778e-08
1882,5.324308105514319e-09,1.7969540300200038e-08
1883,6.319338829996468e-09,2.2117686571121453e-08
1884,1.4523733327109767e-08,1.8484751507230612e-08
1885,7.7347630522695e-09,3.0294487363136113e-08
1886,1.936039106809062e-09,1.2261581472383654e-08
1887,1.0446279397058333e-08,1.240495717258483e-08
1888,8.242799331981132e-09,2.282621380800265e-08
1889,2.5060546970934183e-09,2.5687060034584874e-08
1890,5.898947996740844e-09,2.0974036063492463e-08
1891,7.0116421557742115e-09,2.8683989850009084e-08
1892,1.3163875767219224e-08,1.191017329205124e-08
1893,8.005941465327737e-09,1.909109159647926e-08
