year,ton_DET art_NOUN,ton_DET part_NOUN
1800,2.924072983745418e-07,0.0
1801,3.166972817325586e-07,2.3811825844433088e-09
1802,1.2755688771903806e-07,6.713520406265161e-09
1803,2.2038833602522345e-07,1.950339223455444e-09
1804,3.930243153149604e-07,4.943701892301533e-09
1805,2.4448748425776046e-07,0.0
1806,5.042921031872538e-07,2.881669125542885e-09
1807,1.6797034518845066e-07,5.693910232196231e-09
1808,4.328201370640272e-07,0.0
1809,2.7560172810581207e-07,0.0
1810,3.299578850146645e-07,2.3401267590372754e-09
1811,3.68540277406737e-07,2.5070767684098882e-09
1812,8.268345208506389e-08,0.0
1813,3.795978926746102e-07,0.0
1814,2.2341407124315538e-07,0.0
1815,7.552225866902518e-08,2.697223555614414e-09
1816,7.879853569647821e-08,0.0
1817,2.0706415870819228e-07,0.0
1818,1.5497531258290564e-07,2.384235475716423e-09
1819,1.9977526655168276e-07,1.035105001712111e-09
1820,2.741157132390981e-07,2.3732962262101864e-09
1821,1.863821275094324e-07,0.0
1822,2.2156611123591574e-07,2.0051231786055723e-09
1823,1.6009952830131624e-07,0.0
1824,2.2905426000363605e-07,0.0
1825,2.3334424592569292e-07,0.0
1826,1.770404884915422e-07,2.642395191543301e-09
1827,1.1890282447524214e-07,0.0
1828,1.164882235116238e-07,9.172301251858528e-10
1829,1.3888545602469549e-07,8.57317605795771e-10
1830,1.3463518122591722e-07,1.0436835840010872e-09
1831,1.07579318786577e-07,1.5591206103948707e-09
1832,1.5965364452696917e-07,2.705993873419743e-09
1833,2.0039677350869312e-07,0.0
1834,1.3721760616647316e-07,0.0
1835,1.3084142125308063e-07,3.781543966852041e-09
1836,1.801161051417921e-07,0.0
1837,1.287209822065094e-07,6.957890930081589e-10
1838,1.6032891592132614e-07,1.2624323808552163e-09
1839,9.088917840571753e-08,1.3982950353153e-09
1840,1.1656529996795228e-07,1.2739377330817092e-09
1841,1.8619590314017387e-07,0.0
1842,1.093447177247242e-07,1.341653010911159e-09
1843,1.264079002583074e-07,1.1813822142769936e-09
1844,1.1141779476808722e-07,0.0
1845,1.2611314748056657e-07,1.1160455892778032e-09
1846,9.191566885391467e-08,5.854501328173001e-10
1847,5.878613684728862e-08,5.393223645455691e-10
1848,4.746680815070903e-08,3.2180886289090438e-09
1849,1.0139092232464009e-07,0.0
1850,1.3238541907156787e-07,6.788996032014438e-10
1851,9.222697094912746e-08,0.0
1852,9.244974674693651e-08,1.3021090872200602e-09
1853,7.524634249023165e-08,0.0
1854,9.404152412351152e-08,0.0
1855,1.0348527368364557e-07,1.5920811335945473e-09
1856,5.798452090699513e-08,0.0
1857,1.4742157805613942e-07,1.4644527812635033e-09
1858,1.0668213468179033e-07,9.787352039936081e-10
1859,1.2730433596175317e-07,1.5276520048956854e-09
1860,9.291683156220643e-08,4.577183909670879e-10
1861,1.0799556859897308e-07,4.715963730639317e-10
1862,9.894390110010143e-08,9.035972525772706e-10
1863,1.0139080242055343e-07,0.0
1864,1.2274503613518561e-07,1.4384183844029508e-09
1865,7.436814275507686e-08,9.41368871743009e-10
1866,9.098696462928046e-08,1.4596838737723772e-09
1867,5.7263173758315133e-08,3.88224918879132e-09
1868,8.051994437874299e-08,2.9639244392143382e-09
1869,8.79033474898705e-08,4.883519144627257e-10
1870,6.020750875634917e-08,2.2936195165357276e-09
1871,8.39073006630997e-08,0.0
1872,5.442605210959073e-08,2.4189357183956872e-09
1873,5.3275439504396616e-08,1.7958013409646867e-09
1874,7.16953081347782e-08,1.1949218281515073e-09
1875,8.58229067257632e-08,1.1443054281912168e-09
1876,1.1245587683283986e-07,2.418405919968336e-09
1877,1.0514187565036082e-07,1.2369631985365004e-09
1878,7.126124373924014e-08,1.8117265465633636e-09
1879,4.948553522510224e-08,6.10932526790009e-10
1880,1.2835692508872398e-07,6.417846254436199e-10
1881,9.064260009239433e-08,1.3945015142624584e-09
1882,9.583754589925775e-08,1.3310770263785798e-09
1883,1.1311616826548132e-07,0.0
1884,6.535679908381553e-08,1.9805090900604227e-09
1885,4.705314010644557e-08,0.0
1886,1.2132512189344524e-07,6.453463874400711e-10
1887,8.487602265461192e-08,6.528924623161458e-10
1888,6.530833296380933e-08,1.268122939990235e-09
1889,8.771191151168978e-08,4.385595775424633e-09
1890,6.816561853861813e-08,1.9663159434024635e-09
1891,8.605197043820567e-08,6.374220040683554e-10
1892,7.271474666836752e-08,6.268512375839919e-10
1893,7.328515805316016e-08,6.158416554491453e-10
1894,5.230277633216929e-08,1.2603078580752936e-09
1895,5.356566989966893e-08,6.018614495673091e-10
1896,7.72510810875815e-08,4.7176231254830725e-09
1897,7.8660629565519e-08,0.0
1898,6.959776321924238e-08,1.6975064687230201e-09
1899,5.306475436839264e-08,5.527578395003729e-10
1900,8.980521659651686e-08,1.038210628578895e-09
1901,5.924063112283662e-08,0.0
1902,6.874397462386383e-08,1.4730852093691738e-09
1903,8.100330184390714e-08,1.6200660812870638e-09
1904,5.643356626450213e-08,2.1498500757388683e-09
1905,7.844354055208669e-08,2.0643036169332163e-09
1906,6.73888178037707e-08,1.5432553568395235e-09
1907,6.737124813582795e-08,1.5428529565042481e-09
1908,1.0019233775970804e-07,2.4556945366072114e-09
1909,7.811396462997777e-08,4.400786846048277e-09
1910,9.138497814031865e-08,0.0
1911,7.395320145153761e-08,2.6601871816467337e-09
1912,5.886645970676341e-08,5.209421227725386e-10
1913,1.0712039216764779e-07,1.060597942803554e-09
1914,6.964613341597925e-08,1.3393487430235496e-09
