year,en_ADP iles_NOUN,en_ADP pile_NOUN
1800,3.144164484325529e-08,1.2576657582030748e-07
1801,7.143547975374531e-09,2.7145480885337747e-07
1802,8.951360541686881e-09,1.991677720525331e-07
1803,9.751695895232615e-09,8.776526305709353e-08
1804,1.9774807569206132e-08,2.175228814849106e-07
1805,2.2743021688143017e-08,1.7341554325867037e-07
1806,8.645007376628655e-09,8.645007198992971e-08
1807,8.540865792383556e-09,1.7935816742919997e-07
1808,2.4926814390369145e-08,6.571614541428517e-08
1809,2.25903047379461e-08,9.713831161661801e-08
1810,1.8721014072298203e-08,8.424455977262824e-08
1811,7.521230305229665e-09,1.8301660986708157e-07
1812,8.00162469616339e-09,9.068507988985175e-08
1813,8.627224934443234e-09,7.764502640839055e-08
1814,3.1466771410748606e-09,5.349351139827263e-08
1815,0.0,5.1247247778718474e-08
1816,2.3176038865813098e-09,9.733936678912869e-08
1817,2.3353101674672416e-08,6.694555310104988e-08
1818,2.0266001987678806e-08,7.033494608954527e-08
1819,8.280840235741493e-09,1.148966586317357e-07
1820,3.5599443393152796e-09,1.115449199673435e-07
1821,3.94459531705138e-09,2.2681423739179252e-08
1822,1.4035862250239006e-08,7.118187284049782e-08
1823,6.917880712720148e-09,3.261286618538861e-08
1824,1.6000114122505238e-08,4.884245363712125e-08
1825,2.641632912414593e-09,6.956299758442697e-08
1826,8.807984452907647e-09,6.341748548521764e-08
1827,5.530363889061363e-09,4.885154680778214e-08
1828,2.7516904310687096e-09,1.0639869429951432e-07
1829,2.5719527840806222e-08,7.630126735991283e-08
1830,9.39315203396518e-09,5.114049428378564e-08
1831,4.677361609140007e-09,7.951515357262906e-08
1832,8.117981509236927e-09,6.22378593106987e-08
1833,1.3900354645102198e-08,6.602667923516492e-08
1834,6.534171870242744e-09,7.467625096069241e-08
1835,1.1344631900556124e-08,7.487457054367042e-08
1836,1.0753199664037538e-08,9.274635170974932e-08
1837,6.262101726051128e-09,7.723258788061571e-08
1838,1.3255539776935166e-08,5.049729612238707e-08
1839,1.1885507911202353e-08,1.4332523523563623e-07
1840,1.4013315285943406e-08,9.044958060311359e-08
1841,7.704658244733764e-09,7.833068993434722e-08
1842,4.695785538189057e-09,1.4825265282070177e-07
1843,4.13483786099178e-09,1.3172410989747974e-07
1844,4.9397050894128824e-09,1.0098952879511458e-07
1845,5.580227946389016e-09,7.254296452430253e-08
1846,1.1709002656346001e-08,8.371937099127535e-08
1847,6.47186837454683e-09,6.903326177365443e-08
1848,1.126331028444838e-08,2.654923214606697e-08
1849,1.0893238977516262e-08,4.1059134758825167e-08
1850,8.146795238417326e-09,5.838536765168101e-08
1851,7.739326290945314e-09,6.836405064269968e-08
1852,1.1718982229069752e-08,6.185018097681905e-08
1853,4.180352286553557e-09,7.644072708146155e-08
1854,9.352196128631363e-09,5.455447649183043e-08
1855,3.714855978387277e-09,5.943769565419643e-08
1856,1.7084724746041502e-08,6.109083283689642e-08
1857,7.810414537345878e-09,4.979139456295911e-08
1858,4.893675908945738e-09,6.704335930862726e-08
1859,2.5460866748261424e-09,5.3467818617036755e-08
1860,3.661747072225552e-09,9.017052543525139e-08
1861,3.3011746669586728e-09,4.385846108512226e-08
1862,5.421583626485926e-09,3.930648162508987e-08
1863,2.996772441310469e-09,4.345320281373688e-08
1864,6.712619238236073e-09,1.0164823427416536e-07
1865,5.648213063924601e-09,4.6127076491764285e-08
1866,5.352174370365503e-09,4.622332316905897e-08
1867,3.396968040192405e-09,8.201251411321664e-08
1868,4.939873954334928e-09,8.101393367265786e-08
1869,1.953407657850903e-09,8.057806866190731e-08
1870,2.2936195165357276e-09,8.142349372519675e-08
