year,en_ADP eaux_NOUN,en_ADP peau_NOUN
1800,2.358123420975744e-07,1.0690159513160324e-07
1801,2.524053570596152e-07,7.619784270218588e-08
1802,2.5735161557349784e-07,9.84649659585557e-08
1803,1.1331471370112922e-06,1.2092102963379148e-07
1804,4.696516728852629e-07,2.867347177470947e-07
1805,5.34461003454112e-07,2.6723051860244595e-07
1806,2.7087691023552907e-07,2.622318788780831e-07
1807,3.074711401040986e-07,2.1636859059981361e-07
1808,2.5153420679657756e-07,2.130109493236887e-07
1809,2.710836657371374e-07,2.394572220509872e-07
1810,3.1825722945910684e-07,2.223120389999167e-07
1811,3.4096243783920954e-07,1.6295999216708879e-07
1812,2.667208347517658e-07,2.827240734859515e-07
1813,2.0992914051554123e-07,1.2078115219082974e-07
1814,2.580275122454623e-07,2.863476140646526e-07
1815,2.5623624266835066e-07,5.529308282348211e-07
1816,2.062667476820934e-07,2.9201808615653135e-07
1817,2.2107602470899934e-07,1.9927979622025305e-07
1818,1.9908365556098317e-07,3.5048262247983075e-07
1819,3.3226870055358404e-07,3.519357107961696e-07
1820,2.1003671690777992e-07,3.1090181096260494e-07
1821,2.031466594942799e-07,1.8342367980039853e-07
1822,1.5439448475262907e-07,2.1555074170009902e-07
1823,1.2649839309375466e-07,5.109349103804561e-07
1824,1.9621192581809055e-07,3.7221317938929133e-07
1825,1.787504968486786e-07,3.002656114858837e-07
1826,2.3164999207736514e-07,6.165589070405986e-07
1827,2.0185828181196186e-07,5.364452704270661e-07
1828,1.751909479708047e-07,3.5863698144567024e-07
1829,2.1518671777798204e-07,3.9865267353889067e-07
1830,1.8890672803806297e-07,6.982243121456122e-07
1831,2.7908258548592357e-07,6.330029691525851e-07
1832,3.368962495642336e-07,4.316060255860066e-07
1833,2.536814502906992e-07,6.058237431716407e-07
1834,1.7455573142477476e-07,4.1538663708706736e-07
1835,2.2008586597621616e-07,6.511818924082036e-07
1836,1.854926970912274e-07,5.356437782211287e-07
