year,long_ADJ an_NOUN,long_ADJ temps_NOUN
1800,0.0,5.763253447810257e-06
1801,0.0,6.922097675499117e-06
1802,0.0,7.156612895187209e-06
1803,1.950339223455444e-09,3.4657528917847458e-06
1804,2.4718509461507665e-09,4.241696363038727e-06
1805,0.0,4.938078592253703e-06
1806,2.881669125542885e-09,3.2159427334477186e-06
1807,0.0,2.687525540778779e-06
1808,0.0,2.9005746213783823e-06
1809,0.0,3.5127925706035512e-06
1810,0.0,3.5593327325500468e-06
1811,0.0,4.264537530218604e-06
1812,0.0,3.3420118512594854e-06
1813,0.0,3.3876236020802253e-06
1814,0.0,4.0308936419819474e-06
1815,5.394447111228828e-09,3.471326689208354e-06
1816,0.0,3.5575220653782935e-06
1817,1.556873407970727e-09,3.373744727142025e-06
1818,3.5763532135746345e-09,5.0951113585995245e-06
1819,0.0,4.962293468580015e-06
1820,0.0,5.053934273746563e-06
1821,9.86148829262845e-10,5.2758961430754425e-06
1822,1.0025615893027862e-09,5.889046761353711e-06
1823,0.0,6.3160253436223e-06
1824,0.0,9.979018173567056e-06
1825,0.0,5.930465942327601e-06
1826,8.807984341885344e-10,4.623311093965299e-06
1827,1.8434546111834038e-09,4.262988975156645e-06
1828,0.0,3.484557192123816e-06
1829,8.57317605795771e-10,2.7434162923611893e-06
1830,1.0436835840010872e-09,2.8127272404532278e-06
1831,0.0,3.2990991698511607e-06
1832,1.3529969367098715e-09,2.5409283299637764e-06
1833,3.4750886612755494e-09,2.8982239541619492e-06
1834,9.334530925997342e-10,2.929175832555586e-06
1835,1.5126175867408165e-09,4.15667319231261e-06
1836,6.720750067579218e-10,7.787333437647703e-06
1837,0.0,3.6848991484816906e-06
1838,0.0,6.044526189796784e-06
1839,6.9914751765765e-10,3.270612012329366e-06
1840,0.0,3.3377169650350424e-06
1841,0.0,3.5370800937073454e-06
1842,0.0,2.445833533926134e-06
1843,5.906911071384968e-10,2.252895979992786e-06
1844,1.097712254427563e-09,2.5708420352543726e-06
1845,5.580227946389016e-10,1.9385711178543374e-06
1846,5.854501328173001e-10,2.274473697383428e-06
1847,0.0,1.9313132755272022e-06
1848,0.0,1.97912455490723e-06
1849,0.0,1.7370526785853713e-06
1850,6.788996032014438e-10,2.305543064906601e-06
1851,0.0,1.991586657368316e-06
1852,6.510545436100301e-10,1.8307653251170564e-06
1853,1.1943863675867306e-09,2.2084203354921783e-06
1854,1.0391328908454511e-09,3.4660278540599165e-06
1855,5.306937111981824e-10,2.4358842445337814e-06
1856,5.177189232874468e-10,1.9455878037533125e-06
1857,0.0,2.734133301984798e-06
1858,0.0,2.9685039066862373e-06
1859,5.092173349652285e-10,2.557798772784281e-06
1860,4.577183909670879e-10,1.8116494029385422e-06
1861,4.715963730639317e-10,1.8260211867016096e-06
1862,9.035972525772706e-10,2.2120061267116853e-06
1863,1.9978483312144135e-09,2.146188556650941e-06
1864,1.4384183844029508e-09,2.526342215425359e-06
1865,4.706844358715045e-10,1.9250992462360728e-06
1866,1.4596839292835284e-09,2.5943448243026523e-06
1867,4.85281148598915e-10,2.175515422919716e-06
1868,4.93987406535723e-10,1.8914778010525879e-06
1869,9.767038289254515e-10,1.5973991409623522e-06
1870,5.734048791339319e-10,2.291325928993615e-06
1871,2.1242354542039266e-09,1.8512711523754888e-06
1872,1.2094678591978436e-09,2.0536764804290897e-06
1873,5.986004469882289e-10,2.3507040367576337e-06
1874,5.974609140757536e-10,2.1998510373322233e-06
1875,0.0,2.4350818499385696e-06
1876,6.04601479992084e-10,2.324088116623102e-06
1877,6.184815992682502e-10,2.185713960045632e-06
1878,0.0,2.5617813328437933e-06
1879,6.10932526790009e-10,3.2330550148174098e-06
1880,2.5671385017744797e-09,2.7526143462353048e-06
1881,0.0,2.1900645634786997e-06
1882,0.0,2.17697655102711e-06
1883,6.319338941018771e-10,2.8462301475684626e-06
1884,1.3203393933736152e-09,1.915152239462259e-06
1885,1.2891271383708158e-09,2.433872040796814e-06
1886,6.453463874400711e-10,1.865051049987354e-06
1887,6.528924623161458e-10,2.199594641538738e-06
1888,6.340614699951175e-10,2.211606443758285e-06
1889,0.0,2.279256824166964e-06
1890,0.0,1.8942176644998199e-06
1891,0.0,2.010428888254978e-06
1892,6.268512375839919e-10,1.844823163565934e-06
1893,6.158416554491453e-10,1.8518358064767426e-06
1894,0.0,1.884160248266653e-06
1895,6.018614495673091e-10,1.916928818346264e-06
1896,5.89702897624278e-10,1.885280141777912e-06
1897,1.1653427112179315e-09,1.7550060862348005e-06
1898,5.6583548957434e-10,1.8299119619591409e-06
1899,0.0,1.709127230853369e-06
