year,premier_ADJ or_NOUN,premier_ADJ bord_NOUN
1800,2.829747991484055e-08,1.2576657937302116e-08
1801,1.4287095284615248e-08,1.6668277424969347e-08
1802,1.1189200677108602e-08,2.0140561218795483e-08
1803,5.851017448321727e-09,5.460949736857401e-08
1804,7.4155526164076946e-09,5.19088700912107e-08
1805,8.528632911009026e-09,1.9900143755080535e-08
1806,2.881669125542885e-08,3.7461699520235925e-08
1807,2.2775641372874134e-08,1.1387820464392462e-08
1808,1.1330369975581789e-08,1.155697759713803e-07
1809,1.1295152591017654e-08,0.0
1810,3.7442028144596406e-08,4.44624070894406e-08
1811,1.504245972228091e-08,1.2535384286138651e-08
1812,1.0668832928217853e-08,1.600324850414836e-08
1813,2.8757416448144113e-09,7.764502640839055e-08
1814,3.4613449884091096e-08,9.440031645269187e-08
1815,4.045835311217161e-08,4.5852800667489646e-08
1816,1.622322720606917e-08,1.0660977523002657e-07
1817,1.8682481339737933e-08,7.161617787687646e-08
1818,1.3113294894395722e-08,8.344824387052086e-09
1819,2.0702100145264524e-08,1.6561680027393777e-08
1820,2.4919610375206958e-08,2.1359666035891678e-08
1821,1.1833785507064931e-08,3.648750634965836e-08
1822,2.8071724500478012e-08,1.604098542884458e-08
1823,2.569498569471307e-08,2.9648061783404955e-09
1824,1.9368560089105813e-08,2.7789671008804362e-08
1825,4.050503643604486e-08,5.283265824829186e-09
1826,8.80798456392995e-09,2.025836387531399e-08
1827,2.7651818612639545e-08,2.1199728195142598e-08
1828,3.760643585426493e-08,1.0089530988466322e-08
1829,1.2002446148073886e-08,7.715858174606183e-09
1830,1.5655253093882493e-08,7.305785310052215e-09
1831,4.677361831184612e-09,1.4032085715598441e-08
1832,2.705993829010822e-08,2.4353944638733083e-08
1833,1.3900354645102198e-08,6.950177322551099e-09
1834,2.9870498963191494e-08,1.4935249481595747e-08
1835,4.159698363537245e-08,2.0420337421001022e-08
1836,3.2931674442959746e-08,1.8146025126952736e-08
1837,1.7394727436226276e-08,4.174734336004349e-09
1838,1.7042836919500814e-08,8.837027110075724e-09
1839,2.027527834513876e-08,1.0487212875887053e-08
1840,7.0066574764382494e-09,2.5478754661634184e-09
1841,1.2841097074556274e-08,1.4767261191650505e-08
1842,1.542900918138912e-08,2.683306021822318e-09
1843,1.6539350389255247e-08,1.4767278067040479e-08
1844,2.4698525058486354e-08,1.756339607084101e-08
1845,1.7298706467272496e-08,1.562463758375543e-08
1846,2.6345256864956923e-08,1.0538101946622191e-08
1847,1.240441438454809e-08,2.1572894581822766e-09
1848,1.287235473768078e-08,9.65426583121598e-09
1849,1.1731180693530519e-08,4.357295679824347e-08
1850,9.504594444820214e-09,3.394497927189377e-08
1851,2.3862924081186065e-08,1.9993260380601896e-08
1852,1.4974254725075298e-08,2.799534470909748e-08
1853,1.5527023000672102e-08,4.419229693297666e-08
1854,1.922395914677466e-08,1.8704392701351935e-08
1855,1.1144567935161831e-08,1.1144567935161831e-08
1856,2.640366475459288e-08,6.212626857404757e-09
1857,1.903788510171367e-08,1.513267733344037e-08
1858,1.9574704523961373e-08,3.963877448498465e-08
1859,1.0693563812225193e-08,3.768208145515928e-08
1860,1.739329860694916e-08,1.2358396972445007e-08
1861,1.7920662287451705e-08,8.488735048217677e-09
1862,1.1746764477793548e-08,8.584174260306554e-09
1863,1.4983863039219614e-08,1.4983863039219614e-08
1864,2.349416661218129e-08,1.2466292886870178e-08
1865,2.541695881541628e-08,1.2237795665726026e-08
1866,2.2868380966656332e-08,1.702964524952222e-08
1867,3.1543274658929477e-08,2.1837651686951176e-08
1868,1.778354707937524e-08,2.124145792592458e-08
1869,2.002242827092715e-08,2.5882650689368347e-08
1870,2.5229815125982213e-08,8.027668307875047e-09
1871,9.559059321873065e-09,1.6993883633631413e-08
1872,1.5723082169571967e-08,4.172663992108028e-08
1873,2.693702005895915e-08,4.309923085088485e-08
1874,1.6131444624534197e-08,1.4936523129449597e-08
1875,1.3731665304828056e-08,1.830888685105947e-08
1876,1.813804395567331e-08,7.738898943898675e-08
1877,3.2779525871440285e-08,1.9172929910382663e-08
1878,1.9928992622819663e-08,1.9325083755461492e-08
1879,1.893890888560179e-08,5.498392852132383e-09
1880,1.1552123257985158e-08,2.2462462112571302e-08
1881,1.5339516323820135e-08,0.0
1882,2.9283694580328756e-08,3.3276926103553706e-08
1883,2.0221884611260066e-08,2.211768546089843e-08
1884,2.5086449362277108e-08,2.6406787867472303e-08
1885,1.1602144189826191e-08,1.933690718658454e-08
1886,8.38950331427668e-09,9.680196200179125e-09
1887,1.762809609395788e-08,6.528924512139156e-09
1888,8.242799331981132e-09,1.8387781963724592e-08
1889,1.5662842023367318e-08,1.628935564212952e-08
1890,1.376421138177264e-08,1.0487018364813139e-08
1891,1.4660706204594476e-08,1.4023283867459213e-08
1892,1.0656471038927862e-08,6.393882379107652e-08
1893,1.7243566630131824e-08,4.310891643655168e-09
1894,2.3315696040526745e-08,1.8904618315218613e-08
1895,1.2037228769301578e-08,6.018614495673091e-10
1896,2.0639602027472392e-08,2.5946927273423626e-08
1897,1.3401440845939305e-08,1.5732126712464378e-08
1898,2.0370077402631637e-08,8.487532454637403e-09
1899,1.9346524382513053e-08,9.39688327150634e-09
1900,1.8168686111152965e-08,8.305685250675765e-09
1901,1.4530721570427119e-08,1.9001712314725694e-08
1902,1.2275709893039277e-08,3.0443761289689064e-08
1903,1.7280705533195828e-08,1.404057292653249e-08
1904,2.0961039126632386e-08,2.3110888314192835e-08
1905,1.2385821979155054e-08,7.586316108643132e-08
1906,1.8004646107350197e-08,1.18316245689698e-08
1907,1.0799971028596644e-08,2.3142794347563722e-08
1908,1.9645555626723876e-08,1.4734167663732478e-08
1909,1.9253441840838548e-08,6.60118004702781e-09
1910,1.1222716089775986e-08,1.7635697346918278e-08
1911,2.6601870706244313e-08,1.9153346464406695e-08
1912,1.719108944087111e-08,6.251305251225858e-09
1913,1.2196876397752021e-08,9.545381374209683e-09
1914,2.54476265060255e-08,2.8126324380650658e-08
1915,1.1780762143587253e-08,1.8849219074468238e-08
1916,2.0876177231343718e-08,1.7579939726175553e-08
1917,1.7546279096336548e-08,1.6449636319748606e-08
1918,2.1824114959656526e-08,1.722956355365568e-08
1919,1.3811772170413406e-08,1.2890987832747669e-08
1920,1.590168707821249e-08,1.4387239843927091e-08
1921,1.3630945261411398e-08,9.844571380313027e-09
1922,6.640141769764796e-09,3.6889677978990676e-09
1923,1.0615948120573648e-08,9.554353752605493e-09
1924,1.0313299547703991e-08,9.02413699321869e-09
1925,1.6497267107951075e-08,2.0896537833436923e-08
1926,6.6876830739914794e-09,3.343841648018042e-09
1927,6.689534814974252e-09,1.6723836537835268e-08
1928,6.85562484559199e-09,9.14083297942625e-09
1929,7.798284462623428e-09,6.684243825105796e-09
1930,1.785612657734248e-08,9.453243521306831e-09
1931,2.3951248095954725e-08,2.2810713318222042e-09
1932,9.863582839386709e-09,2.1919073223131136e-09
1933,1.1470662641954732e-08,5.735331320977366e-09
1934,2.156684431042777e-08,3.5944740517379614e-09
1935,7.180970484910176e-09,7.180970484910176e-09
1936,1.4549657478823974e-08,8.487299751891442e-09
1937,1.0072894407464617e-08,2.1404900962807005e-08
1938,1.944782235252518e-08,2.5930429359277696e-08
1939,1.2235240376412548e-08,4.588215141154706e-09
1940,0.0,7.607348528892999e-09
1941,5.9030051957620344e-09,0.0
1942,1.2136847082899749e-08,1.8205270180260413e-08
1943,2.9032352077962287e-09,2.0322646676618206e-08
1944,3.2131861615880553e-09,1.927911696952833e-08
1945,4.357008087652048e-09,1.742803235060819e-08
