year,dernier_ADJ ail_NOUN,dernier_ADJ bail_NOUN
1800,0.0,8.174827570428533e-08
1801,0.0,4.7623651688866175e-09
1802,0.0,1.5664880947952042e-08
1803,0.0,7.801356893821776e-09
1804,0.0,1.4831105232815389e-08
1805,0.0,2.842877711017877e-09
1806,0.0,3.1698359492793315e-08
1807,0.0,6.263301344233696e-08
1808,0.0,4.5321479902327155e-09
1809,0.0,2.710836710662079e-08
1810,4.680253518074551e-09,4.44624070894406e-08
1811,0.0,1.0028307428910921e-07
1812,0.0,4.000812481308458e-08
1813,0.0,1.4378708002027452e-08
1814,0.0,3.1466771410748606e-09
1815,0.0,5.394447111228828e-09
1816,0.0,1.622322720606917e-08
1817,0.0,1.401186100480345e-08
1818,1.1921177378582115e-09,6.318224166079744e-08
1819,0.0,4.5544620519422097e-08
1820,0.0,6.882559233645225e-08
1821,0.0,3.155676253641104e-08
1822,1.0025615893027862e-09,2.90742860897808e-08
1823,0.0,2.8659792761231984e-08
1824,0.0,5.3053010873327366e-08
1825,0.0,5.459374818883589e-08
1826,0.0,3.963592831723872e-08
1827,0.0,4.147772969531616e-08
1828,9.172301251858528e-10,3.118582370120748e-08
1829,0.0,2.4862210068476998e-08
1830,0.0,3.5485243188304594e-08
1831,0.0,5.3010101197514814e-08
1832,0.0,1.0823975493678972e-08
1833,0.0,3.1275796175123105e-08
1834,0.0,3.453776287187793e-08
1835,1.5126175867408165e-09,2.193295500774184e-08
1836,0.0,3.8980349614803345e-08
1837,0.0,1.1132625488130543e-08
1838,0.0,1.5780404538645598e-08
1839,6.9914751765765e-10,2.7266752411492234e-08
1840,6.369688665408546e-10,3.05745047057826e-08
1841,6.420548537278137e-10,2.5040138851295524e-08
1842,6.708265054555795e-10,3.5553803456878086e-08
1843,0.0,3.36693943836508e-08
1844,5.488561272137815e-10,2.085653250105679e-08
1845,1.1160455892778032e-09,3.850357188639464e-08
1846,0.0,2.9272506196775794e-08
1847,5.393223645455691e-10,2.534815024546333e-08
1848,8.045221711050488e-10,2.896279838182636e-08
1849,8.379414939696517e-10,7.122502410084053e-08
1850,2.0366988096043315e-09,3.8018377779280854e-08
1851,0.0,3.4826967976187007e-08
1852,1.9531636308300904e-09,2.3437962681782665e-08
1853,1.1943863675867306e-09,2.329053394589664e-08
1854,5.195664454227256e-10,3.896748168585873e-08
1855,0.0,5.041590256382733e-08
1856,1.0354378465748937e-09,4.038207634948776e-08
1857,0.0,2.1966791052818735e-08
1858,4.893676019968041e-10,1.663849857891364e-08
1859,5.092173349652285e-10,1.782260738991681e-08
1860,0.0,2.654766717569146e-08
1861,0.0,3.4426534512022045e-08
1862,9.035972525772706e-10,8.13237548413781e-08
1863,4.994620828036034e-10,3.446288232566985e-08
1864,9.589455896019672e-10,3.643993196078554e-08
1865,4.706844358715045e-10,3.4830648587558244e-08
1866,0.0,1.3137154475373336e-08
1867,9.7056229719783e-10,2.717574432153924e-08
1868,4.93987406535723e-10,3.309715523869272e-08
1869,4.883519144627257e-10,2.197583626184496e-08
1870,5.734048791339319e-10,2.5229814681893004e-08
1871,0.0,1.4869648623516696e-08
1872,0.0,3.4469834986339265e-08
1873,0.0,2.334541804316359e-08
1874,0.0,1.8521287614703397e-08
1875,5.721527140956084e-10,2.0597497041308088e-08
1876,1.209202959984168e-09,4.353130833578689e-08
1877,0.0,8.720590471966716e-08
1878,1.2078177347163432e-09,5.012443438090486e-08
1879,6.10932526790009e-10,4.093248051617593e-08
1880,6.417846254436199e-10,2.9522093214495726e-08
1881,0.0,6.135806529528054e-08
1882,1.3310770263785798e-09,5.324308105514319e-08
1883,6.319338941018771e-10,5.0554710639971745e-08
1884,1.3203393933736152e-09,3.8289840631478e-08
1885,0.0,3.480643329112354e-08
1886,3.2267319927115068e-09,2.9040586824180536e-08
1887,6.528924623161458e-10,3.9173546184656516e-08
1888,6.340614699951175e-10,4.882273429984707e-08
1889,6.265136742733546e-10,2.8819629349641218e-08
1890,1.3108772956016423e-09,2.8839300725280737e-08
1891,1.2748440081367107e-09,4.143242904319777e-08
1892,1.2537024751679837e-09,4.5133290882404253e-08
1893,0.0,3.3255449949365357e-08
1894,0.0,4.978215883966186e-08
1895,0.0,3.611168608586013e-08
1896,5.89702897624278e-10,2.4767521367152767e-08
1897,1.7480140668268973e-09,3.729096675897381e-08
1898,1.13167097914868e-09,3.5647634177848886e-08
1899,0.0,3.537650172802387e-08
1900,1.5573159428683425e-09,4.049021384844309e-08
1901,2.235495566438317e-09,3.1855812210324075e-08
1902,0.0,3.6827128013783295e-08
1903,1.0800440541913758e-09,2.8621167658116065e-08
1904,2.1498500757388683e-09,2.741058935384899e-08
