year,dernier_ADJ honneur_NOUN,dernier_ADJ bonheur_NOUN
1800,1.2576657937302116e-08,6.288328968651058e-09
1801,2.3811825844433088e-09,5.476719877606229e-08
1802,4.475680270843441e-09,4.2518962573012686e-08
1803,7.801356893821776e-09,1.1702034896643454e-08
1804,4.69651695311768e-08,3.213406074564773e-08
1805,5.685755422035754e-09,2.842877711017877e-09
1806,0.0,2.5935023018064385e-08
1807,0.0,1.1387820464392462e-08
1808,2.7192887941396293e-08,1.5862518409903714e-08
1809,3.6144488291256494e-08,2.4849335034105025e-08
1810,2.106114038724627e-08,7.020380277111826e-09
1811,3.5099073869560016e-08,4.763445815569867e-08
1812,2.6672083208723052e-08,1.8670457180292033e-08
1813,1.7254450312975678e-08,1.150296680130225e-08
1814,3.4613449884091096e-08,1.2586708564299443e-08
1815,4.5852800667489646e-08,1.6183340889597275e-08
1816,4.6352077731626196e-08,9.270415546325239e-09
1817,7.784366928831332e-09,1.0898113522728181e-08
1818,1.0729059418679299e-08,3.457141417584353e-08
1819,1.3456364911235141e-08,4.968504185853817e-08
1820,1.542642635854463e-08,3.322614716694261e-08
1821,1.8736827200882544e-08,3.155676253641104e-08
1822,4.010246357211145e-09,5.714601059025881e-08
1823,1.4824030003524058e-08,2.569498569471307e-08
1824,1.431589158329416e-08,2.5263338088166165e-08
1825,5.811592274085342e-08,1.3208164340028361e-08
1826,2.025836387531399e-08,2.290075862276808e-08
1827,2.3964910056406552e-08,1.7512819638909605e-08
1828,7.337841001486822e-09,1.6510142586412258e-08
1829,1.2859763920403111e-08,1.0287811325060403e-08
1830,1.3567886369969528e-08,8.349468672008697e-09
1831,9.354723218280014e-09,2.9623292263636358e-08
1832,2.4353944638733083e-08,3.2471927369215337e-08
1833,2.7800709290204395e-08,2.4325620628928846e-08
1834,3.827157613045529e-08,2.5203233278148218e-08
1835,1.9664028627630614e-08,4.0840674842002045e-08
1836,2.755507466645213e-08,2.755507466645213e-08
1837,3.339787468803479e-08,2.6439986200443855e-08
1838,5.23909449157145e-08,2.9667161616231397e-08
1839,3.915226187700682e-08,2.23727205650448e-08
1840,2.6115722917552375e-08,4.7772665823231364e-08
1841,2.3113974734201292e-08,4.494383887276854e-08
1842,3.152884531232303e-08,4.22620693996123e-08
1843,4.0757687003178944e-08,3.189732128427991e-08
1844,3.0187088384536764e-08,3.2931367854871496e-08
1845,3.5155437672074186e-08,1.0044410636567136e-08
1846,3.102885770545072e-08,2.1076203893244383e-08
1847,1.0247124926365814e-08,1.4561703842730367e-08
1848,2.091757700384278e-08,9.65426583121598e-09
1849,1.1731181359664333e-08,3.016589289472904e-08
1850,1.9009188889640427e-08,1.0183494048021657e-08
1851,1.4188765717904062e-08,2.1283147688677673e-08
1852,4.7526981461487594e-08,3.711010876372711e-08
1853,2.09017620989016e-08,4.598387448595531e-08
1854,2.7537021551893304e-08,1.6626126253527218e-08
1855,3.980202833986368e-08,4.8823821430232783e-08
1856,2.6921383955436085e-08,6.057311452423164e-08
1857,2.9289054737091647e-08,4.783878987391077e-08
1858,3.376636348306761e-08,6.117095097124547e-08
1859,2.9025388315062628e-08,7.179964711667708e-08
1860,4.714499465818811e-08,2.6089947979812678e-08
1861,3.159695793897299e-08,4.0557289637810356e-08
1862,2.123453593516622e-08,5.647482836934614e-08
1863,2.5472566278494924e-08,2.497310502835859e-08
1864,4.507044337742627e-08,5.2742006984018985e-08
1865,2.7770381549885315e-08,4.565639205589278e-08
1866,2.3841502994059738e-08,3.211304583361496e-08
1867,5.580733386523207e-08,2.426405742994575e-08
1868,7.903798504571569e-09,2.420538258718352e-08
1869,2.1487483792270723e-08,3.1742874995188686e-08
1870,2.121598008386627e-08,3.841812556970581e-08
1871,2.973929724703339e-08,2.549082545044712e-08
1872,4.051717183983783e-08,4.2936108002322726e-08
1873,5.327543917132971e-08,2.21482157058972e-08
1874,2.7483201492373155e-08,1.4936523129449597e-08
1875,1.6020275495076675e-08,3.3757011408397375e-08
1876,1.3301232115736639e-08,2.1161051577678336e-08
1877,3.0924081073635534e-08,2.535774612510977e-08
1878,4.468925496325937e-08,2.7779808675632012e-08
1879,1.8327975581655664e-08,1.5273313280772527e-08
1880,1.5402831010646878e-08,1.6044616302224313e-08
1881,2.1614772693911988e-08,3.346803723047742e-08
1882,5.457415852561098e-08,2.3959387362992857e-08
1883,2.464542170343975e-08,3.6020232130340446e-08
1884,3.564916539744445e-08,1.1883054540362536e-08
1885,2.8360796378024133e-08,2.3848851782304337e-08
1886,1.4197620856748472e-08,1.936039240035825e-08
1887,1.697520485288706e-08,2.54628065854412e-08
1888,1.0779045211961602e-08,3.297119732792453e-08
1889,1.8795409673089125e-08,3.257871128425904e-08
1890,2.0318598359381213e-08,2.5562107097698572e-08
1891,9.561330394092238e-09,3.1233676422992573e-08
1892,1.3163876211308434e-08,3.5103667528346705e-08
1893,2.4017824173938607e-08,1.3548516086814288e-08
1894,2.0164925729204697e-08,1.3863386882917439e-08
1895,3.069493459406658e-08,2.347259631108045e-08
1896,1.8280790214930676e-08,1.4152869098893461e-08
1897,8.740070001067579e-09,1.1070755867592652e-08
1898,1.867257104493092e-08,2.3765091228256097e-08
1899,1.0502398950507086e-08,1.2160672469008205e-08
1900,7.786579381274805e-09,1.4015843596837385e-08
1901,1.0059729937950124e-08,2.794369535763508e-08
1902,1.1293653123800595e-08,1.7677022512430085e-08
1903,1.1880484152015924e-08,9.720396931811592e-09
1904,8.599400302955473e-09,1.7198800605910947e-08
1905,1.857873321853276e-08,2.167518786677647e-08
1906,1.6461390472954918e-08,1.0802787109298606e-08
1907,4.6285588695127444e-09,2.0571373937627868e-08
1908,6.384805573134145e-09,2.7503778810000767e-08
1909,6.0510818578052294e-09,4.8408654862441836e-08
1910,1.5498036631811374e-08,1.0153886620400954e-08
1911,9.044636151145369e-09,1.0640748726586935e-08
1912,1.82329742415277e-08,2.1879568379290504e-08
1913,1.5378670781274195e-08,9.015082902408267e-09
1914,1.1384464038144415e-08,2.0759905794420774e-08
1915,4.712304768617059e-09,5.890381071793627e-09
1916,7.69122365795738e-09,1.9777431248257926e-08
1917,2.0836206093832743e-08,1.0966424213165737e-08
1918,1.378365155346728e-08,2.067547733020092e-08
1919,1.1970202606903513e-08,2.117805053547528e-08
1920,2.953170330499688e-08,1.590168707821249e-08
1921,1.8931869405491852e-08,2.4232791773215467e-08
1922,1.8444838545406128e-08,2.2133805899215986e-08
1923,2.1231896241147297e-08,2.229349149729387e-08
1924,6.445812328337297e-09,2.0626599095407983e-08
1925,2.5295809891190402e-08,1.3197813508725176e-08
1926,1.3375366592072169e-08,2.8979959765251806e-08
1927,6.689535148041159e-09,3.0102906833917586e-08
1928,1.3711249025050165e-08,2.399468668201621e-08
1929,1.0026365515614089e-08,2.785101571589621e-08
1930,1.05036033204442e-08,1.05036033204442e-08
1931,1.2545892325022123e-08,1.1405356659111021e-08
