year,dernier_ADJ office_NOUN
1800,3.144164395507687e-08
1801,7.381665767525192e-08
1802,1.1189200677108602e-07
1803,2.9255089017965474e-08
1804,1.4831105232815389e-08
1805,6.538618890772341e-08
1806,2.305335300434308e-08
1807,3.701041828563234e-08
1808,2.039466551195801e-08
1809,2.2590304959990704e-08
1810,3.510190094146992e-08
1811,1.2535384286138651e-08
1812,8.00162425207418e-09
1813,6.326631307729258e-08
1814,7.237357380063258e-08
1815,4.8550024445148665e-08
1816,8.343374346964083e-08
1817,0.0
1818,3.5763532579835555e-08
1819,2.173720581311045e-08
1820,7.238553223487543e-08
1821,2.7612166775270452e-08
1822,1.9048670196752937e-08
1823,5.5343047478118024e-08
1824,7.157945702829238e-08
1825,4.226612659863349e-08
1826,2.2019960965735663e-08
1827,4.147773030593882e-08
1828,5.6868266540277546e-08
1829,2.2290258527846163e-08
1830,3.5485241856036964e-08
1831,7.171954763407484e-08
1832,2.705993829010822e-08
1833,5.6759780875381693e-08
1834,8.774458848392896e-08
1835,1.8907719834260206e-08
1836,1.1223652762737402e-07
1837,4.244313345225237e-08
1838,7.763959075646198e-08
1839,3.985140750728533e-08
1840,5.095751021144679e-08
1841,4.494384020503617e-08
1842,4.762868144325694e-08
1843,6.084118642224468e-08
1844,5.762989374602512e-08
1845,4.185170965342877e-08
1846,6.381406514321952e-08
1847,7.06512315318264e-08
1848,4.505324113779352e-08
1849,2.76520690789539e-08
1850,7.807345525634446e-08
1851,5.3530342825069965e-08
1852,9.375185427984434e-08
1853,4.777545448142462e-08
1854,7.793496675789768e-08
1855,2.7065379271107304e-08
1856,3.831120043429337e-08
1857,3.9540224872069984e-08
1858,3.572383633354548e-08
1859,6.212451353349024e-08
1860,4.897586691754441e-08
1861,4.951761978233549e-08
1862,6.415540809712184e-08
1863,3.3963420520422005e-08
1864,4.93856973093898e-08
1865,6.2130345312994e-08
1866,3.843834051053818e-08
1867,5.192508467644075e-08
1868,3.457912001181285e-08
1869,6.543915986867432e-08
1870,4.931282049369656e-08
1871,1.911811908783534e-08
1872,3.0236694925633856e-08
1873,4.6092235805872406e-08
1874,4.122480135038131e-08
1875,3.776207924133246e-08
1876,2.720706571146536e-08
1877,6.061119961486838e-08
1878,8.817069341304773e-08
1879,4.0321545990984475e-08
1880,4.6208493031940634e-08
1881,7.809208313336313e-08
1882,4.9249850864185873e-08
1883,4.107570283906625e-08
1884,2.3766108192546653e-08
1885,4.576401391176432e-08
1886,3.678474524981823e-08
1887,5.680164566479462e-08
1888,4.375024253988613e-08
1889,3.633779144252003e-08
1890,5.44014073788901e-08
1891,6.246735573256501e-08
1892,1.0280360296377467e-07
1893,5.9120798034939526e-08
1894,3.0247388593807045e-08
1895,7.824198666739335e-08
1896,4.8355636328434315e-08
1897,4.078699511467221e-08
1898,3.5647636842384145e-08
1899,2.7085134135518274e-08
1900,3.3741845761880995e-08
1901,2.5149324622830704e-08
1902,3.240787416203261e-08
1903,3.67214987306852e-08
1904,5.697102878343685e-08
1905,2.580379554473211e-08
1906,5.041300710217911e-08
1907,2.674278531955565e-08
1908,5.451641982290312e-08
1909,2.8055016532135824e-08
1910,3.4202564336283103e-08
1911,3.351835742293474e-08
1912,3.386123859083767e-08
1913,1.4318072172336826e-08
1914,3.6832092042971e-08
1915,1.5314990164938536e-08
1916,1.7579939282086343e-08
1917,2.3029491202919417e-08
1918,2.5270028736201766e-08
1919,1.6574127070789757e-08
1920,3.180337326824656e-08
1921,4.922285867792198e-08
1922,3.0987327981346624e-08
1923,4.352538596208433e-08
1924,1.804827398643738e-08
1925,6.488924952918751e-08
1926,3.343841648018042e-08
1927,3.5677519605314956e-08
1928,4.1133748851507335e-08
1929,2.4508894469477127e-08
1930,4.516549445554574e-08
1931,5.930785462737731e-08
1932,2.8494796078248896e-08
1933,5.391211121974493e-08
1934,4.31336868444987e-08
1935,2.8723881939640705e-08
1936,3.516167268458048e-08
1937,2.266401277761787e-08
1938,2.074434313215079e-08
1939,4.5882152299725476e-08
1940,2.7893612752905028e-08
1941,4.427253985639368e-08
1942,1.2136847082899749e-08
1943,5.2258233296242906e-08
1944,3.213186161588055e-08
1945,3.0499057501742755e-08
1946,2.7842209426864883e-08
1947,3.099426493236024e-08
1948,1.848220954059343e-08
1949,1.3743811422273211e-08
1950,2.339779503479633e-08
1951,2.7719644357659945e-08
1952,2.214408811873625e-08
1953,1.6160741300730308e-08
1954,2.6385848173049453e-08
1955,1.595553378308523e-08
1956,3.488456634670456e-09
1957,1.325255621908994e-08
1958,1.1581140491045971e-08
1959,2.6352543258667538e-08
1960,3.668041564930391e-08
1961,2.153929301584867e-08
1962,2.029426049432459e-08
1963,2.4571003010009917e-08
1964,2.251068309533366e-08
1965,2.3529786119524942e-08
1966,3.489617128593636e-08
1967,2.9582014060558492e-08
1968,2.6948494435963255e-08
1969,5.768032451669569e-08
1970,4.920635809924079e-08
1971,2.2095109963871096e-08
1972,1.487742551375959e-08
1973,2.0950174539624555e-08
1974,2.025205780853412e-08
1975,2.2845920710778955e-08
1976,1.542652228181396e-08
1977,1.7042667055378047e-08
1978,2.1386128423728223e-08
1979,1.462993370893173e-08
1980,1.3075846294618998e-08
1981,1.4548763971333756e-08
1982,2.7933760637921523e-08
1983,1.3893695083311286e-08
1984,1.9136728035551442e-08
1985,1.4437339324047116e-08
1986,2.0980699844130868e-08
1987,1.7110287242605438e-08
1988,1.3792074149421296e-08
1989,1.2073869015694072e-08
1990,8.717841559757744e-09
1991,1.4653663171770859e-08
1992,2.0386792698445788e-08
1993,8.862731881720265e-09
1994,1.1077346151466827e-08
1995,1.2471637056421514e-08
1996,1.6548085568501847e-08
1997,1.6782131240233866e-08
1998,1.0966697439052098e-08
1999,2.2851006420410158e-08
2000,1.678851901942835e-08
2001,1.1391150245287918e-08
2002,1.4896152755738967e-08
2003,1.750107614384433e-08
2004,1.5857247959161214e-08
2005,1.6213498099659773e-08
2006,2.7178072681266485e-08
2007,1.677681460421354e-08
2008,1.830699147831183e-08
2009,2.384096298158056e-08
2010,1.322662068758973e-08
2011,1.797266777070483e-08
2012,1.599998711299122e-08
2013,2.091843853690989e-08
2014,1.7756650774747307e-08
2015,2.5490616201162553e-08
2016,2.5477483234226384e-08
2017,1.2578056818313144e-08
2018,2.3749493038849323e-08
2019,1.836711227554133e-08
