year,premier_ADJ ail_NOUN,premier_ADJ bail_NOUN
1800,0.0,1.5720821977538435e-08
1801,0.0,7.143547975374531e-09
1802,0.0,3.5805442166747525e-08
1803,0.0,2.3404069793286908e-08
1804,0.0,1.9774807569206132e-08
1805,0.0,5.1171799242411e-08
1806,0.0,9.509508203109363e-08
1807,0.0,6.263301344233696e-08
1808,0.0,2.039466551195801e-08
1809,0.0,4.292158095609011e-08
1810,0.0,4.212228077449254e-08
1811,0.0,6.016983888912364e-08
1812,0.0,6.934741492159446e-08
1813,0.0,8.627225156487839e-09
1814,0.0,3.1466772298927026e-08
1815,0.0,4.045835311217161e-08
1816,0.0,1.8540831092650478e-08
1817,0.0,2.9580593974287694e-08
1818,0.0,3.5763530803478716e-08
1819,0.0,1.6561680027393777e-08
1820,0.0,1.3053129244156025e-08
1821,9.86148829262845e-10,5.029358973729359e-08
1822,2.0051231786055723e-09,4.3110148340019805e-08
1823,0.0,1.7788837070042973e-08
1824,8.421112696055388e-10,4.29476756380609e-08
1825,8.805443041381977e-10,4.490776106536032e-08
1826,0.0,1.4973572604048968e-08
1827,0.0,5.346018272511799e-08
1828,9.172301251858528e-10,6.420610532131832e-08
1829,0.0,4.029392641768936e-08
1830,0.0,5.844628248041772e-08
1831,0.0,7.016042502527853e-08
1832,1.3529969367098715e-09,4.464889968858188e-08
1833,1.1583628500844156e-09,7.876867158529421e-08
1834,1.8669061851994684e-09,6.16079063320285e-08
1835,1.5126175867408165e-09,8.24376584773745e-08
1836,1.3441500135158435e-09,5.040562456315456e-08
1837,0.0,6.609996616724345e-08
1838,1.8936485712828244e-09,8.268931850352601e-08
1839,0.0,5.173691708382222e-08
1840,6.369688665408546e-10,6.17859825524647e-08
1841,1.2841097074556274e-09,9.502412012807326e-08
1842,0.0,2.817471367322355e-08
1843,5.906911071384968e-10,6.497602100807853e-08
1844,0.0,7.244901212288823e-08
1845,5.580227946389016e-10,6.08244812849712e-08
1846,0.0,2.86870562860031e-08
1847,0.0,4.638172157456211e-08
1848,1.6090443422100975e-09,2.252662056889676e-08
1849,0.0,4.273501730267526e-08
1850,0.0,4.073397619208663e-08
1851,1.2898877521649865e-09,6.255955753431408e-08
1852,6.510545436100301e-10,5.468858077506411e-08
1853,0.0,1.4810390780439775e-07
1854,1.0391328908454511e-09,2.0263090760863633e-08
1855,0.0,1.963566731433275e-08
