year,premier_ADJ office_NOUN,premier beau - fils
1800,0.0,0.0
1801,3.809892135109294e-08,0.0
1802,3.5805442166747525e-08,0.0
1803,7.801356893821776e-09,0.0
1804,0.0,0.0
1805,1.1371510844071508e-08,0.0
1806,2.5935023018064385e-08,0.0
1807,1.4234775136401367e-08,0.0
1808,1.3596443970698147e-08,0.0
1809,1.3554183553310395e-08,0.0
1810,3.2761774626521856e-08,0.0
1811,6.518399686683551e-08,0.0
1812,1.3336041604361526e-08,0.0
1813,5.463909147351842e-08,0.0
1814,2.8320094713762956e-08,0.0
1815,1.8880564667256294e-08,0.0
1816,5.7940095388175905e-08,0.0
1817,7.784366928831332e-09,0.0
1818,2.0266001543589596e-08,0.0
1819,2.6912729822470283e-08,0.0
1820,9.255855104584043e-08,0.0
1821,3.550135718732861e-08,0.0
1822,3.308453244699194e-08,0.0
1823,3.9530747564242574e-09,0.0
1824,2.5263338088166165e-09,0.0
1825,3.6982861217893515e-08,0.0
1826,2.4662356157278964e-08,0.0
1827,1.8434546944501307e-08,0.0
1828,1.1006761724274838e-08,0.0
1829,4.8009784592295546e-08,0.0
1830,1.2524202563923836e-08,0.0
1831,2.3386808933878456e-08,0.0
1832,1.352996914505411e-08,0.0
1833,1.7375443306377747e-08,0.0
1834,2.893704498241334e-08,0.0
1835,1.2100940693926532e-08,8.299605447348313e-10
1836,8.535352608030067e-08,0.0
1837,3.339787468803479e-08,0.0
1838,2.7142295966342544e-08,0.0
1839,7.410963576148788e-08,0.0
1840,7.962111103765324e-08,0.0
1841,2.8250413564023802e-08,0.0
1842,2.2137274235944915e-08,0.0
1843,2.8943864416319798e-08,0.0
1844,2.7442807137845193e-08,0.0
1845,2.7901139176833567e-08,0.0
1846,4.507965911670908e-08,0.0
1847,3.3977308078192436e-08,0.0
1848,3.0571842224436097e-08,0.0
1849,3.4355601030711114e-08,0.0
1850,1.3577992064028876e-08,0.0
1851,1.87033721843477e-08,0.0
1852,2.9948509894239805e-08,0.0
1853,4.3595100640558826e-08,0.0
1854,3.896748168585873e-08,0.0
1855,4.351688431825096e-08,0.0
1856,3.520488622843487e-08,0.0
1857,3.221796163188628e-08,0.0
1858,2.985142349976044e-08,0.0
1859,4.582956059095977e-08,0.0
1860,5.309533210318129e-08,0.0
1861,3.2540150685100855e-08,0.0
1862,1.8975543136789952e-08,0.0
1863,2.2975255753454604e-08,0.0
1864,1.821996631345968e-08,0.0
1865,1.647395531101381e-08,5.159605520610455e-10
1866,1.5569960709616026e-08,0.0
1867,2.6690463172940326e-08,0.0
1868,4.495285277350547e-08,0.0
1869,1.8069021279210062e-08,1.0714624743002332e-09
1870,2.981705415905367e-08,0.0
1871,2.761506068260644e-08,0.0
1872,3.38650991693612e-08,0.0
1873,3.651462809894923e-08,0.0
1874,1.792382703369455e-08,1.966549145748786e-09
1875,4.4627912032524364e-08,6.286970388735824e-10
1876,2.9020870595530823e-08,3.3204154981092415e-09
1877,2.412078248248406e-08,0.0
1878,6.703388322204518e-08,0.0
1879,3.176849161512507e-08,0.0
1880,3.5939939913021135e-08,0.0
1881,6.833057569766154e-08,0.0
1882,7.91990828474809e-08,0.0
1883,6.382532324877843e-08,2.0899828534481912e-09
1884,3.49889939244008e-08,7.27484239515519e-10
1885,3.480643201436706e-08,0.0
1886,2.710454793941608e-08,0.0
1887,3.5256193020583027e-08,0.0
1888,3.9311809807429654e-08,0.0
1889,3.9470360924109826e-08,0.0
1890,4.7191583973926754e-08,0.0
1891,5.2268605443828164e-08,7.027207149512549e-10
1892,8.337121171209105e-08,1.3834376977328589e-09
1893,4.8035648347877213e-08,0.0
1894,1.7014155639927253e-08,0.0
1895,9.81034169456052e-08,0.0
1896,2.5946926773823265e-08,0.0
1897,4.603103909150974e-08,0.0
1898,5.828105553717933e-08,0.0
1899,4.9748205555033564e-08,0.0
1900,4.8276793229717896e-08,0.0
1901,2.850256791697703e-08,0.0
1902,3.28989024911408e-08,0.0
1903,4.3741784416795326e-08,0.0
1904,8.223176806154697e-08,0.0
1905,5.057543805975229e-08,0.0
1906,8.745113433406004e-08,0.0
1907,4.937129638449278e-08,0.0
1908,3.585314001242068e-08,0.0
1909,5.005895048482145e-08,0.0
1910,3.634022571752382e-08,5.898358468314768e-10
1911,3.7774656846956134e-08,5.871810260238419e-10
1912,4.480102355763904e-08,0.0
1913,4.6666310149490187e-08,0.0
1914,3.884111504648402e-08,0.0
1915,2.8273827723523937e-08,0.0
1916,4.1752354906776645e-08,0.0
1917,5.592876384241663e-08,0.0
1918,4.2499593178035866e-08,0.0
1919,3.959374805795335e-08,0.0
1920,7.420787184742039e-08,0.0
1921,3.332008979839429e-08,0.0
1922,5.016996151852027e-08,0.0
1923,3.927900849021171e-08,0.0
1924,4.254236052325666e-08,0.0
1925,6.048997747143403e-08,0.0
1926,4.904300754393631e-08,0.0
1927,3.5677519605314956e-08,0.0
1928,3.7705935707066374e-08,0.0
1929,2.1166771890790415e-08,0.0
1930,7.982738470246886e-08,0.0
1931,1.0150767426608809e-07,0.0
1932,4.05502853517703e-08,0.0
1933,5.850037765320337e-08,0.0
1934,3.474658250013363e-08,0.0
1935,5.2660450222674626e-08,0.0
1936,2.3036958118893835e-08,0.0
1937,3.5255130370615007e-08,0.0
1938,4.408173026604345e-08,0.0
1939,3.976453122334078e-08,0.0
1940,5.32514401463402e-08,0.0
1941,3.836953554881006e-08,0.0
