year,premier_ADJ os_NOUN
1800,1.131899196593622e-07
1801,2.09544069207368e-07
1802,1.5888664961494214e-07
1803,7.469799356840667e-07
1804,6.154908760436228e-07
1805,4.861320803684066e-07
1806,7.780506905419315e-08
1807,1.0249038240317532e-07
1808,3.3991110370834576e-08
1809,2.25903047379461e-08
1810,4.984469796909252e-07
1811,1.0028307073639553e-08
1812,3.414026537029713e-07
1813,2.041776525629757e-07
1814,1.6362720600682223e-07
1815,3.9379463601108e-07
1816,1.5064425440414198e-07
1817,7.7843672841027e-08
1818,2.8849248678852746e-07
1819,3.622867552621756e-07
1820,2.2071654370847682e-07
1821,2.1596659394162998e-07
1822,1.965020715033461e-07
1823,2.0358335461878596e-07
1824,3.208444070423866e-07
1825,6.313502822763439e-07
1826,2.2372280283899926e-07
1827,1.2719836206542823e-07
1828,4.79711331990984e-07
1829,5.4611132327409e-07
1830,2.0038724812820874e-07
1831,3.040285152522415e-07
1832,9.200379480489573e-08
1833,1.8765478682070125e-07
1834,2.0162586511496272e-07
1835,2.8664101847653e-07
1836,1.2769424806435836e-07
1837,1.5376939188627148e-07
1838,1.0667553596022117e-07
1839,2.1953231432725318e-07
1840,1.2994164533264296e-07
1841,5.303373260545641e-07
1842,5.769107858100142e-08
1843,1.594865974841042e-07
1844,7.57421432240335e-08
1845,1.1104653907523243e-07
1846,9.894107222407911e-08
1847,9.33027664018482e-08
1848,3.700802153616678e-08
1849,4.860060642819519e-08
1850,7.807345525634446e-08
1851,4.321123925343784e-08
1852,5.6641745516117226e-08
1853,8.241266158393046e-08
1854,5.507404310378661e-08
1855,8.650307492530374e-08
1856,2.4332790005132665e-08
1857,5.27202992373077e-08
1858,2.300027723833864e-08
1859,2.2405561850291633e-08
1860,2.1055045706930287e-08
1861,2.5466203645851948e-08
1862,2.936691068100572e-08
1863,3.596127157168283e-08
1864,2.0617330065419992e-08
1865,2.3063536858103362e-08
1866,3.5032413081559355e-08
1867,6.551295683721037e-08
1868,3.210918109175509e-08
1869,4.0044856319809696e-08
1870,3.669791226457164e-08
1871,4.248470730772169e-08
1872,5.382132073350476e-08
1873,3.052862140862089e-08
1874,6.034355237716227e-08
1875,4.005068898749187e-08
1876,6.77153655370688e-08
1877,1.793596560162314e-08
1878,9.662541655686141e-09
1879,3.9710613464194466e-08
1880,1.7969970400599777e-08
1881,4.044054335849978e-08
1882,4.791877472598571e-08
1883,1.64302811356265e-08
1884,1.5183903911974994e-08
1885,5.0920522909336796e-08
1886,4.4528899678653033e-08
1887,2.0239665943222462e-08
1888,3.61415040117663e-08
1889,4.0723389105323804e-08
1890,2.6872983838188702e-08
1891,2.2309770031370135e-08
1892,9.402768341715273e-09
1893,2.0938616174248637e-08
1894,2.2685540557176864e-08
1895,1.2037228991346183e-08
1896,1.0024948871034667e-08
1897,1.7480140002135158e-08
1898,1.7540900287826844e-08
1899,3.8693048765026106e-09
1900,5.19105292084987e-09
1901,5.58873880507349e-09
1902,4.419255628107521e-09
1903,1.674068350610014e-08
1904,3.7622376325430196e-09
1905,1.4966200723165457e-08
1906,4.115347618238729e-09
1907,1.594281484607052e-08
1908,1.0313916831705683e-08
1909,8.251475058784763e-09
1910,1.4429207051414039e-08
1911,5.3203743632934675e-09
1912,3.125652625612929e-09
1913,1.2196876397752021e-08
1914,1.2054139020278853e-08
1915,1.0602685840410686e-08
1916,2.197492410260793e-09
1917,5.483212106582869e-09
1918,1.8378202071289707e-08
1919,6.4454939163738345e-09
1920,1.665890891899835e-08
1921,3.7863738810983705e-09
1922,1.1804696775641332e-08
1923,6.369568872344189e-09
1924,6.445812328337297e-09
1925,5.499089184013428e-09
1926,1.1146138456652466e-09
1927,6.689535148041159e-09
1928,6.8556245125250825e-09
1929,1.1140406153131721e-08
1930,9.453243521306831e-09
1931,2.6232321204133768e-08
1932,0.0
1933,8.02946331646126e-09
1934,5.990790086229936e-09
1935,2.393656828303392e-09
1936,1.2124714565686645e-09
1937,0.0
1938,3.8895642262559704e-09
1939,0.0
1940,1.0143131667916805e-08
1941,1.1806010391524069e-08
1942,1.8205270180260413e-08
1943,8.709705845433291e-09
1944,0.0
1945,0.0
1946,1.3921104269343232e-09
1947,3.5762612871081956e-09
1948,8.697510267552389e-09
1949,4.908504269707237e-09
1950,1.0635361480382244e-09
1951,1.0661401761424827e-09
1952,4.2179215675730575e-09
1953,0.0
1954,4.886268278880834e-09
1955,4.6928039232341234e-09
1956,8.72114158667614e-10
1957,2.6505113659425206e-09
1958,4.9633461784992505e-09
1959,3.8753737996444215e-09
1960,2.7683333403416555e-09
1961,1.1117054998788234e-08
1962,0.0
1963,4.526237051827309e-09
1964,4.867174663303331e-09
1965,4.924839203113152e-09
1966,5.539074976468328e-09
1967,2.9582012395223956e-09
1968,4.491415683816058e-09
1969,2.0892086283197386e-08
1970,1.241655755990223e-08
1971,8.221435976452085e-09
1972,8.721249833421041e-09
1973,5.513203671370093e-09
1974,1.0688586016271984e-08
1975,7.996072248772634e-09
1976,2.856763492431469e-09
1977,6.464460078348111e-09
1978,7.128709622605811e-09
1979,5.266775904289034e-09
1980,4.548120546843393e-09
1981,3.1627747087981106e-09
1982,2.483000915987077e-09
1983,2.5261264191556165e-09
1984,2.8995041922996734e-09
1985,2.4062232206745193e-09
1986,2.997242676272549e-09
1987,3.6664902225425067e-09
1988,1.1993107618124554e-09
1989,2.7440609784434855e-09
1990,3.814055737905164e-09
1991,2.344586080837985e-09
1992,6.61193322315512e-09
1993,3.323524566667402e-09
1994,2.1099706426497278e-09
1995,2.7112254663563817e-09
1996,3.736664311304594e-09
1997,2.876936688878118e-09
1998,3.099283985008583e-08
1999,2.285100553223174e-09
2000,1.7672125984802278e-09
2001,5.695575205910686e-09
2002,5.257465574004527e-09
2003,8.750537905388711e-09
2004,8.809582230373536e-09
2005,9.908249332113428e-09
2006,7.823990955113658e-09
2007,7.589510908623254e-09
2008,5.5346713878634546e-09
2009,3.814554005998616e-09
2010,1.747803501928047e-08
2011,1.070712138395713e-08
2012,1.123403392533362e-08
2013,8.925200134513034e-09
2014,7.145969149746634e-09
2015,6.206410940734486e-09
2016,1.3049442693091606e-08
2017,2.0124890198758294e-08
2018,5.6792268665617485e-09
2019,1.2499840273960672e-08
