year,premier_ADJ honneur_NOUN,premier_ADJ bonheur_NOUN
1800,3.144164484325529e-09,7.860410988769218e-08
1801,1.6668277424969347e-08,9.762848662830947e-08
1802,1.3874608839614666e-07,6.265952379180817e-08
1803,7.996391104825307e-08,8.971560561121805e-08
1804,4.2021465418429216e-08,7.415552971679062e-08
1805,9.381496113292087e-08,5.685755510853596e-08
1806,2.881669125542885e-08,3.458002950651462e-08
1807,1.9928686256776018e-08,3.701041606518629e-08
1808,7.931259204951857e-08,1.0197332755979005e-07
1809,6.551188391767937e-08,6.777091243748146e-08
1810,6.084329839950442e-08,7.956430891908894e-08
1811,2.2563691359778204e-08,9.526891631139733e-08
1812,5.867858021701977e-08,1.1468995353425271e-07
1813,8.627225156487839e-09,4.888760685162197e-08
1814,5.97868634599763e-08,5.034683425719777e-08
1815,7.821948599939788e-08,6.47333635583891e-08
1816,1.969963250303408e-07,3.244645441213834e-08
1817,3.7364962679475866e-08,8.56280379935015e-08
1818,3.099506074022429e-08,5.364529798157491e-08
1819,3.001804671498576e-08,5.072014630513877e-08
1820,2.7292905713238724e-08,1.5426425648001896e-07
1821,3.8459806006585495e-08,6.01550809165019e-08
1822,8.72228582693424e-08,6.115625694746996e-08
1823,3.5577674140085946e-08,5.731958552246397e-08
1824,5.221090049190025e-08,7.157945702829238e-08
1825,3.522177394188475e-08,8.012953145453139e-08
1826,8.367585024871005e-08,5.19671061738336e-08
1827,5.530363722527909e-08,4.977327350275118e-08
1828,2.109629271274116e-08,6.328887991458032e-08
1829,2.914879893012312e-08,5.229637523029851e-08
1830,3.026682549034376e-08,8.975678866818271e-08
1831,2.494592976631793e-08,7.951515357262906e-08
1832,1.352996914505411e-08,6.629684889958298e-08
1833,4.170106393530659e-08,8.571885246055899e-08
1834,3.9205030333278046e-08,5.2273371409228275e-08
1835,6.504255622985511e-08,6.277362984974388e-08
1836,5.511014933290426e-08,6.58633538819231e-08
1837,6.95789097449051e-08,7.653680000885288e-08
1838,4.3553917805638775e-08,8.142689011947368e-08
1839,3.355908262392404e-08,5.5931799636255164e-08
1840,4.649872664685972e-08,4.0766007458614695e-08
1841,5.906904476660202e-08,7.57624718517036e-08
1842,4.561620414733625e-08,8.45241387992246e-08
1843,5.0208743829216473e-08,4.134837894298471e-08
1844,5.982531803283564e-08,6.696044607679141e-08
1845,4.3525776760589e-08,7.589110140315825e-08
1846,6.14722637237719e-08,4.0981507964943376e-08
1847,6.525800699819229e-08,3.721324404182269e-08
1848,2.815827571112095e-08,4.666228647920434e-08
1849,2.9327951622803994e-08,2.1786478399121734e-08
1850,6.313766220955586e-08,2.851378333446064e-08
1851,5.611011744122152e-08,4.2566295377355345e-08
1852,1.8229528109259263e-08,4.817803755940986e-08
1853,4.18035241978032e-08,6.808001984381917e-08
1854,4.8319680701069956e-08,4.72805474771576e-08
1855,4.8823821430232783e-08,6.156047049898916e-08
1856,4.555926480520611e-08,6.367942972929086e-08
1857,6.053070933376148e-08,5.2232145719699474e-08
1858,8.710743060191817e-08,6.900083349137276e-08
1859,4.83756465996521e-08,7.841946825237756e-08
1860,4.7602711106264906e-08,6.774232019779447e-08
1861,4.527325359049428e-08,5.989274143303192e-08
1862,5.2860439581081664e-08,2.6204320491274302e-08
1863,3.346395871517416e-08,6.04349139621263e-08
1864,4.9865171547480713e-08,4.2193605054308136e-08
1865,4.047886292823932e-08,6.213034708935083e-08
1866,5.838735361862746e-08,6.617233339056838e-08
1867,6.599823620945244e-08,6.502767746496829e-08
1868,4.3964877960434023e-08,5.5820578381826635e-08
1869,3.125452252561445e-08,7.66712489053134e-08
1870,5.045962936378601e-08,5.103303379883073e-08
1871,2.6552942955504477e-08,5.2043770182308435e-08
1872,2.7817760539505798e-08,3.809823923006661e-08
1873,3.052862140862089e-08,6.225444337815134e-08
1874,2.6885741633009275e-08,4.182226476245887e-08
1875,6.694186538425129e-08,7.552415581812966e-08
1876,3.506688628363008e-08,2.6602464231473277e-08
1877,3.587193120324628e-08,3.710889728836264e-08
1878,2.5968081018845623e-08,4.589707458535486e-08
1879,2.1993571408529533e-08,6.903537297375806e-08
1880,3.0805662021293756e-08,3.3372799634889816e-08
1881,1.6036766581351003e-08,1.5339516323820135e-08
1882,2.5956001792337702e-08,4.725323421439498e-08
1883,2.274962085380139e-08,5.0554710639971745e-08
1884,5.2813575734944607e-08,5.479408571318345e-08
1885,2.4493415295978593e-08,3.0939052209078e-08
1886,1.2906927970846027e-08,2.8395241713496944e-08
1887,2.0239665943222462e-08,4.374379614091595e-08
1888,3.9945874164004636e-08,4.5018364147608736e-08
1889,4.385595886446936e-08,4.2602930960811136e-08
1890,3.0150179242127706e-08,3.604912635069013e-08
1891,2.2309770031370135e-08,3.633305567518619e-08
1892,3.823792482648969e-08,4.011847920537548e-08
1893,2.9560400349737392e-08,9.23762488724833e-09
1894,1.5753848003896564e-08,2.6466464575491955e-08
1895,3.49079627426363e-08,2.5880042997528108e-08
1896,1.8280790214930676e-08,3.656158042986135e-08
1897,1.1070755867592652e-08,3.029891004757701e-08
1898,2.7160103499568322e-08,3.451596342074481e-08
1899,3.8693048765026106e-09,1.5477219506010442e-08
1900,1.1939421895590385e-08,2.7512582434496835e-08
1901,1.397184767881754e-08,2.9620316865930363e-08
1902,1.5221880644844532e-08,2.897067474805226e-08
1903,1.674068350610014e-08,3.2401320737562855e-08
1904,2.3110889202371254e-08,2.6335662539622717e-08
1905,1.1353670004154992e-08,2.0126959654476195e-08
1906,2.623534101076075e-08,3.446603713541663e-08
1907,2.262851062084792e-08,2.262851062084792e-08
1908,1.7189861978295085e-08,3.094175227147389e-08
1909,9.901770070541716e-09,2.1453836041018803e-08
1910,2.0842188419578633e-08,3.4202564336283103e-08
1911,1.276889793899727e-08,3.351835786702395e-08
1912,2.344239469209697e-08,3.64659484830554e-08
1913,1.113627856597077e-08,2.0151361468379037e-08
