year,dernier_ADJ an_NOUN,dernier_ADJ banc_NOUN
1800,3.144164484325529e-09,5.345079756580162e-08
1801,2.1430643926123594e-08,0.0
1802,8.951360541686881e-09,2.9091921760482364e-08
1803,5.851017448321727e-09,1.3652374342143503e-08
1804,1.2359254952798437e-08,7.4155526164076946e-09
1805,5.685755422035754e-09,3.695740957709859e-08
1806,5.76333825108577e-09,1.4408345627714425e-08
1807,1.1387820464392462e-08,0.0
1808,1.3596443970698147e-08,4.5321478125970316e-08
1809,0.0,3.388545621874073e-08
1810,1.1700633795186377e-08,7.722418615685456e-08
1811,5.0141535368197765e-09,7.52123057168319e-08
1812,0.0,7.468182872116813e-08
1813,2.8757416448144113e-09,3.4508900625951355e-08
1814,3.1466771410748606e-09,6.922689976818219e-08
1815,1.0788894222457657e-08,5.1247248222807684e-08
1816,4.6352077731626196e-09,0.0
1817,0.0,2.490997452753163e-08
1818,1.1921177378582115e-09,4.6492591110336434e-08
1819,4.140420117870747e-09,3.8298885840504227e-08
1820,2.254631326081835e-08,5.933240565525466e-09
1821,5.916893086599373e-09,3.4515210245444905e-08
1822,8.02049271442229e-09,5.1130641054442094e-08
1823,9.882686891060644e-10,3.162459805139406e-08
1824,1.3473780313688621e-08,2.6947560627377243e-08
1825,9.685987789609385e-09,4.6668848341369085e-08
1826,7.927186018719112e-09,2.1139161532346407e-08
1827,2.3964910056406552e-08,4.885154680778214e-08
1828,1.8344602503717056e-09,3.5771975603893225e-08
1829,7.715858285628485e-09,9.516225674133238e-08
1830,4.174734336004349e-09,2.0873670791843324e-08
1831,4.677361609140007e-09,1.5591206548037917e-08
1832,6.764984572527055e-09,1.8941957335982806e-08
1833,8.108539617524002e-09,4.054269808762001e-08
1834,6.534171426153534e-09,4.760610750054184e-08
1835,1.8907719834260206e-08,9.605121675804185e-08
1836,3.36037508930076e-09,4.973355061110851e-08
1837,2.2265250976261086e-08,4.5226290268374214e-08
1838,1.7674054220151447e-08,3.408567295082321e-08
1839,1.6779539646627484e-08,4.754203075663099e-08
1840,8.91756390952736e-09,2.93005673057678e-08
1841,8.988767952189392e-09,3.2102743574569104e-08
1842,6.037438549100216e-09,2.0795621225033756e-08
1843,2.953455480181333e-09,2.0674189471492355e-08
1844,1.0977122322231025e-08,3.951764071530306e-08
1845,5.022205318283568e-09,4.185170965342877e-08
1846,9.367202347121406e-09,4.507965911670908e-08
1847,3.775256551818984e-09,4.961765753819236e-08
1848,2.413566457803995e-09,5.792559676365272e-08
1849,1.508294644736452e-08,4.357295679824347e-08
1850,8.146795238417326e-09,3.055048125588655e-08
1851,1.6123596680017727e-08,3.676180071465751e-08
1852,7.812654523320361e-09,3.841221740685796e-08
1853,4.777545470346922e-09,2.6873692604567623e-08
1854,9.352196350675968e-09,2.909572138776184e-08
1855,4.2455496895854594e-09,5.306937111981824e-08
1856,9.3189408967298e-09,4.6076984006049315e-08
1857,1.4156376515472857e-08,4.393358210563747e-08
