year,mêmes_ADJ ans_NOUN,mêmes_ADJ champs_NOUN
1800,0.0,6.288328791015374e-08
1801,1.4287095950749062e-08,5.9529565277216534e-08
1802,0.0,1.0517848636482086e-07
1803,0.0,5.265916058760922e-08
1804,2.4718509461507665e-09,2.9662210465630778e-08
1805,0.0,7.391481915419718e-08
1806,0.0,1.729001475325731e-08
1807,5.693910232196231e-09,7.402083213037258e-08
1808,0.0,1.903502178102201e-07
1809,4.518061036407062e-09,9.713831361501946e-08
1810,2.3401267590372754e-09,1.0764583180389309e-07
1811,2.5070767684098882e-09,8.022645658911642e-08
1812,0.0,6.934741492159446e-08
1813,2.8757416448144113e-09,6.326631307729258e-08
1814,0.0,1.9509398363481978e-07
1815,0.0,4.8550024445148665e-08
1816,2.3176038865813098e-09,1.5991466284503986e-07
1817,0.0,1.4790297275801834e-07
1818,5.960588467246453e-09,7.271918156526169e-08
1819,1.035105001712111e-09,5.7965878541565985e-08
1820,1.0679833017945839e-08,5.577246042776096e-08
1821,4.930744257336528e-09,7.100271881554931e-08
1822,1.0025615893027862e-09,5.9151133768864383e-08
1823,1.9765373782121287e-09,1.0475648082319822e-07
1824,8.421112696055388e-10,5.3895121254754486e-08
1825,1.7610886082763955e-09,4.754939197937347e-08
1826,2.642395191543301e-09,8.015265962058038e-08
1827,1.8434546111834038e-09,5.991227425283796e-08
1828,1.8344602503717056e-09,5.595103758082587e-08
1829,8.57317605795771e-10,6.515613648616636e-08
1830,2.0873671680021744e-09,5.740259823028282e-08
1831,1.5591206103948707e-09,1.9489007740958186e-07
1832,1.3529969367098715e-09,7.712082350508354e-08
1833,1.1583628500844156e-09,6.370995464521911e-08
1834,9.334530925997342e-10,4.947301235347368e-08
1835,1.5126175867408165e-09,8.395027606411531e-08
1836,1.3441500135158435e-09,5.712637474175608e-08
1837,2.7831562610103333e-09,1.0088941593267009e-07
1838,3.1560809521380406e-09,5.680945847075236e-08
1839,6.9914751765765e-10,4.124970254260063e-08
1840,1.2739377330817092e-09,5.86011346115356e-08
1841,1.2841097074556274e-09,3.852328944731198e-08
1842,2.0124795163667386e-09,7.915752631149076e-08
1843,3.544146642830981e-09,5.965980254263314e-08
1844,1.6465683816413446e-09,1.0922236981514288e-07
1845,1.674068439427856e-09,8.314539456932835e-08
1846,5.854501328173001e-10,5.1519613464279246e-08
1847,2.1572894581822766e-09,5.3932236454556914e-08
1848,0.0,5.390298696283935e-08
1849,0.0,8.965974274133259e-08
1850,6.788996032014438e-10,5.0917471128286707e-08
1851,1.9348316282474798e-09,8.384270699934859e-08
1852,4.557381805270211e-09,4.492276417522589e-08
1853,3.5831591027601917e-09,7.644073085621983e-08
1854,6.754363734984281e-09,8.157193320812439e-08
1855,2.653468555990912e-09,7.217434827566649e-08
1856,2.5885946164372342e-09,5.436048711171537e-08
1857,1.9526036343364694e-09,4.5886184185661705e-08
1858,2.446837954472869e-09,5.970284888690003e-08
1859,1.5276520048956854e-09,5.9578429301154756e-08
1860,3.661747072225552e-09,7.781212296720241e-08
1861,2.3579819208308095e-09,6.460870088931259e-08
1862,1.8071945051545413e-09,4.653525920161883e-08
1863,3.4962345241140724e-09,5.593975194173595e-08
1864,2.8768367688059016e-09,4.794727814783073e-08
1865,3.765475597994339e-09,5.036323358353911e-08
1866,9.731225825149181e-10,4.525020003143254e-08
1867,9.7056229719783e-10,4.901339423213358e-08
1868,2.9639244392143382e-09,4.5446843066621057e-08
1869,4.8835191446272574e-09,4.004485876230035e-08
1870,4.587239033071455e-09,4.9886225372830495e-08
