year,dix_DET arts_NOUN,dix_DET chars_NOUN
1800,0.0,1.5720821977538435e-08
1801,7.143547975374531e-09,0.0
1802,4.475680270843441e-09,0.0
1803,3.900678446910888e-09,1.950339223455444e-09
1804,9.887403784603066e-09,1.4831105232815389e-08
1805,0.0,2.2743021688143017e-08
1806,2.881669125542885e-09,2.881669125542885e-08
1807,2.8469551160981155e-09,5.693910232196231e-09
1808,0.0,3.852325747288887e-08
1809,4.518061036407062e-09,0.0
1810,0.0,0.0
1811,2.5070767684098882e-09,0.0
1812,0.0,5.3344164641089264e-09
1813,2.8757416448144113e-09,2.8757416448144113e-09
1814,0.0,2.2026739543434815e-08
1815,8.091670444798638e-09,2.697223555614414e-09
1816,2.3176038865813098e-09,0.0
1817,6.227493631882908e-09,3.113746815941454e-09
1818,3.5763532135746345e-09,1.3113295338484932e-08
1819,0.0,6.107119787657211e-08
1820,3.5599443393152796e-09,3.5599443393152796e-09
1821,0.0,1.3806083276612924e-08
1822,1.0025615893027862e-09,0.0
1823,1.9765373782121287e-09,1.087095569118901e-08
1824,8.421112696055388e-10,3.3684450784221553e-09
1825,8.805443041381977e-10,1.7610886082763955e-09
1826,0.0,3.5231937367541377e-09
1827,3.6869092223668076e-09,1.1060727445055818e-08
1828,8.255071293206129e-09,9.172301251858528e-10
1829,8.57317605795771e-10,0.0
1830,0.0,1.0436835840010872e-09
1831,0.0,0.0
1832,9.470978667991403e-09,1.3529969367098715e-09
1833,0.0,2.3167257001688313e-09
1834,4.667265685043276e-09,3.733812370398937e-09
1835,2.2689263801112247e-09,0.0
1836,3.36037508930076e-09,5.376600054063374e-09
1837,4.87052354003481e-09,2.0873671680021744e-09
1838,1.8936485712828244e-09,6.312161904276081e-09
1839,4.894032734625853e-09,2.7965900706306e-09
1840,7.0066574764382494e-09,5.095750932326837e-09
1841,1.2841097074556274e-09,2.5682194149112547e-09
1842,3.3541325272778977e-09,1.0733224087289273e-08
1843,2.953455480181333e-09,9.451057714215949e-09
1844,4.390849017710252e-09,5.488561272137815e-10
1845,2.2320911785556063e-09,1.1160455892778032e-09
1846,8.196302303531411e-09,2.9272506640865004e-09
1847,1.0786447290911383e-09,5.3932236454556914e-09
1848,1.6090443422100975e-09,3.218088684420195e-09
1849,8.379414939696517e-10,1.256912263158938e-08
1850,4.073397619208663e-09,4.073397619208663e-09
1851,0.0,1.6768540778144825e-08
1852,1.1718981340891332e-08,1.2370036550635177e-08
1853,0.0,7.763511611358354e-09
1854,2.0782657816909023e-09,3.63696517347023e-09
1855,6.368324534378189e-09,4.2455496895854594e-09
1856,2.0708756931497874e-09,1.0354378465748937e-09
1857,2.9289055625270066e-09,7.322263684272912e-09
1858,0.0,1.0276719919488642e-08
1859,2.036869339860914e-09,5.092173349652285e-10
1860,1.8308735638683515e-09,9.154367819341758e-10
1861,1.8863854922557266e-09,7.073945706981277e-09
1862,5.421583626485926e-09,4.517986262886353e-10
1863,9.989241656072068e-10,1.2486552236623538e-08
1864,1.9178911792039344e-09,7.1920918109924514e-09
1865,1.4120533631256649e-09,5.1775286835642476e-09
1866,4.865612912574591e-10,9.731225825149181e-10
1867,9.7056229719783e-10,1.6984840200962026e-08
1868,2.9639244392143382e-09,5.433861693937558e-09
1869,2.441759683335931e-09,1.12320943657096e-08
1870,2.8670243956696595e-09,1.3188312220080434e-08
1871,0.0,1.1683295220166201e-08
1872,2.4189357183956872e-09,1.0280476914203973e-08
1873,4.190203295451056e-09,1.1373408881354408e-08
1874,0.0,7.169530746864439e-09
1875,5.721527140956084e-10,6.293679799540541e-09
1876,1.813804439976252e-09,1.813804439976252e-09
1877,0.0,0.0
1878,6.039088673581716e-10,2.4156354694326865e-09
1879,1.221865053580018e-09,3.665595160740054e-09
1880,0.0,3.2089231272180996e-09
1881,0.0,1.3945014920579979e-08
1882,1.9966155395678697e-09,1.3310770263785798e-09
1883,6.319338941018771e-10,6.951272890631799e-09
1884,0.0,7.2618666635548834e-09
1885,1.2891271383708158e-09,7.7347630522695e-09
1886,3.2267319927115068e-09,5.808117542471791e-09
1887,1.3057849246322917e-09,3.9173548849191775e-09
1888,6.340614699951175e-10,9.510921827882157e-09
1889,0.0,5.012109394186837e-09
1890,1.3108772956016423e-09,1.2453334363726754e-08
1891,6.374220040683554e-10,4.461953917456185e-09
1892,6.268512375839919e-10,4.387958441043338e-09
1893,0.0,6.7742580989182954e-09
1894,2.520615716150587e-09,1.071261657159539e-08
1895,1.2037228991346183e-09,6.018614495673091e-10
1896,0.0,5.89702897624278e-10
1897,1.1653427112179315e-09,2.913356778044829e-09
1898,5.6583548957434e-10,2.26334195829736e-09
1899,0.0,1.2713430308508578e-08
1900,1.038210628578895e-09,4.671947717582725e-09
1901,1.1177477832191585e-09,2.235495566438317e-09
1902,3.437198747846537e-09,3.928227076954727e-09
1903,1.0800440541913758e-09,1.0260418292773466e-08
1904,1.0749250378694342e-09,4.299700151477737e-09
1905,5.160759042333041e-10,2.0643036169332163e-09
1906,2.0576738091193647e-09,3.600929110447737e-09
1907,1.5428529565042481e-09,3.0857059130084963e-09
1908,0.0,1.522530612696471e-08
1909,5.500983557560346e-10,1.1001967115120692e-09
1910,3.206490406526541e-09,6.412980813053082e-09
1911,0.0,3.19222459577162e-09
1912,1.0418842455450772e-09,9.376957876838787e-09
1913,1.590896969716482e-09,1.590896969716482e-09
1914,2.678697486047099e-09,2.678697486047099e-09
1915,1.1780761921542648e-09,2.3561523843085297e-09
1916,0.0,1.0987462051303964e-09
1917,0.0,7.676496771580332e-09
1918,0.0,0.0
1919,0.0,1.3811772614502615e-08
1920,2.2716695191604686e-09,3.028892692213958e-09
1921,7.572747429129834e-10,2.2718242842501013e-09
1922,1.4755870969551665e-09,2.2133805899215986e-09
1923,1.0615948120573648e-09,2.1231896241147297e-09
1924,2.578324886925998e-09,3.867487219366694e-09
1925,2.1996355847875293e-09,6.598906754362588e-09
1926,0.0,1.1146138456652466e-09
1927,1.1149224876660924e-09,7.804457524684949e-09
1928,0.0,7.998228745975666e-09
1929,0.0,3.342121912552898e-09
