year,véritables_ADJ armes_NOUN,véritables_ADJ charmes_NOUN
1800,2.829747991484055e-08,3.144164484325529e-09
1801,1.1905912700171939e-08,0.0
1802,3.5805442166747525e-08,5.370816325012129e-08
1803,2.9255089017965474e-08,7.801356893821776e-09
1804,0.0,2.4718509905596875e-08
1805,1.7057265822018053e-08,3.695740957709859e-08
1806,2.881669125542885e-09,8.645007376628655e-09
1807,3.131650672116848e-08,8.540865792383556e-09
1808,4.5321479902327155e-09,0.0
1809,6.7770917766551975e-09,1.3554183553310395e-08
1810,2.8081521108447305e-08,1.4040760554223652e-08
1811,1.504245972228091e-08,0.0
1812,2.6672083208723052e-08,0.0
1813,2.300593315851529e-08,2.8757416448144113e-09
1814,2.5173417128598885e-08,0.0
1815,1.6183340889597275e-08,1.6183340889597275e-08
1816,1.8540831092650478e-08,1.622322720606917e-08
1817,9.341240669868967e-09,7.784366928831332e-09
1818,1.7881765401739358e-08,0.0
1819,4.968504185853817e-08,0.0
1820,1.542642635854463e-08,1.0679833017945839e-08
1821,2.1695274909916407e-08,6.903041693817613e-09
1822,6.015369535816717e-09,5.012807946513931e-09
1823,1.4824030003524058e-08,5.929612356680991e-09
1824,8.421112696055388e-09,1.9368560089105813e-08
1825,2.1133063299316746e-08,1.1447076175841175e-08
1826,1.4973572604048968e-08,8.807984341885344e-10
1827,1.1060727445055818e-08,1.1982455028203276e-08
1828,1.0089530988466322e-08,3.668920500743411e-09
1829,7.715858174606183e-09,7.715858174606183e-09
1830,1.5655253093882493e-08,1.7742621594152297e-08
1831,1.870944643656003e-08,3.1182412207897414e-09
1832,1.488296597074168e-08,1.3529969367098715e-09
1833,1.3900354645102198e-08,2.3167257001688313e-09
1834,4.947301235347368e-08,8.401078055442213e-09
1835,2.7983425354705105e-08,1.5126175867408165e-09
1836,3.293167694096155e-08,1.4113575197427508e-08
1837,9.045257876039159e-09,6.262101948095733e-09
1838,1.64116205070286e-08,1.8936485712828244e-09
1839,2.1673573158409454e-08,3.4957374772659477e-09
1840,1.0828470564661075e-08,1.2739377330817092e-09
1841,2.953452238330101e-08,7.704658244733764e-09
1842,1.8783142152756227e-08,6.708265054555795e-10
1843,1.5357969118667825e-08,1.0041748765843295e-08
1844,3.1833653935109396e-08,1.2623690537338916e-08
1845,2.622707206967334e-08,4.464182357111213e-09
1846,3.3956109035671034e-08,5.269050973311096e-09
1847,2.3730184040005042e-08,2.6966118227278457e-09
1848,1.930853166243196e-08,8.045221711050488e-10
1849,2.1786478399121734e-08,1.6758829879393033e-09
1850,3.59816780814981e-08,4.073397619208663e-09
1851,3.289213879043018e-08,3.2247193804124663e-09
1852,1.9531636752390114e-08,7.161600201754936e-09
1853,2.5679307569248522e-08,4.777545470346922e-09
1854,6.234797567117312e-09,3.63696517347023e-09
1855,2.3350523292720027e-08,2.653468555990912e-09
1856,3.158085348786699e-08,0.0
1857,1.6597130780837688e-08,9.763018171682347e-10
1858,4.893676130990343e-09,1.1744822003834088e-08
1859,1.884104072757964e-08,9.675129142294736e-09
1860,2.6089947979812678e-08,1.327383358784573e-08
1861,1.5091083938045813e-08,2.8295783494058924e-09
1862,3.3884898442693157e-08,4.9697850279528666e-09
1863,2.946826249683454e-08,3.995696662428827e-09
1864,1.3904711160250827e-08,9.589455896019672e-10
1865,2.6829013677343028e-08,4.706844358715045e-10
1866,2.1895258939252926e-08,2.432806400776144e-09
1867,2.0867089389753346e-08,2.426405742994575e-09
1868,1.8277534152844055e-08,7.409810987013543e-09
1869,1.70923168951731e-08,1.4650557433881772e-09
1870,3.039045992636602e-08,5.160643912205387e-09
1871,3.3987767267262825e-08,1.0621177271019633e-09
1872,1.69325495846806e-08,3.0236697590169115e-09
1873,1.496501056408306e-08,4.788803575905831e-09
1874,3.764003864148435e-08,4.779687312606029e-09
1875,2.345826111138649e-08,5.721527140956084e-10
1876,3.869449471949338e-08,7.859819461941697e-09
1877,1.6699003069220453e-08,1.2369631985365004e-09
1878,1.69094480639842e-08,3.6234530931267273e-09
1879,1.1607718342077078e-08,0.0
1880,1.3477476912271413e-08,0.0
1881,2.4403776777148778e-08,1.3945015142624584e-09
1882,2.2628309892525067e-08,0.0
1883,1.8958017378167824e-08,0.0
1884,2.6406787867472303e-08,3.300848483434038e-09
1885,3.158361394639542e-08,6.445635691854079e-10
1886,2.452316216761119e-08,3.2267319927115068e-09
1887,2.285123557044244e-08,6.528924623161458e-10
1888,1.8387781963724592e-08,0.0
1889,1.7542383545787743e-08,0.0
1890,2.0318598359381213e-08,1.3108772956016423e-09
1891,2.2947192590550003e-08,6.374220040683554e-10
1892,2.005923960268774e-08,5.641661360300532e-09
1893,2.46336657738766e-08,6.158416554491453e-10
1894,1.9534772022211655e-08,0.0
1895,9.027921521465032e-09,4.213029924926559e-09
1896,1.1794058174530164e-08,7.66613794667137e-09
1897,1.3401440845939305e-08,1.7480140668268973e-09
1898,1.4145887128336199e-08,1.6975064687230201e-09
1899,1.4371703827009696e-08,5.527578395003729e-10
1900,1.245852754294674e-08,2.07642125715779e-09
1901,2.0678333711998675e-08,1.1177477832191585e-09
1902,1.1293653123800595e-08,2.455141867585553e-09
1903,1.0260418292773466e-08,1.0800440541913758e-09
1904,2.6335662539622717e-08,5.912087708281888e-09
1905,2.2191263937543226e-08,0.0
1906,2.3148830408104004e-08,0.0
1907,2.0571373937627868e-08,1.5428529565042481e-09
1908,1.3751889405000384e-08,0.0
1909,1.4302557360679202e-08,1.1001967115120692e-09
1910,2.404867771588215e-08,2.137660271017694e-09
1911,9.044636151145369e-09,0.0
1912,1.0418842677495377e-08,5.209421227725386e-10
1913,9.545381374209683e-09,2.121195885607108e-09
1914,7.366418142140674e-09,0.0
1915,1.1780762143587253e-08,2.3561523843085297e-09
1916,8.789969641043172e-09,0.0
1917,1.315970976634162e-08,0.0
1918,1.722956355365568e-08,3.44591288836682e-09
1919,6.4454939163738345e-09,9.207848372660976e-10
1920,1.1358347151713133e-08,0.0
1921,7.572747762196741e-09,7.572747429129834e-10
1922,1.4018077365562931e-08,0.0
1923,2.1231896241147297e-09,0.0
1924,7.734974438733389e-09,1.289162443462999e-09
1925,4.399271169575059e-09,6.598906754362588e-09
1926,1.4489979882625903e-08,1.1146138456652466e-09
1927,1.2264147031260109e-08,2.2298449753321847e-09
1928,1.4853853258500749e-08,2.2852082448565625e-09
1929,5.570202965543558e-09,2.2280812750352652e-09
1930,6.302162347537887e-09,1.0503603542488804e-09
1931,1.596749932275543e-08,1.1405356659111021e-09
1932,6.575722188983946e-09,0.0
1933,4.588264879146209e-09,0.0
1934,8.38710612072191e-09,0.0
1935,1.555876849579363e-08,0.0
1936,8.487299751891442e-09,0.0
1937,1.2591118370153254e-08,0.0
1938,1.0372171566075394e-08,2.5930428915188486e-09
1939,4.588215141154706e-09,0.0
1940,2.5357829169792012e-09,0.0
1941,2.066051862925633e-08,8.854508237732261e-09
1942,1.8205270180260413e-08,3.034211770724937e-09
1943,1.7419411690866582e-08,0.0
1944,6.4263723231761105e-09,3.2131861615880553e-09
1945,8.714016175304096e-09,0.0
1946,1.2528993842408909e-08,0.0
1947,2.3841741914054637e-09,1.1920870957027319e-09
1948,1.4133454406817236e-08,5.435944139264848e-09
1949,4.908504269707237e-09,2.945102384188658e-09
1950,4.2541445921528975e-09,1.0635361480382244e-09
1951,8.529121409139861e-09,0.0
1952,1.4762725264461096e-08,0.0
1953,6.464296653518886e-09,3.232148326759443e-09
1954,7.818028890937967e-09,0.0
1955,9.385607846468247e-09,0.0
1956,6.104799332717903e-09,3.488456634670456e-09
1957,5.301022731885041e-09,2.6505113659425206e-09
1958,4.1361216673863055e-09,8.272243445794913e-10
1959,1.2401196514133517e-08,1.5501495642666896e-09
1960,4.844583401109048e-09,4.152500121534786e-09
1961,6.25334317660986e-09,0.0
1962,8.8787386332001e-09,1.9025869768540815e-09
1963,3.2330267352165265e-09,0.0
1964,8.517555549758526e-09,1.8251904432275978e-09
1965,4.924839203113152e-09,1.6416130677043839e-09
1966,6.092982118843793e-09,1.6617224263271169e-09
1967,1.1339771788243524e-08,2.9582012395223956e-09
1968,8.982831367632116e-09,2.245707841908029e-09
1969,8.175163657142548e-09,0.0
1970,9.197449912790034e-09,1.8394900047624674e-09
1971,7.707596338946132e-09,0.0
1972,7.182205497002769e-09,3.5911027485013847e-09
1973,6.615844760915479e-09,5.513203782392395e-10
1974,1.3501372464475025e-08,5.625571675160757e-10
1975,7.4249242310031605e-09,5.711480177694739e-10
1976,2.0568696967870892e-08,5.713526873840635e-10
1977,1.1165885105413054e-08,5.876781838942691e-10
1978,1.6039596317796168e-08,4.752473081737207e-09
1979,1.2289143924704149e-08,0.0
1980,6.253665585376211e-09,5.685150683554241e-10
1981,6.325549417596221e-09,0.0
1982,8.069752865935698e-09,6.207502289967692e-10
1983,9.47297440490047e-09,1.2630632095778083e-09
1984,6.378909400694965e-09,1.739702604197646e-09
1985,1.2632671797518924e-08,1.8046674155058895e-09
1986,1.0790073723399018e-08,0.0
1987,7.332980445085013e-09,0.0
1988,1.0793796967334401e-08,1.1993107618124554e-09
1989,1.0427432250992297e-08,0.0
1990,1.4166492867673242e-08,5.44865097484859e-10
1991,4.68917216167597e-09,5.861465202094962e-10
1992,1.1019888113139586e-08,0.0
1993,1.717154241021035e-08,5.539207426075166e-10
1994,1.6879765141197822e-08,3.164955852952289e-09
1995,1.3556126887692699e-08,5.422450821690461e-10
1996,1.0676184380997711e-08,0.0
1997,8.630809844589749e-09,0.0
1998,2.1456582288692516e-08,1.9072516899143466e-09
1999,1.5081663917726473e-08,1.3710603763428253e-09
2000,1.3695897749244068e-08,0.0
2001,1.2267393323384113e-08,4.3812117822561447e-10
2002,2.102986229601811e-08,2.6287327870022636e-09
2003,2.1667998950647416e-08,4.1669229178253886e-10
2004,2.114299846311951e-08,0.0
2005,2.0717248361279417e-08,3.602999676388663e-09
2006,1.8118715416903797e-08,3.706100981659688e-09
2007,1.8774054311165855e-08,1.5977917877663117e-09
2008,1.6604014163590364e-08,4.257439678578834e-10
2009,1.192048149079028e-08,4.76819250749827e-10
2010,1.9839930587295385e-08,1.8895172093635892e-09
2011,1.8355065023456518e-08,1.1471915639660324e-09
2012,2.1787217363566924e-08,1.0212758416727752e-09
2013,2.119734965333464e-08,1.3945624655065103e-09
2014,1.8189739492413537e-08,8.661780737106994e-10
2015,2.017083566840938e-08,1.5516027351836215e-09
2016,2.050626690675017e-08,1.6570720351438695e-09
2017,1.635147306444651e-08,0.0
2018,1.9102854409425163e-08,1.0325866828253538e-09
2019,1.9387506711154856e-08,7.65296326310505e-10
