year,beaux_ADJ arts_NOUN,beaux_ADJ chars_NOUN
1800,5.099834709199058e-06,0.0
1801,4.302796945410137e-06,0.0
1802,4.54952885320381e-06,1.1189200677108602e-08
1803,4.201030520789573e-06,1.950339223455444e-09
1804,4.140350267078929e-06,2.4718509461507665e-09
1805,4.736234316737864e-06,0.0
1806,5.0832645115406194e-06,4.034336598124355e-08
1807,5.264020089157384e-06,0.0
1808,4.103860220538991e-06,0.0
1809,3.187492072953546e-06,6.7770917766551975e-09
1810,3.559332796498893e-06,0.0
1811,3.30182001562207e-06,0.0
1812,3.3606824079157605e-06,0.0
1813,3.215079146912103e-06,5.751483289628823e-09
1814,3.329184380618244e-06,1.2586708564299443e-08
1815,2.1065316637702836e-06,0.0
1816,2.5006945030270344e-06,0.0
1817,2.5657273035051276e-06,3.113746815941454e-09
1818,1.994412883732366e-06,1.1921177378582115e-09
1819,1.933576095680678e-06,4.140420006848444e-09
1820,1.9805157851493504e-06,0.0
1821,2.258280872524665e-06,1.676452932031225e-08
1822,1.7153828650862124e-06,6.015369535816717e-09
1823,1.6296550739980376e-06,9.882686891060644e-10
1824,1.6421169526381618e-06,8.421112696055388e-10
1825,1.8068769396251128e-06,8.805443041381977e-10
1826,1.4665294081339653e-06,0.0
1827,1.6839958103531671e-06,9.217273055917019e-10
1828,1.7262270404216906e-06,2.7516904310687096e-09
1829,1.4428654768749993e-06,3.429270423183084e-09
1830,1.336958693975987e-06,1.0436835840010872e-09
1831,1.44998212814329e-06,1.5591206103948707e-09
1832,2.57204720099935e-06,4.058990921151917e-09
1833,9.683913355651441e-07,1.50587169400751e-08
1834,1.1229440932680745e-06,9.334530925997342e-10
1835,7.404263016042023e-07,5.294161553592858e-09
1836,9.12677855957611e-07,2.688300027031687e-09
1837,8.286848101057842e-07,0.0
1838,8.704471188281104e-07,3.787297142565649e-09
1839,8.480659143828007e-07,1.3982950353153e-09
1840,8.669146005502171e-07,0.0
1841,9.707869184083506e-07,3.2102742686390684e-09
1842,6.272228065817842e-07,0.0
1843,8.316930941720813e-07,5.906911071384968e-10
1844,4.6158801358942014e-07,5.488561161115513e-09
