year,les_DET ans_NOUN,les_DET champs_NOUN
1800,1.693132617219817e-05,2.1688446338430367e-05
1801,1.832796260714531e-05,1.828271962267536e-05
1802,1.82630137715023e-05,1.882471121916751e-05
1803,1.89514466910623e-05,1.9218642876239755e-05
1804,1.9670989786391146e-05,2.0120865883654915e-05
1805,1.4603862837248016e-05,2.2563919685580913e-05
1806,1.6134465113282204e-05,1.639957895349653e-05
1807,1.3924457562097814e-05,1.3560047023020161e-05
1808,2.0578218027367257e-05,1.9551685738861124e-05
1809,2.5804905817494728e-05,2.115582026362972e-05
1810,1.5220184650388546e-05,1.7557970465986728e-05
1811,1.898358459584415e-05,1.612050334642845e-05
1812,1.2181139936728869e-05,1.4210885524335026e-05
1813,1.2598624380188994e-05,1.2405949320282161e-05
1814,1.43394081533188e-05,1.2898229613256262e-05
1815,1.360209807899082e-05,1.4190093281740701e-05
1816,1.250347304448951e-05,1.3717897672904655e-05
1817,1.3660007425642107e-05,1.477939889582558e-05
1818,1.4607018783863168e-05,1.2367029512461158e-05
1819,1.5006952708063181e-05,1.3147904041943548e-05
1820,1.4165018910716753e-05,1.2962944254013564e-05
1821,1.4544709301844705e-05,1.1776589587952913e-05
1822,1.308543414779706e-05,1.2427753631527594e-05
1823,1.2178435099485796e-05,1.2974979796354091e-05
1824,1.1067026207456365e-05,2.0230038387580862e-05
1825,1.3106901860737707e-05,1.8499354922596467e-05
1826,1.3817965736961924e-05,1.5471224173779774e-05
1827,1.2623977454495616e-05,1.4652699405814928e-05
1828,1.181117204396287e-05,1.2688961760431994e-05
1829,1.2647149560507387e-05,1.2258784352070506e-05
1830,1.240835445059929e-05,1.2542989566100005e-05
1831,1.045702174451435e-05,1.3910473882106089e-05
1832,1.1064808859373443e-05,1.2982005671346997e-05
1833,1.223231174662942e-05,1.3828535941229347e-05
1834,1.3057141586614307e-05,1.4665481387510226e-05
1835,1.317868100159103e-05,1.6318875736942573e-05
1836,1.1751231795642525e-05,1.3786947079097445e-05
1837,1.2489414075389504e-05,1.4332559317153937e-05
1838,1.424023685103748e-05,1.4287578693483738e-05
1839,1.132199486164609e-05,1.2839843719802957e-05
1840,1.148263800132554e-05,1.3639414248700632e-05
1841,1.129374504671432e-05,1.325458038081706e-05
1842,1.1474487109808251e-05,1.3923675027172067e-05
1843,1.1633661415544339e-05,1.2320634880325088e-05
1844,1.2247724043845665e-05,1.338605216005817e-05
1845,1.1073404493799899e-05,1.2469577711726743e-05
1846,1.2638697626243811e-05,1.2221857105032541e-05
1847,1.2484773833421059e-05,1.2023652828929698e-05
1848,1.2595599400810897e-05,1.3050958727944817e-05
1849,1.1974183507845737e-05,1.30735633661061e-05
1850,1.2649257769226097e-05,1.2070155946730665e-05
1851,1.1113673281215597e-05,1.262606602381311e-05
1852,1.1776274732255843e-05,1.258228050460275e-05
1853,1.1919975804630667e-05,1.2994326738180462e-05
1854,1.1197176718269475e-05,1.1707909976621522e-05
1855,1.1140853530378081e-05,1.262042752614434e-05
1856,1.0548523277975619e-05,1.2165359521532082e-05
1857,1.0285827556799632e-05,1.4126110727374908e-05
1858,9.45213560044067e-06,1.2687833390145897e-05
1859,9.868123015621677e-06,1.4095136037894918e-05
1860,1.0040510460385121e-05,1.397643100631285e-05
1861,9.688475984148681e-06,1.3675823225867134e-05
1862,1.0097247468365822e-05,1.2923699415523515e-05
1863,1.0330873919883743e-05,1.3057936996574426e-05
1864,9.519452760287095e-06,1.2948642591936732e-05
1865,9.946033060259651e-06,1.2470313066614835e-05
1866,9.192115612677298e-06,1.220149727032549e-05
1867,9.765797585714608e-06,1.2922551889005263e-05
1868,1.0073391422338318e-05,1.219704333266236e-05
1869,9.157086424238514e-06,1.147578151972084e-05
1870,9.029407010530122e-06,1.2534057248103636e-05
1871,8.709364919923246e-06,1.591264759781552e-05
1872,9.156276064459234e-06,1.3300518304504294e-05
1873,8.97002792044077e-06,1.2441311525890342e-05
1874,1.0045110684586689e-05,1.1440181197031052e-05
1875,9.419922207598574e-06,1.1829257402951043e-05
1876,9.910022527037654e-06,1.1535192044220821e-05
1877,9.389169463247526e-06,1.262753900732605e-05
1878,9.713874533190392e-06,1.19912145919443e-05
1879,1.0815949281095527e-05,1.1846592258279998e-05
1880,9.620993296266533e-06,1.1516183633375476e-05
1881,9.83193331194343e-06,1.1613408162247651e-05
1882,1.0076918442791793e-05,1.1871210688241263e-05
1883,1.0116629709955305e-05,1.1969459762894985e-05
1884,9.628574844100513e-06,1.1655295764967377e-05
1885,9.615599083190318e-06,1.1341095557781955e-05
1886,9.386562851432245e-06,1.186727490676276e-05
1887,9.400998351338785e-06,1.2550551616641314e-05
1888,9.421519280294888e-06,1.2778874861396616e-05
1889,9.19220838113688e-06,1.3166184430701833e-05
1890,9.003761078929529e-06,1.1441336994266749e-05
1891,8.952591997513082e-06,1.24335534792408e-05
1892,8.901287401386071e-06,1.158546439228303e-05
1893,8.342806722794194e-06,1.1665888791867474e-05
1894,8.549928679713048e-06,1.1839962041904073e-05
1895,8.554859050491359e-06,1.1993894815987005e-05
1896,8.641506610729266e-06,1.1569381456411065e-05
1897,8.419600817433093e-06,1.2142871241849207e-05
1898,8.237999281845987e-06,1.1541346623289428e-05
1899,9.059148396772798e-06,1.2304389372275182e-05
1900,8.995575626613572e-06,1.2170943477940455e-05
1901,8.17911950434791e-06,1.0896364017298765e-05
1902,7.427295258821687e-06,1.0007649336785107e-05
1903,8.568529665353708e-06,1.1412285630285623e-05
1904,8.498895113007165e-06,1.1178145427948039e-05
1905,8.56840779306367e-06,1.1892968984739127e-05
1906,8.298084139823914e-06,1.1548179884357523e-05
1907,8.477462870359886e-06,1.1056598964387376e-05
1908,8.340030035469681e-06,1.2036340933718748e-05
1909,8.003380571608432e-06,1.1848018573346053e-05
1910,7.751690645818599e-06,1.267365371404594e-05
1911,7.850743713788688e-06,1.2121940699216793e-05
1912,7.621904387633549e-06,1.194624496747565e-05
1913,7.231156814668793e-06,1.255535801192309e-05
1914,6.806570127082523e-06,1.3976103787172178e-05
1915,6.017613031872315e-06,2.0672880168604024e-05
1916,5.304746537149185e-06,1.9168726055340812e-05
1917,5.152026005816879e-06,1.9866774692900435e-05
1918,5.2573145694623236e-06,1.741104870234267e-05
1919,5.5311543292191345e-06,1.7096211990974552e-05
1920,5.472451903187903e-06,1.3353631118206977e-05
1921,5.203234650252853e-06,1.2083832814369089e-05
1922,5.073068223282462e-06,1.3219047389156913e-05
1923,5.827093900734326e-06,1.3078848382974684e-05
1924,5.576916919380892e-06,1.301796254438159e-05
1925,5.7465481404506136e-06,1.2632507605303545e-05
1926,5.318937382980948e-06,1.2432402684225963e-05
1927,5.533360308618285e-06,1.2492706673583598e-05
1928,5.39766188012436e-06,1.1431754387558613e-05
