year,des_DET arts_NOUN,des_DET chars_NOUN
1800,4.483578486258466e-06,5.722379174954995e-07
1801,3.931332472006943e-06,6.619687304976196e-07
1802,4.428685599577875e-06,7.049196710795513e-07
1803,3.526213344429152e-06,7.625826601298513e-07
1804,3.3913795363105237e-06,1.085142592671673e-06
1805,3.223823284770333e-06,7.021908137172517e-07
1806,3.5992048168509427e-06,9.68240819076982e-07
1807,4.011359820310645e-06,3.701041642045766e-07
1808,3.7050310908171014e-06,7.863276714203948e-07
1809,3.1671608553551778e-06,6.980404148038133e-07
1810,3.896311042694833e-06,7.418201981579386e-07
1811,3.387060658610608e-06,6.543470618680658e-07
1812,3.6300704806535578e-06,6.908069369870873e-07
1813,3.255339500185528e-06,6.757992754291564e-07
1814,3.2410774721824964e-06,5.034683425719777e-07
1815,3.331071116718931e-06,4.2346409578897237e-07
1816,3.1287652859646187e-06,5.376840839232955e-07
1817,3.2118297426109166e-06,4.4215204297870514e-07
1818,2.9159198788875074e-06,4.4585204150848767e-07
1819,2.927277048314636e-06,6.904150495756767e-07
1820,2.876435104326447e-06,6.704562061088382e-07
1821,2.9022359342434356e-06,7.76099156496457e-07
1822,3.4929246055526164e-06,4.3811941452531755e-07
1823,2.9173692723816202e-06,3.2909348401943816e-07
1824,2.833704328963904e-06,5.709514425689122e-07
1825,3.2941162402266855e-06,6.498417164380044e-07
1826,2.9453898733322603e-06,6.280093067800863e-07
1827,3.0260306473905985e-06,5.677840018147862e-07
1828,2.8287376423463684e-06,5.815238779405263e-07
1829,3.052907935341409e-06,6.035515767166544e-07
1830,2.933794661430511e-06,6.376906664939952e-07
1831,2.5101842915375983e-06,5.893476107132756e-07
1832,2.9278854398739895e-06,4.89784895307821e-07
1833,3.0430191131358697e-06,7.564109267832464e-07
1834,2.6426057289086202e-06,8.335736296771756e-07
1835,2.160017992025587e-06,6.821905245146809e-07
1836,2.150639986098213e-06,6.203252560510464e-07
1837,2.4992744016572033e-06,5.301912615607307e-07
1838,2.1499224018839413e-06,5.668321660934339e-07
1839,2.275725186962063e-06,5.082802241318518e-07
1840,2.2172886460225527e-06,5.433344565375364e-07
1841,2.300482588424302e-06,6.382025325990526e-07
1842,2.4116211712055247e-06,5.748982943032388e-07
1843,2.311964927059762e-06,5.924632011655717e-07
1844,1.9797239900753993e-06,5.120827557547614e-07
1845,1.9748427249055567e-06,7.254296345848843e-07
1846,2.3014045282820916e-06,4.783127600660464e-07
1847,2.3638499619949016e-06,5.501088384818331e-07
1848,1.978319961182251e-06,5.631655461968421e-07
1849,2.097367545417228e-06,3.4690777184209765e-07
1850,2.3530659802872833e-06,5.064590933301361e-07
1851,1.8658225933165795e-06,6.726764780751182e-07
1852,2.4668457729859483e-06,5.22145720438516e-07
1853,2.176172033685475e-06,5.297103262691394e-07
1854,2.1624355373006665e-06,3.907139651815328e-07
1855,1.946053803436598e-06,4.632956205341543e-07
1856,2.319380863369247e-06,4.695710700275413e-07
1857,2.2210867385297206e-06,5.096295323525624e-07
1858,2.2501123346785334e-06,5.735388182159795e-07
1859,2.1977820203744614e-06,4.88339418680539e-07
1860,2.1380026424822063e-06,5.369036601976518e-07
1861,2.0915298755141976e-06,5.418642534671392e-07
1862,1.912915438495588e-06,4.906532926618468e-07
1863,2.378937921321267e-06,5.144459662709266e-07
1864,2.125023428334316e-06,5.652984302884079e-07
1865,1.7387083470765674e-06,5.977692119074618e-07
1866,2.080049533503825e-06,6.047957104016177e-07
1867,2.040121913182702e-06,5.930135404952352e-07
1868,1.9966971045448645e-06,5.409162202596463e-07
1869,1.9040840726347597e-06,4.541672833369148e-07
1870,2.326877021729956e-06,6.404932584302969e-07
1871,1.7227549875542536e-06,4.2697131874547267e-07
1872,1.712606495729574e-06,5.472842024012436e-07
1873,1.6521372550037938e-06,4.6211954796149257e-07
1874,1.4345035985741106e-06,5.156087796720499e-07
