year,plusieurs_DET ans_NOUN,plusieurs_DET chants_NOUN
1800,9.432493897065797e-09,7.231578535993322e-08
1801,7.143547753329926e-09,1.904946067554647e-08
1802,2.2378401354217203e-08,1.1189200677108602e-07
1803,1.5602713787643552e-08,8.971560561121805e-08
1804,2.4718509461507665e-09,6.426812149129546e-08
1805,5.685755422035754e-09,2.55858996212055e-08
1806,2.881669125542885e-09,1.7578182109900808e-07
1807,8.540865792383556e-09,7.402083213037258e-08
1808,0.0,6.118399653587403e-08
1809,4.518061036407062e-09,4.518061147429364e-08
1810,1.4040760554223652e-08,2.106114038724627e-07
1811,5.0141535368197765e-09,1.5293167621166504e-07
1812,1.8670458068470452e-08,3.7607637182190956e-07
1813,5.751483289628823e-09,1.35159851311073e-07
1814,3.1466771410748606e-09,5.664018942752591e-08
1815,2.697223555614414e-09,5.394447111228828e-09
1816,2.3176038865813098e-09,6.721051626357166e-08
1817,9.341240669868967e-09,8.095742032310227e-08
1818,1.7881766067873173e-08,5.483741549738852e-08
1819,3.1053151161586356e-09,8.9019032145643e-08
1820,2.610625848831205e-08,1.4595771347103437e-07
1821,4.2404398215012407e-08,4.832129163467869e-08
1822,4.411270992932259e-08,8.822541985864518e-08
1823,9.882687224127551e-09,1.2551011785433275e-07
1824,8.252690264498597e-08,1.330535832622104e-07
1825,6.163809906922779e-09,1.2415674977006574e-07
1826,4.4039921931471326e-08,8.015266006466959e-08
1827,3.133872894522938e-08,4.977327527910802e-08
1828,8.346794067026764e-08,4.769596506637441e-08
1829,1.2859763920403111e-08,6.515613582003255e-08
1830,1.6698937344017395e-08,1.335914916467118e-07
1831,3.274153215215847e-08,9.97837226179854e-08
1832,1.2176972319366541e-08,1.2988771080912898e-07
1833,4.6334514003376626e-09,9.035230519316428e-08
1834,3.547121618652227e-08,7.934351131666517e-08
1835,2.647080776796429e-08,7.109302657681837e-08
1836,2.352262562510532e-08,6.250297435173024e-08
1837,4.0355768504696243e-08,1.2037151542187985e-07
1838,2.3354999711955315e-08,1.1425013379806614e-07
1839,1.677954131196202e-08,7.760537279466462e-08
1840,1.6561189752906103e-08,8.089504621722199e-08
1841,1.6051371787284552e-08,7.640452448498536e-08
1842,5.366612043644636e-08,8.385331051741218e-08
1843,5.906910960362666e-09,7.088293241253041e-08
