year,autres_ADJ ans_NOUN,autres_ADJ champs_NOUN
1800,2.5153315874604232e-08,2.641098149069876e-07
1801,9.524730337773235e-09,2.09544069207368e-07
1802,4.475680270843441e-09,4.2518962573012686e-08
1803,1.950339223455444e-09,7.411289004721766e-08
1804,2.4718509461507665e-09,2.9662210465630778e-08
1805,5.685755422035754e-09,8.24434565060983e-08
1806,8.645007376628655e-09,1.0374009207225754e-07
1807,2.8469551160981155e-09,2.562259560079383e-08
1808,4.5321479902327155e-09,1.0197332755979005e-07
1809,6.7770917766551975e-09,1.4909601020463015e-07
1810,0.0,3.042164919975221e-08
1811,2.5070767684098882e-09,8.524060746140094e-08
1812,0.0,2.400487453257938e-08
1813,5.751483289628823e-09,2.300593315851529e-08
1814,6.293354282149721e-09,8.181360300341112e-08
1815,5.394447111228828e-09,1.6183340889597275e-08
1816,0.0,1.2515060632267705e-07
1817,4.670620334934483e-09,4.981994905506326e-08
1818,4.768470951432846e-09,5.2453181353939726e-08
1819,1.3456364911235141e-08,3.001804671498576e-08
1820,1.4239777357261119e-08,7.001224133773576e-08
1821,1.3806083387635226e-08,3.550135829755163e-08
1822,2.105379337535851e-08,1.604098542884458e-08
1823,4.941343334508019e-09,2.9648060007048116e-08
1824,3.3684450784221553e-09,8.252690264498597e-08
1825,1.6730341556581152e-08,2.4655239627691117e-08
1826,4.403992281964975e-09,3.699353356978463e-08
1827,5.530363722527909e-09,7.650336897313537e-08
1828,2.2930752408001354e-08,4.219258542548232e-08
1829,6.001223074036943e-09,5.744027831156018e-08
1830,7.305785310052215e-09,5.218418053232199e-08
1831,2.182768810143898e-08,1.0757932500382594e-07
1832,6.764984683549358e-09,6.22378593106987e-08
1833,4.6334514003376626e-09,7.41352224054026e-08
1834,9.334531148041947e-09,7.28093425550469e-08
1835,1.9664028627630614e-08,5.8235777089521434e-08
1836,3.36037508930076e-09,5.040562456315456e-08
1837,3.4789454650407947e-09,5.218418053232199e-08
1838,3.1560809521380406e-09,6.56464820281144e-08
1839,2.09744255297295e-09,4.894032556990169e-08
1840,8.280595042986505e-09,7.261444778805526e-08
1841,5.1364388298225094e-09,8.346712832008052e-08
1842,1.0062397137744483e-08,5.366612043644636e-08
1843,1.1813822142769936e-09,6.73387887673016e-08
1844,1.6465684371524958e-09,5.1043620885593555e-08
1845,3.348136878855712e-09,5.8034370198356555e-08
1846,2.9272506640865004e-09,6.498496674112175e-08
1847,8.089835468183537e-09,6.795461615638487e-08
1848,4.022610855525244e-09,7.160247150750365e-08
1849,8.379414495607307e-09,6.619738002200393e-08
1850,2.0366988096043315e-09,9.844044512874461e-08
1851,1.096404611544699e-08,9.158203084780325e-08
1852,1.2370036550635177e-08,9.896029240508142e-08
1853,2.9859659189668264e-09,6.808001984381917e-08
1854,9.352195906586758e-09,3.3771819119010615e-08
1855,1.3798036491152743e-08,7.270503488143731e-08
1856,3.624032518523279e-09,6.109083017236117e-08
1857,7.322263795295214e-09,5.418474913199134e-08
1858,1.468102750479261e-09,8.857553268626361e-08
1859,8.147477359443656e-09,8.809460183556439e-08
1860,8.238931398230065e-09,7.781212474355925e-08
1861,7.545542080045209e-09,8.771692705522582e-08
1862,1.445755604123633e-08,7.364317866631609e-08
1863,6.493007298491449e-09,8.191177869321109e-08
