year,ces_DET arts_NOUN,ces_DET chars_NOUN
1800,1.8613453391935764e-06,1.5720822865716855e-07
1801,1.0715321216991924e-06,2.35737077858289e-07
1802,1.8036990923064877e-06,2.193083332713286e-07
1803,1.5290658978983629e-06,1.677291781021495e-07
1804,1.7846763444850922e-06,3.0156581232176904e-07
1805,1.239494731741786e-06,2.0468718986421663e-07
1806,1.455242912840049e-06,3.832619981380958e-07
1807,1.79642871245278e-06,8.540865792383556e-08
1808,1.4253605664649172e-06,1.5409303344426917e-07
1809,1.19954516009102e-06,2.100898441881327e-07
1810,1.2683486758646723e-06,1.6614899678302208e-07
1811,1.1432269886313406e-06,1.353821472704908e-07
1812,1.2509206577249188e-06,1.1202274841082271e-07
1813,9.489947192520276e-07,1.4091133948568313e-07
1814,1.0352568011740004e-06,2.517341743946133e-07
1815,1.057311649788062e-06,1.0519172000122978e-07
1816,8.204317882842815e-07,1.0660977523002657e-07
1817,1.3217855674430012e-06,1.3544798171949424e-07
1818,1.2493393768409078e-06,1.5735954406181918e-07
1819,1.2711089310002421e-06,1.4698491490605647e-07
1820,1.121382496194201e-06,1.0561168028999646e-07
1821,1.0315116751868914e-06,2.4555105504475705e-07
1822,1.150940676097889e-06,1.5038423839541792e-07
1823,1.1701101758632149e-06,1.4033415984826547e-07
1824,8.867431589010266e-07,1.9789614924548005e-07
1825,1.0689807763419878e-06,2.0252519661312363e-07
1826,1.0366997047484006e-06,1.4885493726524146e-07
1827,9.49379131753858e-07,1.456329146165558e-07
1828,8.016591381831972e-07,8.6219628769868e-08
1829,9.224737400614913e-07,2.186159919759234e-07
1830,9.560141460696059e-07,1.440283372566853e-07
1831,5.924658061928767e-07,1.1849316816636701e-07
1832,9.227439328185483e-07,1.8265458123778444e-07
1833,7.274518623034965e-07,3.000159765065291e-07
1834,8.130376194515065e-07,2.3336327359402276e-07
1835,5.952150203825113e-07,1.421860602590641e-07
1836,6.828282295145982e-07,1.727232792347877e-07
1837,7.076175028153386e-07,2.393514435539146e-07
1838,6.514151209557895e-07,2.1840080677293372e-07
1839,5.900805231107142e-07,1.1186359927251033e-07
1840,6.095791853510946e-07,8.662776807000228e-08
1841,5.951848325302933e-07,1.5280905785175491e-07
1842,4.467704446398102e-07,1.569733978357135e-07
1843,6.73978572729439e-07,1.2581720909565774e-07
1844,5.565400993390313e-07,1.361163146640365e-07
1845,7.07014885081847e-07,1.1272060618239266e-07
1846,6.000863805866175e-07,1.7446413735910937e-07
1847,6.293891754438619e-07,1.5532484098912391e-07
1848,5.165032396781122e-07,1.2952806827115637e-07
1849,3.242833592764782e-07,9.552532809209424e-08
1850,4.344957575952435e-07,1.1473403027650875e-07
1851,3.9470566459698375e-07,2.025123819748842e-07
1852,7.089983879993156e-07,2.474007203545625e-07
1853,4.5147804250689205e-07,1.570618088919673e-07
1854,5.107338427734476e-07,8.365020054412753e-08
1855,4.0491930874964055e-07,1.4700215800189653e-07
1856,5.146126251798222e-07,1.4962077088398473e-07
1857,4.246912914673828e-07,1.166680672071152e-07
1858,4.0862194339297275e-07,1.2429937079616593e-07
1859,4.6593385127913223e-07,1.1813841815921933e-07
1860,3.290995254923157e-07,1.3502692475242384e-07
1861,4.381130196406957e-07,1.046943935989475e-07
1862,3.876432206617597e-07,9.08115271869292e-08
1863,6.258259830360657e-07,1.5033808153930295e-07
1864,4.5166336803958984e-07,1.1123768750564977e-07
1865,4.664482635696743e-07,1.1861247806166375e-07
1866,4.7147790382950916e-07,9.244664767038557e-08
1867,4.590759523637189e-07,8.540947860069537e-08
1868,3.1318800441937356e-07,1.5610001824484243e-07
1869,5.025141289749513e-07,1.1036753555515588e-07
1870,3.348684387560752e-07,1.2270864147012617e-07
1871,2.432249637251971e-07,1.0514965609331739e-07
1872,3.815871147949679e-07,1.4332194808730492e-07
1873,2.615884079903985e-07,7.00362554617584e-08
1874,2.8080661990115274e-07,1.2905155699627358e-07
1875,5.280969359588994e-07,1.315951276836813e-07
1876,4.0387378996697976e-07,1.1064206972832835e-07
1877,4.434513168893872e-07,1.7874118896088476e-07
1878,4.5172382234781594e-07,1.0508014369747798e-07
1879,3.384566169550851e-07,7.453377026678254e-08
1880,3.587576093977418e-07,7.829772563638926e-08
1881,3.555978729252729e-07,7.878933239169328e-08
1882,3.354314088710453e-07,1.364353892086001e-07
1883,3.1975855208088433e-07,1.194355094824573e-07
1884,2.581263576217907e-07,1.1618986306416446e-07
1885,2.855416685321188e-07,1.2117795034072287e-07
1886,3.2977200170591914e-07,1.1229026775083639e-07
1887,2.4026443079527837e-07,7.965288251199354e-08
1888,2.2382369735396423e-07,1.033520176108027e-07
1889,3.7152261755935e-07,1.171580592540522e-07
1890,3.0019089347632644e-07,5.374597122909108e-08
1891,2.2437254487694958e-07,7.26661077976587e-08
1892,2.551284508101048e-07,8.838602383320904e-08
1893,3.3871291238440904e-07,4.249307439252448e-08
1894,2.63404354328145e-07,6.2385237864504e-08
1895,2.4616133353916325e-07,6.50010374414478e-08
1896,2.2054888937361738e-07,5.5432073153838246e-08
1897,2.0276963352827693e-07,4.661370756053884e-08
1898,2.059641142082569e-07,7.016360292766421e-08
1899,2.2552519851615216e-07,4.5878898902174114e-08
1900,2.465750269520228e-07,1.0330195543417631e-07
1901,2.2690280454540357e-07,5.58873880507349e-08
1902,1.6989581635984408e-07,4.4192553172450744e-08
1903,2.1600880706351688e-07,8.046328048294527e-08
1904,2.2788410092289269e-07,4.622177751656409e-08
1905,1.630799868479471e-07,6.192910984026412e-08
1906,1.9805110484938382e-07,9.465299299904473e-08
1907,2.20627978109178e-07,3.857132480078462e-08
1908,2.19539086909748e-07,4.813161247341213e-08
1909,2.409430854832806e-07,4.345776982717098e-08
1910,2.6132895758479435e-07,5.1303845616246235e-08
1911,2.4792943786877686e-07,5.213966680628346e-08
1912,2.0993967764226795e-07,4.844761836153566e-08
1913,2.6249797757671445e-07,8.643873172786698e-08
1914,2.2367123442279535e-07,5.826167193134779e-08
1915,8.246533300670933e-08,5.5369582252495775e-08
1916,1.7030566645814815e-07,7.581349148466643e-08
1917,1.250172338984612e-07,1.0747095657848149e-07
1918,1.1716103553993662e-07,1.3668787168796825e-07
1919,1.813946073903061e-07,1.6758283472029234e-07
1920,2.4079696370193915e-07,1.1509792319230883e-07
1921,2.0749328522029487e-07,7.345564689842377e-08
1922,2.4642305085365024e-07,9.591316363355418e-08
1923,2.5265956660192046e-07,7.643482824448711e-08
1924,2.642782939155097e-07,5.9301472177253345e-08
1925,2.3426119355463015e-07,1.099817765748412e-07
1926,2.953726636611975e-07,8.136681195480833e-08
1927,2.1406511518939908e-07,7.024011328127244e-08
1928,2.365190527875427e-07,3.5420727240165206e-08
1929,2.0498347463870914e-07,6.127223617369282e-08
