year,vieux_ADJ ans_NOUN,vieux_ADJ chants_NOUN
1800,3.0498395631184394e-07,9.432493897065797e-09
1801,6.714934670526418e-07,1.4287095950749062e-08
1802,3.938598638342228e-07,2.2378401354217203e-09
1803,5.363432933336298e-07,1.755305234496518e-08
1804,8.577322887504124e-07,9.887403784603066e-09
1805,4.09374393939288e-07,2.842877711017877e-09
1806,3.630903222529014e-07,0.0
1807,3.644102548605588e-07,2.8469551160981155e-09
1808,2.923235342677799e-07,6.798221985349073e-09
1809,3.7048101830805535e-07,9.036122072814123e-09
1810,5.148278887645574e-07,2.3401267590372754e-09
1811,3.3845535085674783e-07,5.0141535368197765e-09
1812,3.5207148130211863e-07,5.3344164641089264e-09
1813,4.054795681440737e-07,1.7254450312975678e-08
1814,3.020809913323319e-07,2.2026739543434815e-08
1815,2.778140242298832e-07,2.697223555614414e-09
1816,1.969963250303408e-07,2.3176038865813098e-09
1817,2.849078271083272e-07,0.0
1818,3.945909838876105e-07,2.384235475716423e-09
1819,4.1611221490711614e-07,5.175524897538253e-09
1820,4.4143308741695364e-07,2.3732962262101864e-09
1821,2.7612168196355924e-07,0.0
1822,4.280938128431444e-07,0.0
1823,3.7158903865019965e-07,9.882686891060644e-10
1824,4.875824402006401e-07,9.263223965660927e-09
1825,4.1913909853974474e-07,1.7610886970942374e-08
1826,3.1532584898741334e-07,4.668231667892542e-08
1827,2.87578927782306e-07,3.6869092223668076e-09
1828,2.2105245989223476e-07,1.6510142586412258e-08
1829,1.8175133220665884e-07,6.858540846366168e-09
1830,1.982998867333663e-07,6.679574937606958e-08
1831,2.1515865000765189e-07,1.091384405071949e-08
1832,2.2730348803179368e-07,1.8941957335982806e-08
1833,3.5793411257145635e-07,1.0772774317047151e-07
1834,2.8283628239478276e-07,4.0138482759743965e-08
1835,1.958839845883631e-07,9.680752555141225e-08
1836,2.0565495617574925e-07,3.8980349614803345e-08
1837,1.6629358867703559e-07,5.218418286379034e-08
1838,1.6159134474946768e-07,4.986607748946881e-08
1839,1.4961756278353278e-07,8.809258389419483e-08
1840,1.4013315308147867e-07,8.853867106140001e-08
1841,1.4189411956522235e-07,6.934192375851467e-08
1842,1.583150606165873e-07,7.71450459069456e-08
1843,1.6007729186640063e-07,1.0632439995106324e-07
1844,1.3227432305029652e-07,4.8848197098383395e-08
1845,9.82120127446251e-08,4.0735665340907445e-08
1846,1.4109348001056787e-07,1.1709002900595067e-07
1847,1.0354989399274928e-07,5.770749211819748e-08
1848,8.769291781618449e-08,4.5053243136194965e-08
1849,1.6507446787272784e-07,3.77073661184113e-08
1850,1.4121111746590032e-07,9.23303478117532e-08
1851,1.238292242078387e-07,6.06247212431299e-08
1852,1.4127883218861825e-07,4.7526981461487594e-08
1853,1.3675723664619e-07,5.135861491645244e-08
1854,1.1638288555104737e-07,7.585670369625319e-08
1855,1.496556194524601e-07,1.1356845419641104e-07
1856,1.2684112959959748e-07,5.487820686767009e-08
1857,1.4205191689597996e-07,4.1004675210842834e-08
1858,1.7421486120383634e-07,4.061751018857862e-08
1859,1.7771685634215828e-07,4.073738679721828e-08
1860,1.4418129978821526e-07,5.492620758218436e-08
1861,1.3487655792232545e-07,6.932466539710802e-08
1862,1.5451513490916113e-07,6.867339411020801e-08
1863,1.1237897012961184e-07,6.243276234885187e-08
1864,1.2082713851668814e-07,7.527722656330837e-08
1865,1.1484700479513776e-07,1.0166784170095866e-07
1866,1.0217787149713331e-07,1.0217787027588798e-07
1867,1.2083501133020036e-07,9.123285593659602e-08
1868,1.1756900164527906e-07,7.311013727751003e-08
1869,1.0108884396231588e-07,6.641585770239544e-08
