year,ces_DET airs_NOUN,ces_DET chers_ADJ
1800,4.181738866293472e-07,1.163340872523122e-07
1801,4.238504889286787e-07,1.4287095240206327e-07
1802,3.6700578220916213e-07,1.3874608839614666e-07
1803,4.0567054426787763e-07,1.540768046481844e-07
1804,7.786330371573058e-07,1.50782900831814e-07
1805,6.02690079176682e-07,1.5635826855486812e-07
1806,7.405889590472725e-07,5.187004337159351e-08
1807,3.3024679169102455e-07,1.6512340295093964e-07
1808,3.3991110370834576e-07,5.6651850766087364e-08
1809,3.998484032763372e-07,1.6039116523813846e-07
1810,4.5632472378542843e-07,2.5741395415224133e-07
1811,4.061464267124393e-07,8.774769000297056e-08
1812,6.027890364634914e-07,1.8937179069311583e-07
1813,6.039057396378666e-07,1.4378708002027452e-07
1814,7.457624633389059e-07,1.195737269199526e-07
1815,2.643279088943018e-07,8.90083740046066e-08
1816,3.036061109185084e-07,1.0660977523002657e-07
1817,4.110145797042719e-07,1.5257359908815715e-07
1818,3.9339886015454795e-07,1.2159600970562678e-07
1819,4.5958660876976865e-07,1.242125993172749e-07
1820,5.541646501683317e-07,1.376511846729045e-07
1821,5.216727174683911e-07,2.23855787240268e-07
1822,4.4513735986129177e-07,1.383534993237845e-07
1823,3.014219576158439e-07,1.7195874590925087e-07
1824,3.7558162802042716e-07,1.6758013998696697e-07
1825,5.151184421237076e-07,1.3824545241902797e-07
1826,3.8138572833190665e-07,1.3916614527431648e-07
1827,2.7283126868837826e-07,1.3365045603563885e-07
1828,3.6689204740980585e-07,9.906085551847355e-08
1829,3.7379047057584103e-07,1.2859764098038795e-07
1830,5.89681221185856e-07,1.4298464812156908e-07
1831,2.806417143119688e-07,1.0757932145111226e-07
1832,4.4784197683611637e-07,1.4071168230600506e-07
1833,5.965568661281395e-07,1.8186296735223095e-07
1834,3.2857548859510644e-07,1.9042442822581052e-07
1835,4.363901808801529e-07,1.9210242641065634e-07
1836,3.790502951517283e-07,1.8683685354403679e-07
1837,2.845777480331435e-07,1.6907674549315743e-07
1838,3.1118958787601514e-07,1.0541310491163358e-07
1839,4.1809022022221143e-07,1.8247749622446463e-07
1840,3.40141363963653e-07,1.566943446107416e-07
1841,3.6918153512033314e-07,2.105939973517934e-07
1842,3.481589700982113e-07,2.2070191363354752e-07
1843,3.691819294715515e-07,2.2800676724443747e-07
1844,3.9956725217393796e-07,1.695965412551459e-07
1845,3.7499130378648715e-07,2.2209307459775118e-07
1846,3.4424467898475086e-07,2.2656919895780447e-07
1847,2.998632275819091e-07,1.8390893252728802e-07
1848,3.041093847855336e-07,2.0354410423806257e-07
1849,3.578010066007664e-07,2.321097927193705e-07
1850,2.966791328162799e-07,2.803855316813042e-07
1851,2.7281125092315506e-07,1.773595688092655e-07
1852,5.546984809257083e-07,2.4479651372644184e-07
1853,3.702597801691354e-07,2.1021200247162142e-07
1854,5.268403597824545e-07,2.5302885298117417e-07
1855,3.5184992697168127e-07,2.382814798806976e-07
1856,4.498977546063543e-07,2.557531519897793e-07
1857,4.266438917710502e-07,2.816630715329893e-07
1858,3.4402541970735e-07,2.6719471257763416e-07
1859,5.356966497060967e-07,2.8210639868575527e-07
1860,3.712096017238764e-07,3.171988414152338e-07
1861,4.456585642742539e-07,3.786918796322425e-07
1862,3.194216411372963e-07,3.704748756661047e-07
1863,3.041724134789092e-07,3.2664819116234867e-07
1864,3.490561972796513e-07,3.7111194473027354e-07
1865,4.2079188133925527e-07,3.765475611317015e-07
