year,véritables_ADJ chants_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,1.3554183553310395e-08
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,1.8880061958270744e-08
1815,0.0
1816,2.3176038865813098e-09
1817,4.670620334934483e-09
1818,0.0
1819,9.315945348475907e-09
1820,0.0
1821,9.86148829262845e-10
1822,8.02049271442229e-09
1823,0.0
1824,1.2631669044083083e-08
1825,1.0566531649658373e-08
1826,1.4973572604048968e-08
1827,7.373818444733615e-09
1828,5.503380862137419e-09
1829,1.2002446148073886e-08
1830,0.0
1831,1.091384405071949e-08
1832,2.1647950987357945e-08
1833,1.1583628500844156e-09
1834,2.8003592777992026e-09
1835,3.2521278114927554e-08
1836,8.064899859050456e-09
1837,6.262101948095733e-09
1838,3.787297142565649e-09
1839,6.9914751765765e-10
1840,1.2739377330817092e-09
1841,1.5409316489467528e-08
1842,9.391571076378114e-09
1843,4.7255288571079745e-09
1844,8.781698035420504e-09
1845,1.1718478631905782e-08
1846,1.6392604607062822e-08
1847,3.775256551818984e-09
1848,5.63165514222419e-09
1849,0.0
1850,1.3577992064028876e-09
1851,1.2898877521649865e-09
1852,5.208436348880241e-09
1853,8.957897534855874e-09
1854,2.0782657816909023e-09
1855,5.837630823180007e-09
1856,3.1063134287023786e-09
1857,8.298565390418844e-09
1858,2.936205500958522e-09
1859,1.5276520048956854e-09
1860,7.781213007262977e-09
1861,6.13075279431996e-09
1862,2.710791813242963e-09
1863,1.048870412745373e-08
1864,6.233146443435089e-09
1865,1.0355057256106193e-08
1866,1.0704348518686402e-08
1867,9.7056229719783e-10
1868,2.4699371437009177e-09
1869,1.12320943657096e-08
1870,4.587239033071455e-09
1871,4.248470908407853e-09
1872,9.071008832961525e-09
1873,2.9930022904522957e-09
1874,1.7923826867161097e-09
1875,2.2886108563824337e-09
1876,3.02300739996042e-09
1877,4.9478527941460015e-09
1878,1.0266450800600069e-08
1879,6.10932526790009e-10
1880,1.2835692508872398e-09
1881,0.0
1882,1.9966155395678697e-09
1883,1.8958017378167824e-09
1884,3.300848483434038e-09
1885,3.86738152613475e-09
1886,1.936039106809062e-09
1887,2.6115698492645834e-09
1888,6.340614699951175e-10
1889,7.51816386923565e-09
1890,1.3108772956016423e-09
1891,5.099376032546843e-09
1892,4.387958441043338e-09
1893,1.1085149687062312e-08
1894,6.301539290376468e-09
1895,7.22233739480771e-09
1896,8.845543852942228e-09
1897,7.574727511894253e-09
1898,0.0
1899,1.1055156790007459e-08
1900,8.30568502863116e-09
1901,2.794369402536745e-09
1902,2.9461704187383475e-09
1903,3.7801539676252105e-09
1904,5.374625189347171e-09
1905,1.5998352864698973e-08
1906,8.230695236477459e-09
1907,4.114274698707732e-09
1908,3.437972351250096e-09
1909,1.0451868703853506e-08
1910,4.275320542035388e-09
1911,7.980561100850991e-09
