year,petites_ADJ eaux_NOUN
1800,3.144164395507687e-08
1801,3.333655484993869e-08
1802,2.0140561218795483e-08
1803,7.801356893821776e-09
1804,3.707776485839531e-08
1805,3.1271653710973624e-08
1806,1.152667650217154e-08
1807,1.7081731584767113e-08
1808,2.4926814390369145e-08
1809,0.0
1810,3.510190182964834e-08
1811,9.526891631139733e-08
1812,3.040617286842462e-07
1813,1.4666282766029326e-07
1814,3.1466771410748606e-09
1815,8.091670444798638e-09
1816,1.622322720606917e-08
1817,3.892183608744659e-08
1818,1.5497530370112145e-08
1819,2.173720581311045e-08
1820,2.1359666035891678e-08
1821,1.97229765852569e-09
1822,6.215881853677274e-08
1823,2.9648060007048116e-08
1824,7.663212642228245e-08
1825,1.875559405561944e-07
1826,1.8496766784892316e-08
1827,1.4747637222534138e-08
1828,4.861319524707142e-08
1829,2.3147574523818548e-08
1830,7.51452191583013e-08
1831,6.392394169552063e-08
1832,8.523880978827947e-08
1833,3.706761175781281e-08
1834,2.7816901138066896e-07
1835,2.571449897459388e-08
1836,2.2178475944656384e-08
1837,2.365682938432201e-08
1838,1.64116205070286e-08
1839,3.775396706373613e-08
1840,1.9746034141121527e-08
1841,2.43980835534785e-08
1842,1.6770663080478698e-08
1843,2.9534556134080958e-08
1844,2.6345094994439933e-08
1845,1.8414752389617206e-08
1846,2.2832555401919308e-08
1847,1.6179670936367074e-08
1848,4.82713291560799e-09
1849,1.6758828991214614e-08
1850,1.425689166723032e-08
1851,3.611685883697646e-08
1852,2.539112742283578e-08
1853,2.030456869306363e-08
1854,1.558699302961486e-08
1855,4.776243400783642e-08
1856,3.2616291889553395e-08
1857,1.5620829074691756e-08
1858,4.600055447667728e-08
1859,6.212451353349024e-08
1860,3.066713299970658e-08
1861,7.922818873185022e-08
1862,2.3945327609631306e-08
1863,2.39741793639503e-08
1864,3.1165733105353866e-08
1865,1.3179164426446732e-08
1866,1.4596838404656864e-08
1867,1.2180556829832767e-07
1868,4.989272639477349e-08
1869,2.4417595723136287e-08
1870,4.6445794765759274e-08
1871,5.416800519242315e-08
1872,2.7213026498884574e-08
1873,7.42264560926742e-08
1874,7.169531102135807e-08
1875,5.0921592276154115e-08
1876,1.3059391990033475e-07
1877,5.690030846494665e-08
1878,5.1936162870358515e-08
1879,2.6881030734671185e-08
1880,3.8507078414795615e-08
1881,1.2550513517339823e-08
1882,5.989846441067925e-08
1883,1.3839352269728877e-07
1884,1.4853818797178064e-07
1885,4.640857836912815e-08
1886,6.001721275517014e-08
1887,8.552890939927948e-08
1888,7.545331470737437e-08
1889,8.457934685957014e-08
1890,1.1601263949501117e-07
1891,1.733787824420574e-07
1892,1.228628463412207e-07
1893,6.897426629848269e-08
1894,1.2098955215478213e-07
1895,1.1796484677972785e-07
1896,9.19936535836996e-08
1897,1.1886495876467507e-07
1898,9.223118313528289e-08
1899,6.964748777704699e-08
1900,6.333085078580325e-08
1901,1.0674491002227171e-07
1902,9.476847617762019e-08
1903,7.614310515435818e-08
1904,8.169430554261226e-08
1905,9.289366592613035e-08
1906,8.487904601395257e-08
1907,1.100568471912311e-07
1908,8.938728024432407e-08
1909,1.0726917637482458e-07
1910,2.1911017444864456e-07
1911,1.2875305843706997e-07
1912,9.429052150178308e-08
1913,7.052976513932663e-08
1914,4.8216555192936994e-08
1915,2.1205371680821372e-08
1916,1.0987461607214755e-08
1917,5.15421945124217e-08
1918,2.2972751700933713e-08
1919,5.340551956223294e-08
1920,7.647954269884849e-08
1921,6.739745078698789e-08
1922,8.484625774185517e-08
1923,5.095655097875351e-08
1924,4.2542360745301266e-08
1925,6.928851803422731e-08
1926,4.346993875969929e-08
1927,4.0137208334734e-08
1928,6.969884935870141e-08
1929,3.4535258652823586e-08
1930,4.411513643276521e-08
1931,6.615106684648708e-08
1932,4.4934100884574946e-08
1933,4.9323846118554115e-08
1934,5.511526701695857e-08
1935,1.9508303683579697e-07
1936,4.7286388582534755e-08
1937,4.406891207509034e-08
1938,3.630260181353151e-08
1939,9.329371053468094e-08
1940,7.353770659079828e-08
1941,1.1806010391524069e-08
1942,1.608132293995368e-07
1943,8.129058715056203e-08
1944,4.4984606262232774e-08
1945,4.7927088075994106e-08
1946,2.3665877257883494e-08
1947,2.0265479960812627e-08
1948,3.370285384107774e-08
1949,2.2579119018928395e-08
1950,3.296961992305114e-08
1951,4.904244754744269e-08
1952,2.9525450528922192e-08
1953,3.7708397404578875e-08
1954,3.9090146231046674e-08
1955,2.440258128899586e-08
1956,1.9186511268642903e-08
1957,3.799066305987253e-08
1958,2.0680609225109947e-08
1959,1.2401196514133517e-08
1960,1.1073333361366622e-08
1961,8.33779090214648e-09
1962,1.2049716779927166e-08
