year,aux_ADP aises_NOUN,aux_ADP chaises_NOUN
1800,4.4018303668735825e-08,1.5720821977538435e-08
1801,1.1905912700171939e-08,1.1905912700171939e-08
1802,1.5664880947952042e-08,1.1189200677108602e-08
1803,5.851017448321727e-09,1.950339267864365e-08
1804,0.0,4.943701892301533e-09
1805,2.2743021688143017e-08,5.685755422035754e-09
1806,1.4408345627714425e-08,0.0
1807,0.0,1.1387820464392462e-08
1808,4.5321479902327155e-09,3.3991110370834576e-08
1809,6.7770917766551975e-09,4.518061036407062e-09
1810,7.020380277111826e-09,3.7442028144596406e-08
1811,2.5070767684098882e-09,2.5070767684098882e-09
1812,2.400487453257938e-08,2.400487453257938e-08
1813,3.163315653864629e-08,5.751483289628823e-09
1814,6.293354282149721e-09,0.0
1815,1.3486118000116676e-08,2.6972236000233352e-08
1816,2.3176038865813098e-09,9.270415546325239e-09
1817,7.784366928831332e-09,1.2454987263765815e-08
1818,1.4305412854298538e-08,1.668964877410417e-08
1819,5.175524897538253e-09,1.9666995143552413e-08
1820,2.0173018810965004e-08,5.577246042776096e-08
1821,1.0847637454958203e-08,4.043210211079895e-08
1822,9.023054303725075e-09,3.909990198280866e-08
1823,1.3835761869529506e-08,5.237824174386674e-08
1824,1.1789557774477544e-08,3.452656116564867e-08
1825,1.0566531649658373e-08,1.8491431275080572e-08
1826,3.2589543508265706e-08,4.315912249808207e-08
1827,2.027800150017356e-08,7.742509627872707e-08
1828,6.420610709767516e-09,1.1923991571904935e-08
1829,1.3717081692732336e-08,3.0006115814273926e-08
1830,2.0873670791843324e-08,3.652892388572582e-08
1831,2.182768810143898e-08,2.962329137545794e-08
1832,1.0823975493678972e-08,4.1942906259251345e-08
1833,3.4750886612755494e-09,5.444305450907905e-08
1834,1.5868701908061666e-08,3.173740559248017e-08
1835,1.3613558280667348e-08,3.479020449503878e-08
1836,2.352262562510532e-08,1.6129800606279332e-08
1837,2.922314124020886e-08,3.6181031504156635e-08
1838,2.1461350030449466e-08,2.019891898186188e-08
1839,1.6080392128969834e-08,2.9364194853442882e-08
1840,2.229391071750797e-08,1.97460351958334e-08
1841,1.6051371787284552e-08,1.926164650001283e-08
1842,8.049918065466954e-09,3.354132438460056e-08
1843,2.0674189471492355e-08,2.7171790595303946e-08
1844,2.9638231424655714e-08,1.920996434146005e-08
1845,3.627148004170522e-08,2.0646844067773173e-08
1846,2.5759806732139623e-08,1.8734404916287417e-08
1847,9.707802561820245e-09,1.88762818709165e-08
1848,2.413566591030758e-08,2.896279838182636e-08
1849,2.5976186535103807e-08,2.6814127807028854e-08
1850,1.6293590476834652e-08,1.765138968323754e-08
1851,9.029214709244116e-09,2.5152811389261842e-08
1852,1.6276363368206148e-08,1.8880582430824688e-08
1853,1.911018188138769e-08,2.5679307125159312e-08
1854,2.1302223984775992e-08,2.7017454939937124e-08
1855,1.5920811335945473e-08,1.963566731433275e-08
1856,3.986435714864456e-08,2.7956822079566734e-08
1857,1.5620829074691756e-08,2.1966791052818735e-08
1858,1.2234189661342043e-08,1.1744822392412146e-08
1859,1.323965115318515e-08,4.0228169240208445e-08
1860,2.0597328287408345e-08,3.249800525906288e-08
1861,2.6880993431177558e-08,4.1500481273715195e-08
1862,2.846331392802881e-08,2.5752521920496818e-08
1863,5.494082966350788e-09,1.4484400789882557e-08
1864,2.445311331200628e-08,2.8768366799880596e-08
1865,3.435996376310868e-08,2.4004906507002488e-08
1866,7.298419202328432e-09,2.822055417128766e-08
1867,2.329349513274792e-08,2.4749338578544666e-08
1868,1.7289560005906424e-08,1.9265508299781686e-08
1869,1.5627261262807224e-08,2.44175962782478e-08
1870,1.77755516972411e-08,1.9495765002375265e-08
1871,4.248470908407853e-09,3.929835434846041e-08
1872,2.4794090336399677e-08,1.814201766592305e-08
1873,3.1725821969530443e-08,3.890902905423488e-08
1874,1.4936522907404992e-08,3.2860349108432274e-08
1875,1.2587359599081083e-08,2.9751940910927033e-08
1876,1.0278225159865428e-08,4.957732002708326e-08
1877,1.608052180301911e-08,7.421779457672528e-08
1878,1.268208649207736e-08,4.589707458535486e-08
1879,1.588424503040642e-08,3.604501941367744e-08
1880,1.8611753915820373e-08,3.914886281819463e-08
1881,9.761510710859511e-09,2.5101027034679646e-08
1882,1.1979693681496428e-08,4.525661778664869e-08
1883,1.8958017378167824e-08,4.170763850952497e-08
1884,1.1883054540362536e-08,3.036780515941473e-08
1885,1.2246707647989297e-08,2.127059778311846e-08
1886,1.2906927970846027e-08,5.0982364996343676e-08
1887,8.48760173255414e-09,3.656197833379338e-08
1888,1.7119660356001987e-08,4.692054855759409e-08
1889,6.265136853755848e-09,3.947036064655407e-08
1890,1.6385966361553983e-08,5.8334040098362294e-08
1891,7.0116419337296065e-09,2.995883374712349e-08
1892,1.3163876211308434e-08,3.949162774574688e-08
1893,8.621783287310336e-09,4.618812388113014e-08
1894,1.8904618315218613e-08,2.9617235552947818e-08
1895,1.2037228991346183e-08,2.5880042997528108e-08
1896,1.2383760683576384e-08,3.066455078748476e-08
1897,1.981082675683865e-08,3.962165284754349e-08
1898,1.7540900287826844e-08,3.734514075759421e-08
1899,6.633094074004475e-09,3.592925956752424e-08
1900,9.34389543516545e-09,4.5162162454204235e-08
1901,3.353243460679778e-09,4.973977585365219e-08
1902,5.892340837476695e-09,6.039648853262136e-08
1903,1.674068350610014e-08,3.456140929003482e-08
1904,9.674325340824907e-09,3.3860139581065596e-08
1905,1.0321517862621477e-08,2.528772019561032e-08
1906,1.4403716441790948e-08,2.777859720026754e-08
1907,4.114274698707732e-09,3.342848253762298e-08
1908,2.161011281032188e-08,3.388858615949175e-08
1909,1.7603147384193107e-08,3.025540884493694e-08
