year,aux_ADP airs_NOUN,aux_ADP chères_ADJ
1800,1.5720823043352539e-07,0.0
1801,1.7620750725200196e-07,0.0
1802,2.0364345232337655e-07,0.0
1803,2.262393496987869e-07,0.0
1804,1.6808586700278738e-07,1.4831105232815389e-08
1805,1.478296409729296e-07,5.685755422035754e-09
1806,2.4494187300660997e-07,2.881669125542885e-09
1807,8.54086508184082e-08,0.0
1808,7.931259204951857e-08,0.0
1809,1.3102376783535874e-07,9.036122072814123e-09
1810,1.8721014161116045e-07,2.3401267590372754e-09
1811,1.1783261077980001e-07,0.0
1812,9.601949813031752e-08,5.3344164641089264e-09
1813,1.35159851311073e-07,2.8757416448144113e-09
1814,1.384537871018665e-07,3.1466771410748606e-09
1815,4.855002422310406e-08,0.0
1816,9.270415368689555e-08,0.0
1817,1.4945985393755024e-07,0.0
1818,1.1563542035020191e-07,0.0
1819,1.8528379808202544e-07,6.210630232317271e-09
1820,1.6257079860082513e-07,1.1866481131050932e-09
1821,1.3608853222102368e-07,1.97229765852569e-09
1822,1.5639960793123464e-07,4.010246357211145e-09
1823,9.388552868472289e-08,3.95307486744656e-09
1824,1.2800091475639874e-07,9.263223965660927e-09
1825,1.1799293964109836e-07,0.0
1826,1.2595417842042878e-07,0.0
1827,6.267745611410191e-08,0.0
1828,1.0823315454988602e-07,0.0
1829,9.51622528555518e-08,0.0
1830,1.7533884189013804e-07,7.305785310052215e-09
1831,1.309661297188569e-07,3.1182412207897414e-09
1832,3.125422969318947e-07,2.705993873419743e-09
1833,1.3089500561225265e-07,4.6334514003376626e-09
1834,1.1388127951761362e-07,9.334531370086552e-09
1835,1.459675971204888e-07,4.5378527602224494e-09
1836,1.196293524241554e-07,3.36037508930076e-09
1837,1.0715152298779174e-07,2.0873671680021744e-09
1838,1.205622943700746e-07,2.5248647617104325e-09
1839,1.3703291867894762e-07,0.0
1840,1.2038711361128662e-07,1.0191501864653674e-08
1841,8.154096420298629e-08,1.4767261191650505e-08
1842,1.3483613425790963e-07,2.683306021822318e-09
1843,1.3290549683020458e-07,0.0
1844,1.3007890231619967e-07,9.330554107123135e-09
1845,8.816759988761191e-08,1.674068439427856e-09
1846,9.777017462297977e-08,5.854501328173001e-10
1847,8.46736130100112e-08,5.9325460100012606e-09
1848,1.3757328987118456e-07,2.413566457803995e-09
1849,9.133561951202296e-08,6.703531951757213e-09
1850,1.1948632749891885e-07,4.073397619208663e-09
1851,8.513259319720134e-08,1.096404567135778e-08
1852,1.367214490510804e-07,5.859490670445666e-09
1853,9.913406562311877e-08,1.7915795513800958e-09
1854,7.79349695889664e-08,1.3508727469968562e-08
1855,1.2895856826844465e-07,4.776243400783642e-09
1856,9.629572161884425e-08,4.141751386299575e-09
1857,1.0836950115056254e-07,9.763017949637742e-09
1858,1.1598011928626306e-07,1.1255455234504552e-08
1859,1.5632971717138844e-07,8.14747713739905e-09
1860,1.2587255593388136e-07,1.327383358784573e-08
1861,1.6788831125325032e-07,1.6977469652346144e-08
1862,9.307051873630456e-08,8.584173927239647e-09
1863,1.143768160183356e-07,1.0988165932701577e-08
1864,1.2466292620416652e-07,6.712618905169165e-09
1865,1.0355057483701913e-07,2.4475590942873993e-08
1866,1.2942529759030208e-07,1.4596838404656864e-08
1867,1.1889387963037734e-07,1.358787216076962e-08
1868,9.682153423451467e-08,1.2843672236861892e-08
1869,1.1573940161824225e-07,2.3929243475606654e-08
1870,1.0665330840708975e-07,1.204150246181257e-08
1871,4.99195342840153e-08,9.559059321873065e-09
1872,1.1066630678513434e-07,1.0885210954825197e-08
1873,1.4725570851581438e-07,1.915521447015678e-08
1874,1.0216581447508588e-07,8.961913877669758e-09
1875,1.0127102711976477e-07,1.2587359599081083e-08
1876,8.283040520140617e-08,1.209202959984168e-08
1877,1.0576035047726862e-07,8.658742167710898e-09
1878,1.600358487952036e-07,2.5968081684979438e-08
1879,1.4601287046112077e-07,1.649517855639715e-08
1880,8.214843538745242e-08,1.7969970400599777e-08
1881,1.1295462259974798e-07,1.2550513739384428e-08
1882,1.2844893282348835e-07,2.0631693020689568e-08
1883,1.0742876366265364e-07,1.3902545781263598e-08
1884,1.558000528589787e-07,1.2543224237049344e-08
1885,1.0055191379532147e-07,7.090199205528336e-09
1886,1.5423778870760074e-07,1.097088819790315e-08
1887,1.3514874475095695e-07,2.219834371874896e-08
1888,1.0842450848258522e-07,1.0779044989916997e-08
1889,1.2029062695928516e-07,2.192797943223468e-08
1890,8.455158556630593e-08,1.7041404731799048e-08
1891,7.394095424828606e-08,1.1473596295275001e-08
1892,8.650546878818943e-08,2.3193495124473884e-08
1893,1.1146733691624888e-07,2.278614097406262e-08
1894,1.102769380256774e-07,2.3315696040526745e-08
1895,1.3361324713301315e-07,1.0231644198555045e-08
1896,1.0614652418139414e-07,1.2383760683576384e-08
1897,7.982597916011969e-08,2.155884004650943e-08
1898,1.0637707481553349e-07,2.6028432742464247e-08
1899,1.0668226124721514e-07,2.4874102777516782e-08
1900,1.1835600921550338e-07,1.972600216504361e-08
1901,8.327221268089602e-08,1.900171220370339e-08
1902,7.660042644630494e-08,1.6203935970793282e-08
1903,1.1880484729331897e-07,1.6200661034915242e-08
1904,7.524475620357407e-08,2.579820090886642e-08
1905,8.463644651790503e-08,1.5998352864698973e-08
1906,1.116288048663705e-07,1.388929860013377e-08
1907,1.1777111208477464e-07,9.257118349648152e-09
1908,1.502885083048966e-07,2.3574666885295414e-08
1909,1.4907666123775698e-07,2.3104131385842663e-08
1910,1.1436482716398189e-07,2.5651923141190025e-08
1911,1.500345536697978e-07,4.735132819178034e-08
1912,1.2346328115420135e-07,1.7712032729377825e-08
1913,1.6386237833287964e-07,1.2727175757731857e-08
1914,1.325955188424821e-07,1.9420557162419527e-08
1915,5.890380805340101e-08,4.3588819442774707e-08
1916,1.0108465020586266e-07,3.4061130804730055e-08
1917,1.5681987053373092e-07,5.812205117194935e-08
1918,1.1486376561009592e-07,2.067547733020092e-08
1919,1.1049418369157848e-07,4.235610262526279e-08
1920,1.0979736009275598e-07,1.741613253614105e-08
1921,1.4009583387819546e-07,2.0446417892117097e-08
1922,1.7190590284599239e-07,1.4018077365562931e-08
1923,1.910870719434854e-07,2.1231896241147297e-08
1924,1.4825367922188804e-07,3.480738541838946e-08
1925,2.0236647046978362e-07,2.4195992320841242e-08
1926,1.0700293096022051e-07,1.0031524944054127e-08
1927,1.4939961312521177e-07,2.1183527820767267e-08
1928,1.5996458113676226e-07,2.2852082892654835e-08
1929,1.1697426360868235e-07,2.116677166874581e-08
1930,1.6385622059189586e-07,1.575540586884472e-08
1931,1.4370748857572835e-07,9.124285327288817e-09
1932,9.534796863164274e-08,8.767629289252454e-09
1933,8.144170404733586e-08,1.0323596200123575e-08
1934,1.3778817731235904e-07,2.036868629318178e-08
1935,9.095895769917206e-08,8.377798899061872e-09
1936,1.6125869706229423e-07,2.424942913137329e-09
1937,1.170974018860349e-07,6.295559074054324e-09
1938,1.1150084711086805e-07,1.4261735792331365e-08
1939,9.635251796424882e-08,4.588215141154706e-09
1940,1.0143131645712344e-07,3.296517903095264e-08
