year,quelques_DET armes_NOUN,quelques_DET charmes_NOUN
1800,1.0375743109136693e-07,3.2070476851941976e-07
1801,1.0239084957675004e-07,3.1193490457326334e-07
1802,1.2755688771903806e-07,2.439245747609675e-07
1803,1.6967950955404376e-07,1.6187815177204357e-07
1804,5.6852570651244605e-08,1.903325177465831e-07
1805,6.53861884636342e-08,9.381496446358994e-08
1806,1.3832012424330742e-07,1.7578182109900808e-07
1807,1.5942949005420815e-07,1.4234775358445972e-07
1808,1.2010191596800723e-07,1.7222161829977267e-07
1809,8.132509776714869e-08,2.1008984107950823e-07
1810,5.8503168531842675e-08,1.6146875259082094e-07
1811,7.019815040365529e-08,1.579458341893769e-07
1812,5.3344166417446104e-08,2.373815313205796e-07
1813,4.601186631703058e-08,2.0705339887072682e-07
1814,1.0698702368472368e-07,1.4474714760126517e-07
1815,8.631115333557204e-08,7.552225866902518e-08
1816,7.879853569647821e-08,1.7845549749040401e-07
1817,1.3233423779013265e-07,1.5257359287090821e-07
1818,6.91428301280439e-08,1.6212801234871677e-07
1819,1.728625284025398e-07,1.3249344199550706e-07
1820,1.8274381030636278e-07,2.3258303016859827e-07
1821,1.715899031751178e-07,1.6961759730094172e-07
1822,8.521773509073682e-08,1.3634837614517892e-07
1823,2.480554339712171e-07,2.490437180924232e-07
1824,1.2463246434890607e-07,1.6505381061904245e-07
1825,1.567368910215805e-07,1.558563464953977e-07
1826,1.2066938381849468e-07,1.6294771043590117e-07
1827,1.2904181961870265e-07,8.203372736659276e-08
1828,7.337841145815815e-08,1.1923991571904935e-07
1829,1.2602568988384633e-07,1.243110483994947e-07
1830,1.5655253249313716e-07,1.3672254262075967e-07
1831,1.6058942087227024e-07,8.107427218462249e-08
1832,1.7047761069477474e-07,5.953186588136816e-08
1833,1.26261550548179e-07,6.60266827878786e-08
1834,1.5308630807453483e-07,6.720862266718086e-08
1835,1.497491481927682e-07,6.579886502322552e-08
1836,1.5121687368946368e-07,1.0484369905583435e-07
1837,1.3428729928044447e-07,6.401259611266141e-08
1838,1.495982360211201e-07,7.511472688292997e-08
1839,1.426260980430527e-07,5.313521223015982e-08
1840,1.52872531966608e-07,7.771020182900656e-08
1841,1.264848115134498e-07,8.154096597934313e-08
1842,1.764273696025498e-07,5.1653640920079624e-08
1843,9.332919148619112e-08,6.025049303914898e-08
1844,1.3611632643240057e-07,7.574214433425652e-08
1845,1.0769839908775225e-07,6.640471195140663e-08
1846,1.088937242599286e-07,5.034871297660004e-08
1847,1.4022380767642062e-07,3.88312111354594e-08
1848,1.7377679473185026e-07,6.597081536607874e-08
1849,1.340706399233227e-07,4.524883978618277e-08
1850,1.6972490524125305e-07,3.530277936647508e-08
1851,1.1286517564990106e-07,3.869663189881578e-08
1852,1.3997673109500397e-07,5.533963620685256e-08
1853,1.0271723027699409e-07,6.330247548369528e-08
1854,1.1742201810882591e-07,5.14370790405394e-08
1855,8.119614136603559e-08,5.890700194299825e-08
1856,1.2321710807228214e-07,6.367942528839876e-08
1857,1.2496663259753404e-07,5.7113654694518345e-08
1858,9.738415118754062e-08,7.095830578673912e-08
1859,1.2170294527713565e-07,5.143094927717584e-08
1860,1.3456921132970479e-07,3.844834428612387e-08
1861,1.0469439581939355e-07,5.8949548353837145e-08
1862,1.0436548358860875e-07,1.0391368654438793e-07
1863,1.4334562425943886e-07,5.8437063743532747e-08
1864,1.217860878810484e-07,6.568777566329231e-08
1865,1.2661410897507608e-07,3.76547564240326e-08
1866,1.1677471190019162e-07,3.113992308456659e-08
1867,1.315111877175923e-07,3.68813655171607e-08
1868,1.3485855665518187e-07,3.951899141263482e-08
1869,9.718203219932775e-08,4.932354169540076e-08
1870,1.594065492938057e-07,4.0138339763018394e-08
1871,8.07209470377046e-08,3.186353270123732e-08
1872,1.1127104304620161e-07,2.963196255034717e-08
1873,1.1612848349606963e-07,3.232442358225285e-08
1874,1.0455566223921409e-07,3.2262888804979184e-08
1875,1.3273942567337826e-07,1.5448122780981066e-08
1876,1.0459605270796146e-07,3.748529220359842e-08
1877,1.1380061337717962e-07,5.8137269220992494e-08
1878,1.3950294869280455e-07,4.166971123709118e-08
1879,1.001929356148068e-07,1.8327976358811782e-08
1880,9.241698362139061e-08,2.4387815544812952e-08
1881,9.55233516730658e-08,2.789003084036068e-08
1882,9.650308463449164e-08,1.7969540522244642e-08
1883,1.1122036358557352e-07,3.096476020036931e-08
1884,1.4061614361793318e-07,2.772712726084592e-08
1885,9.217258978289067e-08,2.9649923405372647e-08
1886,1.2648788949576328e-07,4.6464938785462095e-08
1887,8.422312847145008e-08,2.546280519766242e-08
1888,9.130484879271705e-08,3.6775563483359974e-08
1889,1.453511746518643e-07,2.6940087494153886e-08
1890,1.0683649787068816e-07,2.8839301002836493e-08
1891,8.732681200385173e-08,2.8046567734918426e-08
1892,7.396844714513406e-08,2.4447197821686473e-08
1893,1.102356539384175e-07,1.7243566630131824e-08
1894,7.309785732267926e-08,3.843938900516264e-08
1895,1.029183096523667e-07,3.4907962520591695e-08
1896,8.66863256732131e-08,2.5946926773823265e-08
1897,1.042981694343581e-07,2.855089675790623e-08
1898,9.788954091760615e-08,2.4330926717830437e-08
1899,7.351679442990644e-08,2.266307141951529e-08
1900,7.786579647728331e-08,3.374184542881409e-08
1901,1.0786265791651317e-07,2.4590450786732276e-08
1902,8.003762452801766e-08,8.347482483017643e-09
1903,7.938323509648626e-08,1.1880484152015924e-08
1904,5.482117870769798e-08,3.493506461893503e-08
1905,5.780049949777322e-08,3.044847840527609e-08
1906,6.635998034409951e-08,1.8519063615940468e-08
1907,7.354266062797876e-08,2.3657079850636364e-08
1908,5.3043000214358926e-08,3.3397444809679655e-08
1909,6.821219389330224e-08,2.2554032752530873e-08
1910,6.68018863558828e-08,2.404867771588215e-08
1911,6.969689969604786e-08,1.5429085564733214e-08
1912,3.854971875050239e-08,2.2921453179947093e-08
1913,7.424185666238259e-08,2.4393752795504042e-08
1914,7.098548016060136e-08,8.705766774141921e-09
1915,9.306801640462936e-08,7.068457152925589e-09
1916,6.372727900938457e-08,7.69122365795738e-09
1917,6.579854527899442e-08,1.315970976634162e-08
1918,5.398596769623509e-08,2.067547733020092e-08
1919,7.458357176304276e-08,3.867296172188617e-08
1920,5.4520069792118875e-08,1.665890891899835e-08
1921,4.013556065274315e-08,1.0601846123226011e-08
1922,4.943216830310959e-08,1.549366412945119e-08
1923,8.174280408113077e-08,2.441668023323018e-08
1924,7.219309594574952e-08,1.933743654092268e-08
1925,3.6293987148994233e-08,2.4195991654707427e-08
1926,5.684530757221751e-08,2.563611833927837e-08
1927,5.797596980272601e-08,2.7873062080630007e-08
1928,5.5987602110008083e-08,1.9424270192303084e-08
1929,5.3473951933113995e-08,1.893869061575515e-08
1930,8.19281087416357e-08,2.8359729342675166e-08
1931,9.580499504835416e-08,2.2810714206400462e-08
1932,9.096415376497191e-08,1.5343351700281005e-08
1933,6.3088643420528e-08,8.02946331646126e-09
1934,8.506921744810825e-08,2.156684431042777e-08
1935,3.590485420090772e-08,3.351119559624749e-08
1936,6.668593144354418e-08,2.42494295754625e-08
1937,6.169647859266547e-08,1.888667711114067e-08
1938,3.370955670156661e-08,2.593042824905467e-08
1939,5.047036566452334e-08,1.8352860564618823e-08
1940,5.32514401463402e-08,1.2678914806940611e-08
1941,5.9030050181263505e-08,2.3612020783048138e-08
1942,5.158160121254696e-08,3.034211815133858e-08
1943,8.709705712206528e-08,1.4516175816936538e-08
1944,9.318239690969676e-08,1.2852744646352221e-08
1945,1.0021118423964026e-07,3.0499056613564335e-08
1946,7.517396571898871e-08,2.0881657292193267e-08
1947,8.82144421954223e-08,1.9073394197377525e-08
1948,9.023666946994524e-08,1.7395020535104777e-08
1949,5.1048444138501736e-08,3.435952855568303e-08
1950,9.040057458165052e-08,2.5524867552917385e-08
1951,6.076999092829993e-08,2.8785784422780125e-08
1952,7.06501857017372e-08,5.272402070488624e-09
1953,6.895249726746044e-08,1.1851209791302608e-08
1954,6.25442342361282e-08,6.840775057526116e-09
1955,5.537508496189503e-08,1.783265446420046e-08
1956,6.628067916736313e-08,2.3547081839936368e-08
1957,7.068030427603844e-08,3.268963899571986e-08
1958,5.6251254765271597e-08,3.887954447279185e-08
