year,trois_DET chaises_NOUN
1931,7.527535572648958e-08
1932,5.918149614814183e-08
1933,5.850037831933719e-08
1934,8.746553525895706e-08
1935,7.061287554677165e-08
1936,6.183604428500189e-08
1937,6.421469911366273e-08
1938,6.87156370693387e-08
1939,5.8117391787959605e-08
1940,3.55009599495304e-08
1941,7.378756183840096e-08
1942,8.192371581117186e-08
1943,8.419382213631366e-08
1944,8.675602636287749e-08
1945,8.71401635293978e-08
1946,1.0301617336949676e-07
1947,9.059862104976446e-08
1948,7.827759507250676e-08
1949,9.817008539414473e-08
1950,6.806631436262478e-08
1951,6.076999126136684e-08
1952,8.752187419247548e-08
1953,6.35655830194537e-08
1954,8.111205307415048e-08
1955,6.47606941406309e-08
1956,9.680467183414976e-08
1957,6.44957751649855e-08
1958,6.783239792085283e-08
1959,7.363210396960085e-08
1960,8.927875150277487e-08
1961,9.449496740643326e-08
1962,8.942158791214183e-08
1963,8.341208879159012e-08
1964,8.882593771630809e-08
1965,5.581484163741379e-08
1966,8.917910498951187e-08
1967,7.198290274956776e-08
1968,1.0644655201730302e-07
1969,7.085142073037787e-08
1970,6.162291366074157e-08
1971,6.371612748523603e-08
1972,5.4379555525230217e-08
1973,9.482710172648012e-08
1974,8.044567545439918e-08
1975,4.3407248018212385e-08
1976,5.999203223083782e-08
1977,6.346924497080408e-08
1978,8.435639742288004e-08
1979,6.437170663176062e-08
1980,6.765329629843109e-08
1981,7.843681237851285e-08
1982,6.393727369768953e-08
1983,7.641532251412286e-08
1984,8.408561980033369e-08
1985,7.098358301149688e-08
1986,7.253327671818965e-08
1987,5.4997350007468526e-08
1988,8.095347636682959e-08
1989,8.122420513956286e-08
1990,8.336435808331544e-08
1991,5.97869442842125e-08
1992,6.777231531529537e-08
1993,7.145577907152756e-08
1994,8.017888486477887e-08
1995,7.157634840382343e-08
1996,5.818520554257134e-08
1997,8.391065087209881e-08
1998,6.007842712207889e-08
1999,7.677937974293059e-08
2000,6.09688362018801e-08
2001,6.834690347012895e-08
2002,8.499569936759599e-08
2003,7.125438106214688e-08
2004,7.444097116504622e-08
2005,6.980812194967712e-08
2006,7.74163306793696e-08
2007,8.70796554863773e-08
2008,9.962408920038968e-08
2009,9.393339350793894e-08
2010,1.317938256306661e-07
2011,1.5257648566802118e-07
2012,1.9302113152264155e-07
2013,2.0695307867413248e-07
2014,2.1935960070607052e-07
2015,2.0857974458721174e-07
2016,2.0423412205872182e-07
2017,1.9345051249786138e-07
2018,2.070336240223014e-07
2019,1.941301643881843e-07
