year,mêmes_ADJ oies_NOUN,mêmes_ADJ choix_NOUN
1800,6.288328968651058e-09,6.288328968651058e-09
1801,2.3811825844433088e-09,7.143547975374531e-09
1802,4.475680270843441e-09,0.0
1803,0.0,0.0
1804,2.4718509461507665e-09,4.943701892301533e-09
1805,0.0,8.528632911009026e-09
1806,0.0,0.0
1807,0.0,0.0
1808,2.2660739951163578e-09,0.0
1809,0.0,0.0
1810,0.0,3.2761775514700275e-08
1811,0.0,7.521229861140455e-09
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,4.6352077731626196e-09
1817,0.0,1.556873407970727e-09
1818,4.768470951432846e-09,1.1921177378582115e-09
1819,0.0,2.070210003424222e-09
1820,3.5599443393152796e-09,2.3732962262101864e-09
1821,0.0,4.930744257336528e-09
1822,2.0051231786055723e-09,1.7043547018147365e-08
1823,0.0,0.0
1824,8.421112696055388e-10,5.052667617633233e-09
1825,8.805443041381977e-10,0.0
1826,1.7615968683770689e-09,0.0
1827,0.0,9.217273055917019e-10
1828,5.503380862137419e-09,9.172301251858528e-10
1829,0.0,6.001223074036943e-09
1830,2.0873671680021744e-09,2.0873671680021744e-09
1831,1.5591206103948707e-09,0.0
1832,0.0,5.411987746839486e-09
1833,0.0,0.0
1834,9.334530925997342e-10,9.334531370086552e-09
1835,1.5126175867408165e-09,4.5378527602224494e-09
1836,6.720750067579218e-10,0.0
1837,0.0,2.7831563720326358e-09
1838,2.5248647617104325e-09,4.418513555037862e-09
1839,6.9914751765765e-10,0.0
1840,0.0,1.2739377330817092e-09
1841,0.0,1.2841097074556274e-09
1842,0.0,2.683306021822318e-09
1843,0.0,1.1813822142769936e-09
1844,0.0,0.0
1845,0.0,5.580227946389016e-10
1846,0.0,5.854501328173001e-10
1847,0.0,2.1572894581822766e-09
1848,0.0,8.045221711050488e-10
1849,0.0,0.0
1850,0.0,0.0
1851,0.0,0.0
1852,6.510545436100301e-10,0.0
1853,1.1943863675867306e-09,4.180352064508952e-09
1854,1.558699391779328e-09,5.195664454227256e-10
1855,1.0613874223963649e-09,2.1227748447927297e-09
1856,5.177189232874468e-10,0.0
