year,les_DET oies_NOUN,les_DET choix_NOUN
1800,1.2576657759666432e-06,1.2199358536690852e-06
1801,1.1977348979286262e-06,1.4406154917878666e-06
1802,1.163676898841004e-06,9.466064057050971e-07
1803,2.1687771649681054e-06,4.1737259515173264e-07
1804,1.3867083934471225e-06,1.0480647887334271e-06
1805,2.2146017630841897e-06,6.595476165216496e-07
1806,5.79215488016871e-07,5.359904591273335e-07
1807,5.523092792003581e-07,8.711682610851312e-07
1808,9.789439445739845e-07,4.260219164109458e-07
1809,1.5790623262290637e-06,3.5014973320812715e-07
1810,8.284048975681912e-07,4.820661239079982e-07
1811,6.86939027438882e-07,3.5349783900073817e-07
1812,3.040617375660304e-07,3.3606825056153866e-07
1813,4.486156939265129e-07,4.026038169513413e-07
1814,4.6256154684343187e-07,7.268824120387762e-07
1815,5.772058635500343e-07,1.2380256464439299e-06
1816,7.207747927395758e-07,1.1866132325621948e-06
1817,6.896949305001954e-07,9.683752608680152e-07
1818,1.624856460047397e-06,1.3745118110364274e-06
1819,3.560761119292266e-07,1.5547277030236728e-06
1820,6.028172503391716e-07,1.6921601684316556e-06
1821,3.8361188581248484e-07,1.2405752158883843e-06
1822,7.128213184159904e-07,8.341312565107728e-07
1823,6.453394680860924e-07,6.59175206862983e-07
1824,4.7326652907742073e-07,8.49690295012806e-07
1825,8.04817498867294e-07,7.246879398792316e-07
1826,4.862007410011415e-07,6.570756028168034e-07
1827,7.521294603796136e-07,9.871699688801527e-07
1828,6.741641236374107e-07,1.0456423780169644e-06
1829,5.332515518041703e-07,1.2096751618173585e-06
1830,5.604580937124126e-07,1.0822998461890165e-06
1831,5.347783620379687e-07,1.3751444214449293e-06
1832,4.7354891563600177e-07,1.10133950670388e-06
1833,5.444305370971847e-07,1.063377098375895e-06
1834,6.823541847111869e-07,9.82926081860569e-07
1835,6.239547474251594e-07,6.927788334110119e-07
1836,6.431757593183818e-07,7.386104172724117e-07
1837,5.656765456052426e-07,8.34946931149716e-07
1838,5.655697066231369e-07,9.03901593574119e-07
1839,5.949745203182033e-07,7.480878210230912e-07
1840,4.834593818614508e-07,9.841169088531387e-07
1841,4.25040309615099e-07,8.269666693649924e-07
1842,4.320122641843227e-07,9.317779898765366e-07
1843,4.690087438419255e-07,7.549032403630918e-07
1844,4.7476054065853646e-07,8.617041444836104e-07
1845,6.679532877917893e-07,1.291822783855423e-06
1846,3.9225158054989606e-07,8.541717591015185e-07
1847,7.286245065074581e-07,1.036577593538368e-06
1848,5.044354058902911e-07,1.0796687348602063e-06
1849,4.047257355921374e-07,1.334002874386897e-06
1850,4.4332145066050543e-07,7.895602109897482e-07
1851,5.559416085265667e-07,7.829618411392403e-07
1852,5.162862439789251e-07,6.777477565833578e-07
1853,6.819946207770045e-07,5.727082452722243e-07
1854,4.494249861153321e-07,7.055712387682433e-07
1855,5.046897229021852e-07,5.9809183028392e-07
1856,4.902798327321989e-07,6.321348067217514e-07
1857,4.115112304248214e-07,7.663969512350377e-07
1858,4.0519638666580704e-07,6.816890660843455e-07
1859,5.412980277341717e-07,6.416138731424326e-07
1860,4.641264600979689e-07,7.003091297974606e-07
1861,4.7253954882364724e-07,8.498166579329336e-07
1862,4.716777590729748e-07,8.801037196803918e-07
1863,4.390271755028152e-07,7.062393763135333e-07
1864,5.489963399440967e-07,7.753075195182646e-07
1865,5.492887309443972e-07,6.095363573876966e-07
1866,4.1406367046192827e-07,5.464083301376377e-07
1867,5.74572872835688e-07,5.18765560286738e-07
1868,6.001947054912193e-07,5.868570482903124e-07
1869,4.903053287819148e-07,7.672008806025588e-07
1870,4.656047671858232e-07,9.524254878101601e-07
1871,5.703572205639773e-07,1.1970066893240983e-06
1872,4.3540843108758054e-07,1.0727980352953637e-06
1873,5.225781896101012e-07,8.404350353430345e-07
1874,5.580284909711963e-07,9.780435092920925e-07
1875,4.828969011327899e-07,1.0716420177914188e-06
1876,4.6554313826163707e-07,7.10406723669621e-07
1877,6.110598054220873e-07,7.168201818785747e-07
1878,4.813153733351783e-07,5.411023451529218e-07
1879,4.661415058393459e-07,6.427010035281455e-07
1880,6.327996473487474e-07,7.425448345088626e-07
1881,5.68956634694473e-07,7.537280737324181e-07
1882,5.051437419467675e-07,7.254369762677015e-07
1883,6.243506760483797e-07,6.622667498845658e-07
1884,5.644450800090794e-07,7.684375447070124e-07
1885,4.10586999510798e-07,7.425372174907352e-07
1886,4.5238780543854773e-07,5.924280088720479e-07
1887,4.968511522207564e-07,5.784626964100426e-07
1888,4.3496617152527506e-07,5.877749700289314e-07
1889,4.4858378878132044e-07,7.72491354439353e-07
1890,4.817473957530183e-07,6.941095520573981e-07
1891,4.2707273628650455e-07,6.686557121327041e-07
1892,5.904938618073174e-07,4.5321345609750097e-07
1893,5.413248107544177e-07,5.591842331398311e-07
1894,3.7494157112405446e-07,7.341293439822039e-07
1895,3.9482110825161953e-07,7.017704604095343e-07
1896,5.183488394067126e-07,5.92061731197191e-07
1897,4.492396001865018e-07,5.570338146299036e-07
1898,4.837893285980499e-07,4.702092937236557e-07
1899,5.378333831629334e-07,4.991403343979073e-07
1900,4.2981919623485965e-07,5.502516629007914e-07
1901,3.917705884148859e-07,4.621887192968188e-07
1902,3.3831854984178733e-07,4.1197281674953956e-07
1903,3.9529613271582775e-07,5.929441790897272e-07
1904,4.6651745932990707e-07,4.993026792021737e-07
1905,4.180214836502216e-07,7.028954058796444e-07
1906,4.840677552131467e-07,4.958993891079899e-07
1907,4.4639880325547665e-07,5.615984832729737e-07
1908,4.16976919659362e-07,4.204148922326567e-07
1909,3.9001974716512677e-07,4.840865592825594e-07
1910,5.509819449578401e-07,4.676131943881501e-07
1911,4.878783039785617e-07,5.62363563716417e-07
1912,4.3759138845800294e-07,5.146908037545472e-07
1913,3.887091333254489e-07,3.897697311572301e-07
1914,4.855139064119385e-07,5.471239781229542e-07
1915,2.473959943571913e-07,3.958335916820488e-07
1916,2.6809406961092463e-07,3.9774612758947114e-07
1917,3.893080684491679e-07,6.678552502137336e-07
1918,3.652667697195966e-07,3.9168543608525397e-07
1919,4.797288877256278e-07,4.2724415294514984e-07
1920,4.3616053879702577e-07,3.876982574979593e-07
1921,4.4300572987765463e-07,3.9984105271173576e-07
1922,4.84730355410079e-07,3.246291591096906e-07
1923,4.299459046563925e-07,4.2888431650567327e-07
1924,4.963275417324553e-07,3.300255890792414e-07
1925,3.838364168728958e-07,3.255460789830522e-07
1926,4.514186233706141e-07,3.700518078630921e-07
1927,4.325899194412841e-07,3.957974783475038e-07
1928,3.850575769348552e-07,4.170504936951147e-07
1929,4.1999331834574605e-07,4.600987679737045e-07
1930,3.497700085119959e-07,3.959858396740401e-07
1931,3.25052660343772e-07,2.4179355762043997e-07
1932,2.487814780849362e-07,4.044069115138882e-07
1933,4.886502225076583e-07,3.154432022256515e-07
1934,3.9059950296405077e-07,3.82212395066972e-07
1935,4.176931147625851e-07,3.8537874047506193e-07
1936,4.910509403543983e-07,4.486144504767253e-07
1937,3.361828575521031e-07,4.3439357000352175e-07
1938,3.656190541434512e-07,3.0727558275600586e-07
