year,aux_ADP entiers_ADJ,aux_ADP chantiers_NOUN
1800,0.0,4.4018303668735825e-08
1801,0.0,5.238601841206503e-08
1802,0.0,2.2378401354217203e-08
1803,0.0,5.460949870084164e-08
1804,0.0,2.9662210465630778e-08
1805,0.0,1.990014397712514e-08
1806,0.0,5.4751712497136396e-08
1807,0.0,7.686778502602465e-08
1808,0.0,2.039466551195801e-08
1809,0.0,7.228897347388852e-08
1810,0.0,6.318342249400644e-08
1811,0.0,8.273353557797236e-08
1812,0.0,2.1337665856435706e-08
1813,0.0,4.3136125782439194e-08
1814,0.0,5.034683425719777e-08
1815,0.0,1.6183340889597275e-08
1816,0.0,5.0987285504788815e-08
1817,0.0,4.3592454090912724e-08
1818,0.0,6.318224166079744e-08
1819,0.0,1.9666995143552413e-08
1820,2.3732962262101864e-09,5.221251608844568e-08
1821,0.0,2.7612166775270452e-08
1822,1.0025615893027862e-09,3.208197085768916e-08
1823,0.0,4.842516432290722e-08
1824,8.421112696055388e-10,5.3053010873327366e-08
1825,0.0,2.729687298419492e-08
1826,8.807984341885344e-10,1.3564295997525733e-07
1827,9.217273055917019e-10,5.346018383534101e-08
1828,9.172301251858528e-10,6.328887991458032e-08
1829,0.0,4.4580517055692326e-08
1830,0.0,7.618890407457002e-08
1831,0.0,4.365537709105638e-08
1832,0.0,6.629684734527075e-08
1833,0.0,9.730248251571538e-08
1834,9.334530925997342e-10,3.6404670167300424e-08
1835,0.0,4.310960122211327e-08
1836,0.0,5.8470526198561856e-08
1837,0.0,6.957890696934754e-08
1838,6.312161904276081e-10,3.408567295082321e-08
1839,2.0974426639952526e-09,6.432157417801676e-08
1840,2.5478754661634184e-09,7.834717336008268e-08
1841,6.420548537278137e-10,6.035315891494974e-08
1842,6.037438549100216e-09,5.769107858100142e-08
1843,0.0,6.556670939517062e-08
1844,0.0,7.409557412074719e-08
1845,0.0,7.198494289539781e-08
1846,0.0,5.73741125720062e-08
1847,0.0,7.874106167093942e-08
1848,0.0,1.0056526938972965e-07
1849,0.0,7.122502809764342e-08
1850,0.0,4.0055074812528346e-08
1851,0.0,8.771236381655001e-08
1852,0.0,6.836072530269632e-08
1853,1.1943863675867306e-09,7.285756709052293e-08
1854,0.0,8.624802916301633e-08
1855,0.0,7.058226003664458e-08
1856,0.0,8.956537173032686e-08
1857,0.0,7.615154468121332e-08
1858,0.0,7.780944927260336e-08
1859,0.0,5.4995471288066256e-08
1860,0.0,4.30255272243496e-08
1861,0.0,7.828500009354755e-08
1862,0.0,7.81611650957359e-08
1863,0.0,8.940371643006984e-08
1864,9.589455896019672e-10,7.144144675841346e-08
