year,autres_ADJ eaux_NOUN,autres_ADJ chaux_NOUN
1800,3.6157891258881136e-07,1.5720821977538435e-08
1801,4.690929813477851e-07,2.3811825400343878e-08
1802,4.430923468135006e-07,0.0
1803,4.661310697429144e-07,0.0
1804,3.1392505661642645e-07,1.2359254952798437e-08
1805,3.5251684948889306e-07,2.842877711017877e-09
1806,2.507052272449073e-07,0.0
1807,4.5551280436484376e-07,0.0
1808,3.7163613342272583e-07,5.6651849433819734e-08
1809,3.95330346236733e-07,0.0
1810,4.0250179722534085e-07,0.0
1811,3.93611060189869e-07,2.5070767684098882e-09
1812,2.0804223765935603e-07,2.400487453257938e-08
1813,2.3581081620704936e-07,3.163315653864629e-08
1814,3.8704129678990284e-07,3.1466771410748606e-09
1815,5.475363877849304e-07,2.697223555614414e-09
1816,3.221469455638726e-07,0.0
1817,2.9424907665998035e-07,7.784366928831332e-09
1818,2.944530876902718e-07,1.9073883805731384e-08
1819,1.418093802385556e-07,0.0
1820,2.75302369345809e-07,3.5599443393152796e-09
1821,1.64686852599516e-07,2.859831660373402e-08
1822,4.3811940031446284e-07,4.010246357211145e-09
1823,1.7492355652848346e-07,9.882686891060644e-10
1824,1.4652735558229324e-07,1.6842225392110777e-09
1825,1.6730341201309784e-07,2.289415235168235e-08
1826,2.395771616647835e-07,7.927186018719112e-09
1827,2.497880871032976e-07,2.7651818612639545e-08
1828,2.017906268747538e-07,9.172301140836225e-09
1829,3.1720750826025323e-07,4.029392641768936e-08
1830,2.6092089910889626e-07,0.0
1831,3.2117884529725416e-07,3.1182412207897414e-09
1832,2.3948047100930125e-07,9.470978667991403e-09
1833,4.888291300630954e-07,5.791814139399776e-09
1834,2.3616362909706368e-07,1.3068342852307069e-08
1835,2.4201881387853064e-07,1.9664028627630614e-08
1836,2.022945722046643e-07,1.4113575197427508e-08
1837,3.4302402696084755e-07,2.7831563720326358e-09
1838,2.745790368408052e-07,1.1361890983607736e-08
1839,2.195323247633496e-07,1.11863602825224e-08
1840,1.745294753163762e-07,6.369688665408546e-10
1841,3.1332277217188675e-07,1.0914932957462042e-08
1842,2.2875184413351235e-07,1.341653010911159e-09
1843,1.8193286166479083e-07,5.906911071384968e-10
1844,2.952845932213677e-07,1.756339607084101e-08
1845,1.975400749643086e-07,4.464182357111213e-09
1846,2.494017508070101e-07,1.2879903366069811e-08
1847,1.3213397664912918e-07,4.853901280910122e-09
1848,2.156119478513574e-07,0.0
1849,2.379753851755595e-07,5.02764896381791e-09
1850,1.4867900688386726e-07,6.788996032014438e-10
1851,1.8703372006712016e-07,3.8696632564949596e-09
1852,2.070353417593651e-07,1.9531636752390114e-08
1853,2.0125409605498135e-07,1.0152284346531815e-08
1854,2.5043101459232275e-07,3.117398783558656e-09
1855,2.3987354325072374e-07,1.963566731433275e-08
1856,2.619657664126862e-07,1.5531567143511893e-08
1857,2.260138671772438e-07,5.369659827891837e-09
1858,2.0406629630542739e-07,4.893676019968041e-10
1859,2.933091991508263e-07,2.036869339860914e-09
1860,2.7600418661677395e-07,1.8308735638683515e-09
1861,1.9288292207875202e-07,4.2443675241088386e-09
1862,1.8840002269371325e-07,1.0391368654438793e-08
1863,1.62325179076106e-07,2.9967726078439227e-09
1864,3.509740906793013e-07,3.835782358407869e-09
1865,1.6897571697427338e-07,0.0
1866,2.228450739494292e-07,9.731225825149181e-10
1867,1.4558435168510186e-07,1.455843445796745e-09
1868,2.1834243568719103e-07,5.9278488784286765e-09
1869,1.802018516627868e-07,1.953407657850903e-09
1870,1.9782468996254465e-07,3.4404292748035914e-09
1871,1.7524942563795776e-07,1.0621177271019633e-09
1872,1.5844028666833765e-07,0.0
1873,2.5141218884527916e-07,0.0
1874,1.9357733549441036e-07,1.1949218281515073e-09
1875,1.6821289250401605e-07,5.721527140956084e-10
1876,1.7956664066787198e-07,1.5719638923883394e-08
1877,1.9667714923343738e-07,6.184815992682502e-10
1878,1.2923649705953721e-07,0.0
1879,1.3135048959611595e-07,0.0
1880,2.387438939877029e-07,0.0
1881,1.6176217343399912e-07,2.091752326904839e-09
1882,1.6705016037121823e-07,0.0
1883,1.8262889511788671e-07,1.8958017378167824e-09
1884,1.577805619490391e-07,4.621187876807653e-09
1885,2.6298192778995144e-07,3.2228177904158883e-09
1886,2.1619104018100188e-07,4.5174246565693466e-09
1887,1.730165024582675e-07,6.528924623161458e-10
1888,2.1241059755539027e-07,4.4384300679212174e-09
1889,1.5349584714385855e-07,0.0
1890,1.4419650540276052e-07,0.0
1891,1.2557212869523937e-07,5.736798147637501e-09
1892,1.9495072933750635e-07,0.0
1893,1.9337427659138484e-07,0.0
1894,1.7203201707616245e-07,6.301539290376468e-10
1895,1.474560491487864e-07,1.2037228991346183e-09
1896,1.9342255086485238e-07,5.89702897624278e-10
1897,1.3692776690277242e-07,0.0
1898,1.9181823063263437e-07,1.13167097914868e-09
1899,2.4542447363273823e-07,0.0
1900,1.4586859720111534e-07,5.191053142894475e-10
1901,1.654266696959894e-07,0.0
1902,1.4436234607728693e-07,4.910283846193408e-10
1903,1.657867585436179e-07,2.1600881083827517e-09
1904,1.6715084427687543e-07,1.0749250378694342e-09
1905,1.3882441862733685e-07,0.0
1906,1.548399524153865e-07,1.5432553013283723e-09
1907,1.594281400230102e-07,5.142843373384665e-10
1908,1.2327586773608346e-07,4.911389073214423e-10
1909,1.0671907801906855e-07,0.0
1910,1.7101282878684287e-07,0.0
1911,1.4897047151407605e-07,2.128149656499545e-09
1912,1.672224243520759e-07,0.0
1913,2.036348121237097e-07,0.0
1914,1.2857748288297444e-07,6.696743715117748e-10
1915,1.2958838624399505e-07,0.0
1916,1.2415831918133335e-07,0.0
1917,1.6449637030291342e-07,0.0
1918,1.1256648946300629e-07,3.44591288836682e-09
1919,1.1878124439590465e-07,2.762354567309444e-09
1920,1.2191293308205786e-07,3.786115865267448e-09
1921,1.2797943327313988e-07,7.572747429129834e-10
1922,1.2321152098593302e-07,0.0
