year,tes_DET ans_NOUN,tes_DET chants_NOUN
1800,3.45858084394024e-08,5.973912431400663e-08
1801,5.0004833385131064e-08,1.0953439755212457e-07
1802,2.0140561218795483e-08,5.370816325012129e-08
1803,2.7304748684287006e-08,6.046051725938639e-08
1804,6.92118238276862e-08,1.606703143863797e-07
1805,5.685755510853596e-08,5.970043304159844e-08
1806,1.498467980809437e-07,1.3543845511776453e-07
1807,1.1387820464392462e-08,6.547996855843508e-08
1808,6.798221985349073e-09,1.5409302678293102e-07
1809,3.6144488291256494e-08,5.6475762733043666e-08
1810,3.978215445954447e-08,1.5678848797051614e-07
1811,3.760615285841595e-08,2.0056614147279106e-07
1812,7.20146218213813e-08,1.0935553973467904e-07
1813,4.6011867427253605e-08,1.9555043673236128e-07
1814,5.97868634599763e-08,7.237357557698942e-08
1815,4.8550024445148665e-08,1.0788894222457657e-07
1816,3.708166040894412e-08,5.0987285504788815e-08
1817,5.449056961204235e-08,6.071806135654612e-08
1818,2.8610826152686286e-08,6.199012148044858e-08
1819,7.659776724011635e-08,6.935203455959993e-08
1820,1.0561168295453172e-07,7.119888856266243e-08
1821,3.8459806006585495e-08,1.0749022372191774e-07
1822,3.709477880420309e-08,8.120748873352568e-08
1823,3.557767347395213e-08,7.807322610631218e-08
1824,6.989523360090288e-08,1.1789557685659702e-07
1825,3.698286188402733e-08,8.629333891896351e-08
1826,3.8755132436563144e-08,8.71990444295534e-08
1827,3.2260455640198415e-08,8.756409375365592e-08
1828,4.402704451011985e-08,7.246118127746115e-08
1829,3.257806824308318e-08,9.001835010735704e-08
1830,1.1480518979922749e-08,1.4611569554290327e-07
1831,1.7150327380477393e-08,1.0757932411564752e-07
1832,4.735489356200162e-08,1.4206467513488974e-07
1833,6.023486831541192e-08,2.6063163716116833e-07
1834,3.080395205579123e-08,1.4375177004311013e-07
1835,3.1764969321557146e-08,9.000074641107858e-08
1836,3.22596004909137e-08,1.2366180257572523e-07
1837,3.1310509740478665e-08,6.957891063308352e-08
1838,3.3454458758797045e-08,7.890202113891576e-08
1839,2.7965900262216792e-08,1.125627520082162e-07
1840,2.930056863803543e-08,9.936714062686036e-08
1841,2.760835826620678e-08,9.438206705070229e-08
1842,3.4212152222323766e-08,1.2611537769657843e-07
1843,1.5357968674578615e-08,1.1931960042232959e-07
1844,1.701454005464953e-08,9.440325327014776e-08
1845,2.17628883802945e-08,8.258737693722651e-08
1846,2.2247105713191218e-08,8.313391752778898e-08
1847,1.887628275909492e-08,7.172987803727437e-08
1848,1.2067832455553429e-08,6.436177191204706e-08
1849,2.262441967104678e-08,9.217356256030484e-08
1850,1.6972489191857676e-08,9.844044246420935e-08
1851,1.3543821397732358e-08,8.061798473235626e-08
1852,2.539112786692499e-08,6.575650957074686e-08
1853,2.9262466672008713e-08,9.256494060139175e-08
1854,2.3380490266067255e-08,7.170017007895879e-08
1855,3.874064091746732e-08,9.764764641317925e-08
1856,2.381507024917795e-08,8.179959259946301e-08
