year,petites_ADJ aises_NOUN,petites_ADJ chaises_NOUN
1800,0.0,3.458580977167003e-08
1801,0.0,7.143547975374531e-09
1802,0.0,1.5664880947952042e-08
1803,0.0,1.950339267864365e-08
1804,0.0,2.4718509461507665e-09
1805,0.0,2.2743021688143017e-08
1806,0.0,8.645007376628655e-09
1807,5.693910232196231e-09,1.4234775136401367e-08
1808,0.0,4.5321479902327155e-09
1809,0.0,1.129515236897305e-08
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,5.751483289628823e-09
1814,0.0,0.0
1815,0.0,1.6183340889597275e-08
1816,0.0,0.0
1817,0.0,2.0239355080775567e-08
1818,0.0,5.960588467246453e-09
1819,0.0,5.175524897538253e-09
1820,0.0,1.898636980968149e-08
1821,2.9584463767662328e-09,1.4792232327920374e-08
1822,3.0076847679083585e-09,8.02049271442229e-09
1823,0.0,2.9648061783404955e-09
1824,0.0,4.378978601948802e-08
1825,0.0,6.163809906922779e-09
1826,0.0,5.284790383086602e-09
1827,0.0,4.608636583469661e-09
1828,0.0,2.7516904310687096e-09
1829,0.0,3.257806824308318e-08
1830,2.0873671680021744e-09,7.305785310052215e-09
1831,1.2472964883158966e-08,1.5591206103948707e-09
1832,1.3529969367098715e-09,6.3590853471851e-08
1833,0.0,1.2741991461950875e-08
1834,0.0,1.8669061851994684e-09
1835,0.0,4.235329242874286e-08
1836,0.0,1.5457725766054864e-08
1837,6.957890930081589e-10,1.3219993100221927e-08
1838,0.0,2.5248647617104325e-09
1839,0.0,6.292327547896548e-09
1840,0.0,2.0383003729307347e-08
1841,6.420548537278137e-10,1.9903700021473014e-08
1842,0.0,1.8783142152756227e-08
1843,5.906911071384968e-10,1.2995204023980023e-08
1844,0.0,2.7442805805577564e-09
1845,0.0,1.2834524554250493e-08
1846,0.0,9.952652035849496e-09
1847,0.0,7.011190739092399e-09
1848,8.045221711050488e-10,6.43617736884039e-09
1849,1.6758829879393033e-09,3.3517659758786067e-09
1850,6.788996032014438e-10,1.1541293254424545e-08
1851,1.2898877521649865e-09,3.0957306051959677e-08
1852,5.208436348880241e-09,2.8646400807019745e-08
1853,1.7915795513800958e-09,2.5679307569248522e-08
1854,1.0391328908454511e-09,1.4028294081924741e-08
1855,1.5920811335945473e-09,2.865746040470185e-08
1856,1.0354378465748937e-09,5.7984518520015627e-08
1857,2.9289055625270066e-09,7.175818694804548e-08
1858,7.34051397444091e-09,2.202154192332273e-08
1859,4.073738679721828e-09,3.0043821652725455e-08
1860,4.577183909670879e-10,9.566314673747911e-08
1861,1.4147891747029462e-09,1.2733101684148096e-08
1862,9.035972525772706e-10,1.0391368654438793e-08
1863,9.989241656072068e-10,4.395266373080631e-08
1864,3.3563094525845827e-09,7.671564716815737e-09
1865,4.706844247692743e-09,1.4591217123438582e-08
1866,0.0,9.244664589402873e-09
1867,1.94112459439566e-09,1.1161466417775046e-08
1868,2.4699371437009177e-09,2.0747471296544973e-08
1869,7.813630631403612e-09,3.662639258550371e-08
1870,5.734048791339319e-10,4.013834153937523e-09
1871,0.0,1.1683295220166201e-08
1872,6.047339518033823e-09,1.814201766592305e-08
1873,5.387403856360606e-09,1.7359413462259e-08
1874,1.1949218281515073e-09,2.3898437007119355e-08
1875,0.0,2.460256709468922e-08
