year,moins_ADV eu_VERB
1800,2.6096566330124915e-07
1801,2.7383600809116615e-07
1802,1.6112448975036386e-07
1803,2.3014003147636686e-07
1804,2.1505103120489366e-07
1805,2.899735136452364e-07
1806,2.1612518708025164e-07
1807,1.7651122163897526e-07
1808,2.0621273222332093e-07
1809,3.185232912983338e-07
1810,3.697400359214953e-07
1811,1.1281845502253418e-07
1812,3.6007310200147913e-07
1813,4.3998846877002507e-07
1814,1.3530711839848664e-07
1815,2.6702514333010186e-07
1816,2.711596494009427e-07
1817,2.771234619558527e-07
1818,3.039900207113533e-07
1819,3.094963858529809e-07
1820,2.480094565271429e-07
1821,3.2444296493849833e-07
1822,1.804610860745015e-07
1823,2.401492906756175e-07
1824,2.896862838497327e-07
1825,2.3686641270614928e-07
1826,2.483851631041034e-07
1827,2.414925575067173e-07
1828,3.6322313690106967e-07
1829,2.5290870553362765e-07
1830,3.1101771469366213e-07
1831,2.68168747652453e-07
1832,2.92247335664797e-07
1833,2.108220371610514e-07
1834,2.7630210297502344e-07
1835,2.3823727701710595e-07
1836,2.1775230152343283e-07
1837,2.3726407505364477e-07
1838,2.297626906511141e-07
1839,2.467990611876303e-07
1840,2.08925783340419e-07
1841,2.2343509442634968e-07
1842,2.0057711935805855e-07
1843,2.339136813134246e-07
1844,2.1405388395123737e-07
1845,2.8347557190500083e-07
1846,2.4881632043616264e-07
1847,2.119536901545871e-07
1848,2.083712473677224e-07
1849,3.083624733335455e-07
1850,2.2200016758233687e-07
1851,2.27665182706005e-07
1852,2.565154773037648e-07
1853,2.1558673779509263e-07
1854,2.909572174303321e-07
1855,2.3456661324416928e-07
1856,2.2520772802181455e-07
1857,2.2259681031755463e-07
1858,1.972151437712455e-07
1859,2.75995802212492e-07
1860,1.9590346767017763e-07
1861,1.9995685818230413e-07
1862,2.4306766022164084e-07
1863,2.2575686386971938e-07
1864,2.459695451761945e-07
1865,2.2969400959027553e-07
1866,2.5057906327674573e-07
1867,2.2371460772774299e-07
1868,2.287161748881772e-07
1869,2.4466430659231264e-07
1870,2.0126510946738563e-07
1871,2.3897649725768133e-07
1872,1.5844028666833765e-07
1873,1.8077733443533361e-07
1874,1.7206873792474653e-07
1875,2.2943324040625157e-07
1876,2.0616910489934526e-07
1877,2.3440452423528768e-07
1878,1.7634138771427388e-07
1879,1.9488747682316898e-07
1880,2.3425138806487666e-07
1881,2.29395496376128e-07
1882,2.016581674979534e-07
1883,1.8262889511788671e-07
1884,2.3171956797796156e-07
1885,1.8627886788635806e-07
1886,2.3038866459046403e-07
1887,1.6975204175651015e-07
1888,1.7183066347570275e-07
1889,2.2491840923066775e-07
1890,2.169501982507427e-07
1891,1.9313887378302752e-07
1892,2.1250257020710706e-07
1893,2.087703165898347e-07
1894,2.0227940922268317e-07
1895,2.0704034398022486e-07
1896,1.9990928024071764e-07
1897,2.0684832691131305e-07
1898,1.8672571400202287e-07
1899,1.7301320553997357e-07
1900,2.1075675249448977e-07
1901,2.095777063004789e-07
1902,1.551649688735779e-07
1903,1.981880899393218e-07
1904,1.6983815953608428e-07
1905,1.9817315433101612e-07
1906,1.5072460257670173e-07
1907,1.8874234797294775e-07
1908,1.7189861978295085e-07
1909,1.6612970910045988e-07
1910,1.7689139042431634e-07
1911,1.7610437907933374e-07
1912,1.755574885464739e-07
1913,1.5802909558715328e-07
1914,1.5938249475766497e-07
1915,1.5314989809667168e-07
1916,1.6261444102383393e-07
1917,1.4366015932409937e-07
1918,1.6540381864160736e-07
1919,1.7218675907315628e-07
1920,1.3630017292598495e-07
1921,1.6584317563683726e-07
1922,1.9330191491917503e-07
1923,1.7516313732812705e-07
1924,1.4825367600224126e-07
1925,1.9906701709260233e-07
1926,1.515874856750088e-07
1927,1.438250052387957e-07
1928,1.3711249380321533e-07
1929,1.570797252270495e-07
1930,1.680576531271072e-07
1931,1.6879927500212943e-07
1932,1.5562541477720515e-07
1933,1.3650088703798247e-07
1934,1.4497712186312128e-07
1935,1.579813471153102e-07
1936,1.3458432590596203e-07
1937,1.3346584637474734e-07
1938,1.335417039172171e-07
1939,1.3152883582279173e-07
1940,1.4200384157447843e-07
1941,1.4167213180371618e-07
1942,1.2136847260535433e-07
1943,1.2774235358392616e-07
1944,1.5101974781828176e-07
1945,1.7428033061150927e-07
1946,1.531321487391324e-07
1947,1.4305045681339834e-07
1948,1.108932536908469e-07
1949,1.1878579897484087e-07
1950,1.414503145724666e-07
1951,1.0661401717015906e-07
1952,1.539541329975691e-07
1953,1.4975620388213429e-07
1954,1.5245156248511194e-07
1955,1.1075017170014689e-07
1956,1.5349209547821374e-07
1957,1.3164206791316246e-07
1958,1.0257581806172311e-07
1959,1.2633718426968699e-07
1960,1.2111458147501253e-07
1961,1.3687873945400497e-07
1962,1.4015724048022093e-07
1963,1.0281024742653244e-07
1964,1.192457830256899e-07
1965,1.1983775038970634e-07
1966,1.539862779509349e-07
1967,1.4396579217645922e-07
1968,1.3025105261021963e-07
1969,1.3988614000481903e-07
1970,1.2232608526119293e-07
1971,1.3205681170802563e-07
1972,1.4620918875607458e-07
1973,1.1246935827102789e-07
1974,1.2094979240373505e-07
1975,1.1480074846303978e-07
1976,1.1369918695436354e-07
1977,1.1400956623219827e-07
1978,1.3544548949084856e-07
1979,1.4337334164338245e-07
1980,1.0574380127081895e-07
1981,1.1259478327474426e-07
1982,1.1732179672208076e-07
1983,9.978199244642383e-08
1984,1.1540026889633737e-07
1985,1.1489716200685507e-07
1986,1.342764761602666e-07
1987,1.2588282061187783e-07
1988,1.2652728287321224e-07
1989,1.081160050375729e-07
1990,1.394854649561239e-07
1991,1.324691112358778e-07
1992,1.2066777799191186e-07
1993,1.3183313285480835e-07
1994,1.2554325223845808e-07
1995,1.3447677815747738e-07
1996,1.233099311548358e-07
1997,1.2370827562335762e-07
1998,1.2444817798495933e-07
1999,1.375630489519608e-07
2000,1.4226061750832741e-07
2001,1.253026624681297e-07
2002,1.1522612197722992e-07
2003,1.4292545813532342e-07
2004,1.2906038193705172e-07
2005,1.360132415584303e-07
2006,1.3794931419397471e-07
2007,1.6936593283389811e-07
2008,1.3581232849446678e-07
2009,1.4781396373564348e-07
2010,1.591918277199511e-07
2011,1.9311057997128955e-07
2012,1.8008496738275426e-07
2013,2.0165373371128226e-07
2014,2.1351289092308434e-07
2015,2.0658482924318378e-07
2016,2.444181177452265e-07
2017,2.2766282370412227e-07
2018,2.398182630258816e-07
2019,2.438744388655323e-07
